#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
	+ friend codes, you can play together.
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= That friend code is\n
	+ already registered.
  13f7	= Friend rosters can\n
	+ hold up to 30 friends.\n
	+ Your friend roster\n
	+ is full.
  13f8	= You don't have \z{602,0}'s friend code.
  13f9	= This is \z{802,130000}'s friend code.\n
	+ \n
	+ It can't be registered.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Delete
  1451	= Meet Up
  1452	= Unable to meet up.
  1453	= You are not friends yet.
  1454	/
  1455	/
  1456	= win
  1457	= wins
  1458	/
  1459	= Battle
  145a	= Delete this friend?
  145b	= That friend has been deleted.
  145c	= Deleting a friend...
  145d	= Delete a Friend
  145e	= Delete
  145f	= Don't Delete
  1460	= \z{c04,14561457}
  1461	= All ghosts related to\n
	+ this friend code will\n
	+ be deleted. Is that OK?
  1462	/
  14b4	= Connecting to Nintendo WFC...
  14b5	= I'm not on Nintendo WFC now!
  14b6	/
  14b7	/
  14b8	= I have an open room!
  14b9	= I'm playing a friend now!
  14ba	= I'm playing a friend now!
  14bb	= I'm playing a worldwide VS race!
  14bc	= I'm playing a worldwide battle!
  14bd	= I'm playing a regional VS race!
  14be	= I'm playing a regional battle!
  14bf	= I'm hosting a race (race 1).
  14c0	= I'm hosting a race (race 2).
  14c1	= I'm hosting a race (race 3).
  14c2	= I'm hosting a race (race 4).
  14c3	= I'm hosting a battle (battle 1).
  14c4	= I'm hosting a battle (battle 2).
  14c5	= I'm hosting a battle (battle 3).
  14c6	= I'm hosting a battle (tiebreaker).
  14c7	= I'm playing a friend (race 1).
  14c8	= I'm playing a friend (race 2).
  14c9	= I'm playing a friend (race 3).
  14ca	= I'm playing a friend (race 4).
  14cb	= I'm playing a friend (battle 1).
  14cc	= I'm playing a friend (battle 2).
  14cd	= I'm playing a friend (battle 3).
  14ce	= I'm playing a friend (tiebreaker).
  14cf	/
  14d0	/
  14e6	= I'm joining a friend.
  14e7	/
  1518	/
  1519	/
  151a	= A ghost challenge will be\n
	+ sent. Is that OK?
  151b	= Sending challenge...
  151c	= A ghost challenge has been\n
	+ sent to \z{802,120000}!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= A ghost challenge has been sent\n
	+ to \z{802,120000}!\n
	+ \n
	+ 5/5\n
	+ \n
	+ You can't send a new ghost\n
	+ challenge until the next time\n
	+ you start Mario Kart Wii.
  151e	= You haven't created a ghost, so\n
	+ you couldn't send a challenge.
  151f	/
  157c	= Reading ghost data...
  157d	= You received a challenge from a friend!
  157e	= Your downloaded ghost list is full,\n
	+ so you can't accept your friends'\n
	+ challenges.\n
	+ \n
	+ Please erase a ghost.
  157f	= You can't play this course yet. \n
	+ \n
	+ Collect Grand Prix trophies to\n
	+ open more courses.
  1580	= An error occurred when\n
	+ receiving a ghost challenge.
  1581	/
  15e0	= 
  15e1	= Japan
  15e8	= Anguilla
  15e9	= Antigua and Barbuda
  15ea	= Argentina
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbados
  15ee	= Belize
  15ef	= Bolivia
  15f0	= Brazil
  15f1	= British Virgin Islands
  15f2	= Canada
  15f3	= Cayman Islands
  15f4	= Chile
  15f5	= Colombia
  15f6	= Costa Rica
  15f7	= Dominica
  15f8	= Dominican Republic
  15f9	= Ecuador
  15fa	= El Salvador
  15fc	= Grenada
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haiti
  1601	= Honduras
  1602	= Jamaica
  1604	= Mexico
  1605	= Montserrat
  1606	= Netherlands Antilles
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Peru
  160b	= St. Kitts and Nevis
  160c	= St. Lucia
  160d	= St. Vincent and the Grenadines
  160e	= Suriname
  160f	= Trinidad and Tobago
  1610	= Turks and Caicos Islands
  1611	= United States
  1612	= Uruguay
  1613	= US Virgin Islands
  1614	= Venezuela
  1621	= Australia
  1622	= Austria\040
  1623	= Belgium
  162a	= Denmark
  162c	= Finland
  162d	= France
  162e	= Germany
  162f	= Greece
  1632	= Ireland
  1633	= Italy
  1638	= Luxembourg
  163e	= Netherlands
  163f	= New Zealand
  1640	= Norway
  1642	= Portugal
  1649	= Spain
  164b	= Sweden
  164c	= Switzerland
  164e	= United Kingdom
  1660	= 
  1668	= South Korea
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Pick a course.
  1771	= Friend Ranking
  1772	= Regional Ranking
  1773	= Worldwide Ranking
  1774	= Top
  1775	= \z{802,110000} Friend Top 10
  1776	= \z{802,110000} Regional Top 10
  1777	= \z{802,110000} Worldwide Top 10
  1778	= 10
  1779	= Top 10
  177a	= Play Time Trials
  177b	= Start This Race
  177c	= Watch the Replay
  177d	= Clear Ghost
  177e	= Send a Ghost Challenge
  177f	= Race This Ghost
  1780	= Solo Time Trials
  1781	= NEW
  1782	= Friend
  1783	= Top 10
  1784	= Regional
  1785	= Top 10
  1786	= Worldwide
  1787	= Top 10
  1788	/
  17a2	= TIME
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Regional Champion
  17a7	= World Champion
  17a8	= Rival Ghost
  17a9	= Friend
  17aa	= Region
  17ab	= Worldwide
  17ac	= \z{803,100000}
  17ad	= Family Ghost
  17ae	= Friend Ghost
  17af	= Special Ghost
  17b0	= Staff Ghost
  17b1	/
  17d4	= \z{802,110000}\n
	+ \n
	+ There are no ghosts.
  17d5	= \z{802,130000}\n
	+ \n
	+ There are no ghosts.
  17d6	= There is no downloaded ghost data.
  17d7	/
  17de	= Downloading ghost data...
  17df	= Your downloaded ghost list is\n
	+ full, so you can't download\n
	+ any more ghosts.\n
	+ \n
	+ Please delete a ghost.
  17e0	= An error occurred\n
	+ while receiving the\n
	+ ghost data.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  17e1	= A ghost has been downloaded.
  17e2	= Downloading the Top 10...
  17e3	= An error occurred\n
	+ when downloading\n
	+ the Top 10.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  17e4	= There is no Top 10.
  17e5	= 
  17e8	= You will be connected to\n
	+ Nintendo WFC. Is that OK?
  17e9	= OK
  17ea	= You will be connected to\n
	+ Nintendo WFC. Is that OK?
  17eb	= A new ghost will replace\n
	+ the existing one. Is this OK?
  17ec	/
  1806	= Race a ghost.
  1807	= Watch ghost replay data.
  1808	= You really want to erase?
  1809	= Erase
  180a	= Don't Erase
  180b	/
  1839	= 1st
  183a	= 2nd
  183b	= 3rd
  183c	= 4th
  183d	= 5th
  183e	= 6th
  183f	= 7th
  1840	= 8th
  1841	= 9th
  1842	= 10th
  1843	= 11th
  1844	= 12th
  1845	/
  186a	= Start a Time Trial now.
  186b	= Battle \z{802,120000}.
  186c	= Race the regional champion's ghost.
  186d	= Race the world champion's ghost.
  186e	= Race the ghost of a player who's slightly faster than you.
  186f	= View the Top 10 in your friend roster.
  1870	= View the Regional Top 10.
  1871	= View the Worldwide Top 10.
  1872	= Race the Mario Kart Wii staff ghost.
  1873	= This is \z{802,120000}'s record.
  1874	= Regional Champ's Record
  1875	= World Champ's Record
  1876	/
  189c	= Send Ghost Challenge
  189d	= \z{802,110000}\n
	+ \n
	+ There is no record for \z{802,120000}.
  189e	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}'s record is \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  189f	= \z{802,110000}\n
	+ \n
	+ There's no record for \z{802,120000}.
  18a0	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}'s record is \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  18a1	= Sending ghost data...
  18a2	/
  18a6	= WiiConnect24 is temporarily unavailable.\n
	+ Please try again later.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18a7	= An Internet connection cannot be\n
	+ established, so WiiConnect24\n
	+ cannot be used. Check the Internet\n
	+ settings and connection. Refer to the\n
	+ Wii Operations Manual for details.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18a8	= There is a problem with the Wii system\n
	+ memory, so WiiConnect24 cannot be used. \n
	+ \n
	+ Error code: \z{a02,1000000006}
  18a9	= Your hardware must be\n
	+ updated before you can\n
	+ use WiiConnect24. Refer\n
	+ to the Wii Operations Manual\n
	+ for more information.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18aa	= An error has occurred and\n
	+ WiiConnect24 cannot be used. \n
	+ Please reset and try again.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18ab	= The WiiConnect24 settings are not\n
	+ on. Please check your settings in\n
	+ the Wii options. Refer to the\n
	+ Wii Operations Manual for more\n
	+ information.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18ac	= There is a problem\n
	+ with the Wii system\n
	+ memory, so WiiConnect24\n
	+ cannot be used. \n
	+ \n
	+ Error code: \z{a02,1000000006}
  18ad	= Use of network features has\n
	+ been restricted.\n
	+ \n
	+ Please check the settings\n
	+ for Parental Controls under\n
	+ Wii Options.
  18ae	= Unable to connect to\n
	+ the Internet. Confirm\n
	+ the Internet settings\n
	+ of the Wii console.\n
	+ \n
	+ Error Code: 50200
  18af	= The Mario Kart Channel\n
	+ uses WiiConnect24 to\n
	+ receive information like:\n
	+ ・Challenges from friends.\n
	+ ・Rankings of players from\n
	+ around the world.\n
	+ ・Ghosts from potential rivals.\n
	+ ・Scheduled tournaments.
  18b0	= You can set your WiiConnect24\n
	+ settings in the Wii options.\n
	+ \n
	+ Please check the Wii Operations\n
	+ Manual for more information.
  18b1	= You can't connect to WiiConnect24\n
	+ because an error has occurred.\n
	+ \n
	+ Reset your Wii and try again.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  18b2	= 
  18f6	= GO!
  18f7	= 
  1900	= A friend sent you a challenge.
  1901	= Special ghost data is available.
  1902	= A tournament is under way.
  1903	= View the latest rankings.
  1904	= Race a ghost right away.
  1905	= New friend record available!
  1906	= Install the Mario Kart Channel.
  1907	= Receive Mario Kart Wii messages?
  1908	= Set your region?
  1909	= Invite Wii friends?
  190a	= Receive Mario Kart Channel updates?
  190b	/
  190c	/
  1964	= View your ghost delivery list.
  1965	= Go to your Time Trial ranking.
  1966	= Go to the tournament.
  1967	= Go to your Time Trial ranking.
  1968	= Go to a ghost race.
  1969	= Go to your Time Trial ranking.
  196a	= Go to General Settings.
  196b	= Go to General Settings.
  196c	= Go to General Settings.
  196d	= Invite people to register you as a friend.
  196e	= Updating rankings and tournament data.
  196f	/
  1970	/
  1996	= You can't view the tournament\n
	+ rankings right now.
  1997	= Downloading the tournament rankings...
  1998	= An error occurred in downloading\n
	+ the tournament rankings.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1999	= Tournament rankings are available\n
	+ the day after a tournament starts.\n
	+ \n
	+ Please wait awhile.
  199a	= First half
  199b	= Second half
  199c	= You can't view the\n
	+ rankings for this\n
	+ tournament yet.\n
	+ \n
	+ Please try again tomorrow.
  19c8	= A worldwide Mario Kart Wii\n
	+ tournament will begin and\n
	+ last for a limited time only.\n
	+ \n
	+ Please connect your Wii to\n
	+ the Internet, turn on\n
	+ WiiConnect24, and wait for\n
	+ the tournament to start.
  19c9	= The previous tournament\n
	+ has ended and its rankings\n
	+ have been announced!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Start
  19cd	= Send Tournament Record
  19ce	= Sending the tournament record...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= The tournament record\n
	+ has been sent.
  19d1	= Unable to send the\n
	+ tournament record.\n
	+ \n
	+ Error code: \z{a02,1000000005}
  19d2	= This tournament will\n
	+ last until \z{a02,1000010000}/\z{a02,1000020000}/\z{a02,1000000000}.
  19d3	/
  1a2c	= Invite Wii Friends
  1a2d	= You can send an invitation to\n
	+ play Mario Kart Wii to someone\n
	+ else's Wii Message Board,\n
	+ \z{602,0}.\n
	+ This invitation will include your\n
	+ friend code, so your friend can\n
	+ register you right away.
  1a2e	= Please choose the addressee.
  1a2f	= An invitation will be sent\n
	+ to \z{802,200000}'s Wii Message\n
	+ Board. Is this OK?
  1a30	= Sending your invitation...
  1a31	= Your invitation has been\n
	+ sent to \z{802,200000}'s\n
	+ Wii Message Board!\n
	+ \n
	+ Once \z{802,200000} responds, \n
	+ you can become friends.
  1a32	= An error occurred when\n
	+ sending the invitation.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Your tournament record\n
	+ has been sent. You will\n
	+ go to the tournament\n
	+ rankings now.\n
  1a35	/
  1a36	= Friend Registration
  1a37	= You received an invitation\n
	+ from \z{802,200000}.\n
	+ You can register that person\n
	+ as a friend right away. In\n
	+ doing so, your friend code\n
	+ will be sent to \z{802,200000}.
  1a38	= \z{802,200000} will be registered\n
	+ as a friend. \n
	+ \n
	+ Is that OK?
  1a39	= Registering a friend...
  1a3a	= \z{802,200000} has been \n
	+ registered as a friend.
  1a3b	= An error occurred\n
	+ while registering\n
	+ that friend.\n
	+ \n
	+ Error code: \z{a02,1000000006}
  1a3c	= You don't have a friend code,\n
	+ \z{602,0}.\n
	+ \n
	+ Your friend code is a 12-digit\n
	+ number that lets you connect\n
	+ to Nintendo WFC.\n
	+ \n
	+ Please see the Mario Kart Wii\n
	+ Instruction Booklet for more information.\040
  1a3d	= You have received a\n
	+ friend invitation, but\n
	+ you already have 30\n
	+ friends registered,\n
	+ \z{602,0}.\n
	+ \n
	+ You can't register \n
	+ any more friends.
  1a3e	= You received a friend invitation,\n
	+ but the person who invited you\n
	+ isn't registered in your\n
	+ Wii Message Board Address Book.\n
	+ \n
	+ Start the Mario Kart Channel\n
	+ again and reregister that\n
	+ person's friend code.
  1a3f	= You received a friend invitation.\n
	+ \n
	+ However, that person is already\n
	+ registered as a friend.
  1a40	= 
  1a90	= Download Tournament Rankings
  1a91	= Downloading tournament rankings...
  1a92	= Tournament rankings downloaded.
  1a93	= Unable to download\n
	+ tournament rankings.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Receive Channel Updates
  1af5	= Download the latest\n
	+ Mario Kart Channel\n
	+ updates?
  1af6	= Downloading updates...
  1af7	= The latest Mario Kart Channel\n
	+ updates have been received.
  1af8	= An error occurred in\n
	+ downloading the latest data.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  1af9	/
  1b58	= Settings
  1b59	= Network Settings
  1b5a	= Settings
  1b5b	= Next
  1b5c	/
  1bbc	= Nintendo GameCube Controller
  1bbd	= Do you want to use the\n
	+ Rumble Feature on the\n
	+ Nintendo GameCube\n
	+ Controller?
  1bbe	= Yes
  1bbf	= No
  1bc0	= The Nintendo GameCube\n
	+ Controller's Rumble\n
	+ Feature has been set\n
	+ to On.
  1bc1	= The Nintendo GameCube\n
	+ Controller's Rumble\n
	+ Feature has been set\n
	+ to Off.
  1bc2	/
  1c20	= Your Region
  1c21	= Go to the Wii Menu to set\n
	+ the region settings for\n
	+ where you live?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Region Profile
  1c53	= In Mario Kart Wii, you can\n
	+ display your region information\n
	+ and national flag on:\n
	+ ・The Nintendo WFC globe.\n
	+ ・Your Time Trial ghost.\n
	+ \n
	+ This data will be sent to your\n
	+ Nintendo WFC opponents.
  1c54	= Display your flag and\n
	+ region information when\n
	+ playing Mario Kart Wii?
  1c55	= Display
  1c56	= Don't Display
  1c57	= Your region profile\n
	+ has been set to\n
	+ Display.
  1c58	= Your region profile\n
	+ has been set to\n
	+ Don't Display.
  1c59	/
  1c84	= Message Delivery
  1c85	= Choose whether to receive messages\n
	+ via WiiConnect24 on your Wii\n
	+ Message Board from the Mario\n
	+ Kart Channel. Messages can include\n
	+ information about:\n
	+ ・Mario Kart tournaments.\n
	+ ・Special ghosts.\n
	+ You will continue to receive notices\n
	+ essential to game play.
  1c86	= Opt in to receive\n
	+ messages from the\n
	+ Mario Kart Channel?
  1c87	= Yes
  1c88	= No
  1c89	= You have set your Mario\n
	+ Kart Channel message-delivery\n
	+ status to Opt In.
  1c8a	= You will not receive\n
	+ messages from the Mario\n
	+ Kart Channel. Is this OK?
  1c8b	= 
  1cb6	= You are currently set to receive\n
	+ Mario Kart Channel messages on\n
	+ your Wii Message Board.
  1cb7	= Stop receiving messages?
  1cb8	= No Mario Kart Channel messages.
  1cb9	= No channel messages.
  1cba	= Keep receiving messages.
  1cbb	= Would you like to opt out\n
	+ of all Mario Kart Channel\n
	+ messages?
  1cbc	= Would you like to\n
	+ opt out of all channel\n
	+ messages?
  1cbd	= You will continue to receive\n
	+ Mario Kart Channel messages.
  1cbe	= You have set your Mario\n
	+ Kart Channel message-delivery\n
	+ status to Opt Out.
  1cbf	= You will not receive messages\n
	+ from the Mario Kart Channel.
  1cc0	= You will not receive\n
	+ messages from any channel.
  1cc1	= 
  1ce8	= Data Exchange
  1ce9	= When you play Mario Kart Wii over\n
	+ Nintendo WFC, the following\n
	+ data will automatically\n
	+ be sent to Nintendo:\n
	+ ・Your Mii and nickname.\n
	+ ・Your record and ghost data.\n
	+ This information could also be\n
	+ viewable to other Mario Kart Wii\n
	+ players.
  1cea	= Permit data to be\n
	+ sent to Nintendo?
  1ceb	= Permit
  1cec	= Prohibit
  1ced	= You have set exchange\n
	+ of Mario Kart Wii data\n
	+ to Permit.
  1cee	= You will not be able to play\n
	+ Mario Kart Wii over Nintendo WFC.\n
	+ Is this OK?
  1cef	= You have set exchange\n
	+ of Mario Kart Wii data\n
	+ to Prohibit.
  1cf0	= In order to protect your privacy,\n
	+ if your Mii nickname contains your\n
	+ real name or personal information,\n
	+ please change your Mii information\n
	+ by doing one of the following:\n
	+ ・Change your nickname in the Mii Channel.\n
	+ ・Choose a Guest Mii in License Settings.
  1cf1	= 
  1d4c	= Other People's Miis
  1d4d	= Other people's Miis will\n
	+ appear in Nintendo WFC\n
	+ matches, rankings, and other\n
	+ places in Mario Kart Wii.\n
	+ \n
	+ Choose whether or not to\n
	+ display other people's Miis\n
	+ as they are.
  1d4e	= Display other people's\n
	+ Miis as they are in\n
	+ Mario Kart Wii?
  1d4f	= Display As They Are
  1d50	= Replace and Display
  1d51	= You have set other\n
	+ people's Miis to\n
	+ Display As They Are\n
	+ in Mario Kart Wii.
  1d52	= You have set other\n
	+ people's Mii's to\n
	+ Replace and Display\n
	+ in Mario Kart Wii.
  1d53	= Other people's Miis\n
	+ will be replaced with\n
	+ Miis created by\n
	+ Nintendo. Is that OK?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii can be displayed in\n
	+ 60Hz (480i) Mode. Your current setting is\n
	+ 50Hz (576i) Mode. If your TV - like most TV\n
	+ models - supports 60Hz Mode, please select\n
	+ this TV Type in the Wii System Settings for\n
	+ a better display quality.\n
	+ \n
	+ To change your TV Type setting to 60Hz Mode, \n
	+ please press the HOME Button and go to\n
	+ the Wii Menu.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= CONGRATULATIONS!
  1e17	= Do you want to send a\n
	+ commemorative photo to\n
	+ the Wii Message Board?
  1e18	= Sending to the Wii Message Board...
  1e19	= The commemorative photo\n
	+ has been sent to the\n
	+ Wii Message Board.
  1e1a	= If you send too many commemorative\n
	+ photos, the space allotted for data\n
	+ on the Wii Message Board will\n
	+ fill up.\n
	+ \n
	+ When the Wii Message Board is full,\n
	+ the system will delete messages to\n
	+ free up space, starting from the\n
	+ oldest available.
  1e1b	= Please continue to\n
	+ enjoy Mario Kart Wii!
  1f40	= Congratulations!\n
	+ You can now play the\n
	+ \z{802,110000} \z{802,110001}!
  1f41	= Congratulations!\n
	+ You can now play in\n
	+ Mirror Mode!
  1f42	= Congratulations!\n
	+ You have unlocked\n
	+ \z{802,110000}!
  1f43	= Congratulations!\n
	+ You have unlocked\n
	+ \z{802,110000}!
  1f44	= Congratulations!\n
	+ You've unlocked a small\n
	+ kart, the \z{802,110000}.
  1f45	= Congratulations!\n
	+ You've unlocked a medium\n
	+ kart, the \z{802,110000}.
  1f46	= Congratulations!\n
	+ You've unlocked a large\n
	+ kart, the \z{802,110000}.
  1f47	= Congratulations!\n
	+ You've unlocked a small\n
	+ bike, the \z{802,110000}.
  1f48	= Congratulations!\n
	+ You've unlocked a medium\n
	+ bike, the \z{802,110000}.
  1f49	= Congratulations!\n
	+ You've unlocked a large\n
	+ bike, the \z{802,110000}.
  1f4a	= Congratulations!\n
	+ You can now play the 50cc \n
	+ Grand Prix (karts and bikes)!
  1f4b	= Congratulations!\n
	+ You can now play Grand Prix\n
	+ on 100cc (karts and bikes)!
  1f4c	/
  1fa4	= You won trophies in the \z{802,110000} Mushroom and Flower Cups!
  1fa5	= You won a trophy in the \z{802,110000} Star Cup!
  1fa6	= You won trophies in the \z{802,110000} Shell Cup and Banana Cup!
  1fa7	= You won a trophy in the \z{802,110000} Leaf Cup!
  1fa8	= You conquered all cups on 150cc!
  1fa9	/
  1fae	= You won the Leaf Cup on 100cc!
  1faf	= You played a Time Trial on every course!
  1fb0	= You won 1,000 Nintendo WFC races!
  1fb1	= You scored \u{f061} in the entire Wii Grand Prix on 50cc!
  1fb2	= You unlocked eight fast staff ghosts!
  1fb3	= You won the Lightning Cup on 50cc!
  1fb4	= You scored \u{f061} in the entire Retro Grand Prix on 100cc!
  1fb5	= You won the Special Cup on 150cc!
  1fb6	= You played Time Trials on 16 courses!
  1fb7	= You scored \u{f061} in all cups in Mirror Mode!
  1fb8	= You got a present from Super Mario Galaxy!
  1fb9	= You scored \u{f061} in the entire Wii Grand Prix on 150cc!
  1fba	= You unlocked four fast staff ghosts!
  1fbb	= You won 25 ghost races!
  1fbc	= You won the Star Cup on 50cc!
  1fbd	= You won the Special Cup on 100cc!
  1fbe	= You unlocked all 32 fast staff ghosts!
  1fbf	= You won 5,000 Nintendo WFC races!
  1fc0	= You won 100 ghost races!
  1fc1	= You won 250 ghost races!
  1fc2	/
  1fcc	= You scored \u{f061} in the entire Retro Grand Prix on 50cc!
  1fcd	= You unlocked a fast staff ghost!
  1fce	= You won 50 Nintendo WFC races!
  1fcf	= You won the Lightning Cup in Mirror Mode!
  1fd0	= You won the Leaf Cup on 50cc!
  1fd1	= You won the Leaf Cup on 150cc!
  1fd2	= You unlocked 24 fast staff ghosts!
  1fd3	= You won the Special Cup on 50cc!
  1fd4	= You scored \u{f061} in the entire Retro Grand Prix on 150cc!
  1fd5	= You won the Lightning Cup on 150cc!
  1fd6	= You won the Star Cup on 150cc!
  1fd7	= You played Time Trials on eight courses!
  1fd8	= You won five ghost races!
  1fd9	= You won the Leaf Cup in Mirror Mode!
  1fda	= You won the Lightning Cup on 100cc!
  1fdb	= You scored \u{f061} in the entire Wii Grand Prix on 100cc!
  1fdc	= You won the Star Cup in Mirror Mode!
  1fdd	= You won the Star Cup on 100cc!
  1fde	= You unlocked 12 fast staff ghosts!
  1fdf	= You won 200 ghost races!
  1fe0	= You won the Special Cup in Mirror Mode!
  1fe1	= You won trophies in all cups on 50cc.
  1fe2	= You won trophies in all cups on 100cc.
  1fe3	= You won 3,000 Nintendo WFC races!
  1fe4	= Play Count: \z{a02,1000000000}!
  1fe5	/
  2008	= General
  2009	= Favorites
  200a	= Friends
  200b	= Nintendo WFC
  200c	= Other Records
  2012	= Overall Ranking
  2013	= Distance Traveled
  2014	= Total Race Count
  2015	= Total Battle Count
  2016	= Wii Wheel %
  2017	= Tricks
  2018	= Favorite Character
  2019	= Favorite Vehicle
  201a	= Favorite Course
  201b	= Favorite Stage
  201c	= Nintendo WFC Friend Races
  201d	/
  201e	= Challenge Ghosts Sent
  201f	= Challenge Ghosts Received
  2020	= VS Rating (VR)
  2021	= Nintendo WFC Races
  2022	= Battle Rating (BR)
  2023	= Nintendo WFC Battles
  2024	= First-Place Appearances
  2025	= % Race Time in 1st Place
  2026	= Item Hits Delivered
  2027	= Item Hits Received
  2028	= Ghost Races
  2029	= Tournaments Played
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}
  2047	= \z{a02,1000000000}
  2048	= \z{a02,1000000000} %
  2049	= \z{a02,1000000000}
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= Wins: \z{a02,1000000000} Losses: \z{a02,1000010000}\040
  204f	/
  2050	= \z{a02,1000000000}
  2051	= \z{a02,1000000000}
  2052	= \z{a02,1000000000}
  2053	= Wins: \z{a02,1000000000} Losses: \z{a02,1000010000}
  2054	= \z{a02,1000000000}
  2055	= Wins: \z{a02,1000000000} Losses: \z{a02,1000010000}
  2056	= \z{a02,1000000000}
  2057	= \z{a02,1000000000} %
  2058	= \z{a02,1000000000}
  2059	= \z{a02,1000000000}
  205a	= Wins: \z{a02,1000000000} Losses: \z{a02,1000010000}
  205b	= \z{a02,1000000000}
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= Congrats, %ls!\n
	+ \n
	+ You've managed to collect every\n
	+ trophy in the game!\n
	+ \n
	+ To mark this momentous occasion,\n
	+ we'd like to present you with a\n
	+ commemorative photo.\n
	+ \n
	+ Keep karting!
  20d6	= Congrats, %ls!\n
	+ \n
	+ You've managed to conquer every\n
	+ Grand Prix in the game!\n
	+ \n
	+ To mark this momentous occasion,\n
	+ we'd like to present you with a\n
	+ commemorative photo.\n
	+ \n
	+ Keep karting!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= Congratulations, %ls!\n
	+ \n
	+ As your reward for earning trophies in all 100cc cups, you've unlocked
	+  the 100cc Grand Prix (mixed vehicles)!
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
  2125	/
  2126	/
  212a	= This is a message from the\n
	+ Mario Kart Channel!\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ [How to Opt Out]\n
	+ \n
	+ This announcement has been sent\n
	+ to you by the Mario Kart Channel.\n
	+ If you do not wish to receive further\n
	+ announcements, move your pointer to\n
	+ Opt Out, press the A Button,\n
	+ and choose to not receive\n
	+ messages from this channel or from\n
	+ all channels.\040
  212b	= This is a message from the\n
	+ Mario Kart Channel!\n
	+ \n
	+ \z{802,200000}\n
	+ \n
	+ \n
	+ \n
	+ [How to Opt Out]\n
	+ \n
	+ This announcement has been sent\n
	+ to you by the Mario Kart Channel.\n
	+ If you do not wish to receive further\n
	+ announcements, move your pointer\n
	+ to Opt Out, press the A Button,\n
