#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= 안녕하세요!
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120c	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120d	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120e	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120f	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1210	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1211	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1212	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1213	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1214	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1215	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1216	/
  1388	= 마리오 카트 채널
  1389	= 친구와 합류
  138a	= 랭킹
  138b	= 고스트 레이스
  138c	= 대회
  138d	/
  138e	= 친구 등록
  138f	/
  1390	= Wii 메뉴
  1391	= 고스트 수신 목록
  1392	= 대회
  1393	= 친구 목록
  1394	/
  1395	/
  1396	= 레이스 시작
  1397	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!
  1398	= 마이 고스트
  1399	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139a	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139b	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139c	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139d	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139e	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  139f	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  13a0	= 세계 각지의 고스트를\n
	+ 차례차례 수신합니다!\n
	+ \n
	+ 많은 고스트와 대전하여\n
	+ 실력을 쌓아 보세요!\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3} \z{a02,1000010000}\z{c04,113a413a5}
  13a1	= \z{a02,1000000000}\z{c04,13a213a3}
  13a2	= 승
  13a3	= 승
  13a4	= 패
  13a5	= 패
  13a6	/
  13ba	= 친구
  13bb	= 고스트
  13bc	= 타임 어택 랭킹
  13bd	/
  13be	= 대회 랭킹
  13bf	/
  13c4	= 지금 플레이하는 친구를 확인합니다
  13c5	= 친구나 세계 랭킹을 확인합니다
  13c6	= 수신한 고스트를 확인/삭제합니다
  13c7	= 마리오 카트 대회에 참가합니다
  13c8	= 전 세계 고스트와 대전합니다
  13c9	/
  13ca	= 고스트를 받거나 보낼 수도 있습니다
  13cb	/
  13cc	= 마리오 카트 대회의 랭킹입니다!
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= 친구 코드를 등록해 주십시오
  13ed	= 이 친구 코드를 등록하겠습니까?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= 잘못된 친구 코드입니다.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ef	= 친구 코드를 등록했습니다.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= \z{602,0} 님의 친구 코드도\n
	+ 전달해 주십시오.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ 서로 「친구 등록」을 하면\n
	+ 함께 플레이할 수 있습니다.
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= 그 친구 코드는 이미\n
	+ 등록되어 있습니다.
  13f7	= 친구는 30명까지이므로\n
	+ 등록할 수 없습니다.
  13f8	= \z{602,0} 님의 친구 코드가 없습니다.
  13f9	= \z{802,130000} 님의 친구 코드입니다.\n
	+ \n
	+ 등록할 수 없습니다.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= 삭제
  1451	= 합류
  1452	= 합류할 수 없습니다
  1453	= 아직 친구가 되지 않았습니다
  1454	/
  1455	/
  1456	= win
  1457	= wins
  1458	/
  1459	= 배틀
  145a	= 친구를 삭제하겠습니까?
  145b	= 친구를 삭제했습니다
  145c	= 친구를 삭제하고 있습니다
  145d	= 친구 삭제
  145e	= 삭제한다
  145f	= 삭제하지 않는다
  1460	= \z{c04,14561457}
  1461	= 이 친구의 모든\n
	+ 데이터를 삭제하겠습니까?
  1462	/
  14b4	= Wi-Fi에 접속 중입니다
  14b5	= Wi-Fi에 접속하지 않았습니다
  14b6	/
  14b7	/
  14b8	= 친구 룸을 열었습니다!
  14b9	= 친구와 플레이하고 있습니다
  14ba	= 친구와 플레이하고 있습니다
  14bb	= 세계 VS를 플레이하고 있습니다!
  14bc	= 세계 배틀을 플레이하고 있습니다!
  14bd	= 국내 VS를 플레이하고 있습니다!
  14be	= 국내 배틀을 플레이하고 있습니다!
  14bf	= 레이스를 주최하고 있습니다(1경기)
  14c0	= 레이스를 주최하고 있습니다(2경기)
  14c1	= 레이스를 주최하고 있습니다(3경기)
  14c2	= 레이스를 주최하고 있습니다(4경기)
  14c3	= 배틀을 주최하고 있습니다(1경기)
  14c4	= 배틀을 주최하고 있습니다(2경기)
  14c5	= 배틀을 주최하고 있습니다(3경기)
  14c6	= 배틀을 주최하고 있습니다(연장전)
  14c7	= 친구와 플레이하고 있습니다(1경기)
  14c8	= 친구와 플레이하고 있습니다(2경기)
  14c9	= 친구와 플레이하고 있습니다(3경기)
  14ca	= 친구와 플레이하고 있습니다(4경기)
  14cb	= 친구와 플레이하고 있습니다(1경기)
  14cc	= 친구와 플레이하고 있습니다(2경기)
  14cd	= 친구와 플레이하고 있습니다(3경기)
  14ce	= 친구와 플레이하고 있습니다(연장전)
  14cf	/
  14d0	/
  14e6	= 친구와 합류합니다
  14e7	/
  1518	/
  1519	/
  151a	= 고스트 도전장을 보내겠습니까?
  151b	= 고스트 도전장을 보내고 있습니다
  151c	= \z{802,120000} 님에게\n
	+ 고스트 도전장을 보냈습니다!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= \z{802,120000} 님에게\n
	+ 고스트 도전장을 보냈습니다!\n
	+ \n
	+ 5/5\n
	+ \n
	+ 「마리오 카트 Wii」를\n
	+ 다시 플레이할 때까지 고스트\n
	+ 도전장은 보낼 수 없습니다.
  151e	= 고스트가 없어\n
	+ 도전장을 보내지 못했습니다.
  151f	/
  157c	= 고스트를 읽고 있습니다
  157d	= 친구로부터 도전장이 도착했습니다!
  157e	= 「고스트 수신 목록」이 가득 차\n
	+ 친구의 도전장을\n
	+ 수신할 수 없습니다.\n
	+ \n
	+ 고스트를 삭제해 주십시오.
  157f	= 이 코스는 아직\n
	+ 플레이할 수 없습니다.\n
	+ \n
	+ 그랑프리 트로피를 모으면\n
	+ 더 많은 코스를\n
	+ 플레이할 수 있게 됩니다.
  1580	= 고스트 도전장의 수신에\n
	+ 실패했습니다.
  1581	/
  15e0	= 
  15e1	= 일본
  15e8	= 앵귈라
  15e9	= 앤티가바부다
  15ea	= 아르헨티나
  15eb	= 아루바
  15ec	= 바하마
  15ed	= 바베이도스
  15ee	= 벨리즈
  15ef	= 볼리비아
  15f0	= 브라질
  15f1	= 영국령 버진제도
  15f2	= 캐나다
  15f3	= 케이맨 제도
  15f4	= 칠레
  15f5	= 콜롬비아
  15f6	= 코스타리카
  15f7	= 도미니카
  15f8	= 도미니카 공화국
  15f9	= 에콰도르
  15fa	= 엘살바도르
  15fc	= 그레나다
  15fe	= 과테말라
  15ff	= 가이아나
  1600	= 아이티
  1601	= 온두라스
  1602	= 자메이카
  1604	= 멕시코
  1605	= 몬세라트
  1606	= 네덜란드령 앤틸리스제도
  1607	= 니카라과
  1608	= 파나마
  1609	= 파라과이
  160a	= 페루
  160b	= 세인트 키츠 네비스
  160c	= 세인트루시아
  160d	= 세인트 빈센트 그레나딘
  160e	= 수리남
  160f	= 트리니다드 토바코
  1610	= 터크스케이커스제도
  1611	= 미국
  1612	= 우루과이
  1613	= 미국령 버진제도
  1614	= 베네수엘라
  1621	= 오스트레일리아
  1622	= 오스트리아
  1623	= 벨기에
  162a	= 덴마크
  162c	= 핀란드
  162d	= 프랑스
  162e	= 독일
  162f	= 그리스
  1632	= 아일랜드
  1633	= 이탈리아
  1638	= 룩셈부르크
  163e	= 네덜란드
  163f	= 뉴질랜드
  1640	= 노르웨이
  1642	= 포르투갈
  1649	= 스페인
  164b	= 스웨덴
  164c	= 스위스
  164e	= 영국
  1660	= 
  1668	= 대한민국
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= 코스를 선택해 주십시오
  1771	= 친구 랭킹
  1772	= 국내 랭킹
  1773	= 세계 랭킹
  1774	= TOP
  1775	= \z{802,110000} 친구 TOP10
  1776	= \z{802,110000} 국내 TOP10
  1777	= \z{802,110000} 세계 TOP10
  1778	= 10
  1779	= TOP10
  177a	= 타임 어택을 플레이한다
  177b	= 레이스를 시작한다
  177c	= 리플레이를 감상한다
  177d	= 고스트를 삭제한다
  177e	= 고스트 도전장을 보낸다
  177f	= 고스트와 레이스
  1780	= 혼자서 타임 어택
  1781	= NEW
  1782	= 친구
  1783	= TOP10
  1784	= 국내
  1785	= TOP10
  1786	= 세계
  1787	= TOP10
  1788	/
  17a2	= TIME
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= 국내 챔피언
  17a7	= 세계 챔피언
  17a8	= 라이벌 고스트
  17a9	= 친구
  17aa	= 국내
  17ab	= 세계
  17ac	= \z{803,100000}
  17ad	= 가족 고스트
  17ae	= 친구 고스트
  17af	= 스페셜 고스트
  17b0	= 개발자 고스트
  17b1	/
  17d4	= \z{802,110000}\n
	+ \n
	+ 고스트가 없습니다.
  17d5	= \z{802,130000}\n
	+ \n
	+ 고스트가 없습니다.
  17d6	= 수신한 고스트는\n
	+ 없습니다.
  17d7	/
  17de	= 고스트를 수신하고 있습니다
  17df	= 「고스트 수신 목록」이\n
	+ 가득 차서\n
	+ 더 이상 받을 수 없습니다.\n
	+ \n
	+ 「고스트 수신 목록」에서\n
	+ 고스트를 삭제해 주십시오.
  17e0	= 고스트 수신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  17e1	= 고스트를 수신했습니다.
  17e2	= TOP10을 수신하고 있습니다
  17e3	= TOP10 수신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  17e4	= TOP10이 없습니다.
  17e5	= 
  17e8	= Wi-Fi 커넥션에\n
	+ 접속하겠습니까?
  17e9	= OK
  17ea	= Wi-Fi 커넥션에\n
	+ 접속하겠습니까?
  17eb	= 새로운 고스트와\n
	+ 바꾸겠습니까?
  17ec	/
  1806	= 고스트와 대전합니다
  1807	= 고스트의 리플레이를 감상합니다
  1808	= 정말로 삭제하겠습니까?
  1809	= 예
  180a	= 아니요
  180b	/
  1839	= 1st
  183a	= 2nd
  183b	= 3rd
  183c	= 4th
  183d	= 5th
  183e	= 6th
  183f	= 7th
  1840	= 8th
  1841	= 9th
  1842	= 10th
  1843	= 11th
  1844	= 12th
  1845	/
  186a	= 타임 어택을 시작합니다
  186b	= \z{802,120000} 님과 대전할 수 있습니다
  186c	= 국내 챔피언과 대전할 수 있습니다
  186d	= 세계 챔피언과 대전할 수 있습니다
  186e	= 약간 빠른 고스트와 대전할 수 있습니다
  186f	= 친구 TOP10을 확인합니다
  1870	= 국내 TOP10을 확인합니다
  1871	= 세계 TOP10을 확인합니다
  1872	= 개발자 고스트와 대전할 수 있습니다
  1873	= \z{802,120000} 님의 기록입니다
  1874	= 국내 챔피언의 기록입니다
  1875	= 세계 챔피언의 기록입니다
  1876	/
  189c	= 고스트 도전장 보내기
  189d	= \z{802,110000}\n
	+ \n
	+ \z{802,120000} 님의 기록은 없습니다.
  189e	= \z{802,110000}\n
	+ \n
	+ \z{802,120000} 님  \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}
  189f	= \z{802,110000}\n
	+ \n
	+ \z{802,120000} 님의 기록은 없습니다.
  18a0	= \z{802,110000}\n
	+ \n
	+ \z{802,120000} 님  \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}
  18a1	= 고스트 도전장을 보내고 있습니다
  18a2	/
  18a6	= WiiConnect24 서비스를\n
	+ 일시적으로 이용할 수 없습니다.\n
	+ 잠시 후\n
	+ 다시 시도해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18a7	= 인터넷에 접속할 수 없어\n
	+ WiiConnect24를 사용할 수 없습니다.\n
	+ 인터넷 설정에서 접속 경로를\n
	+ 확인해 주십시오. 자세한 내용은\n
	+ 본체 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18a8	= Wii 본체 저장 메모리에 문제가\n
	+ 발생하여 WiiConnect24를\n
	+ 사용할 수 없습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18a9	= WiiConnect24 기능을\n
	+ 사용하려면 Wii 본체를\n
	+ 업데이트해야 합니다.\n
	+ \n
	+ 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18aa	= 에러가 발생하여 WiiConnect24\n
	+ 기능을 사용할 수 없습니다.\n
	+ 리셋 버튼을 누른 후\n
	+ 다시 시도해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18ab	= WiiConnect24 설정이\n
	+ ON으로 되어 있지 않습니다.\n
	+ \n
	+ Wii 옵션에서 설정을 확인해\n
	+ 주십시오. 자세한 내용은 Wii\n
	+ 본체 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18ac	= Wii 본체 저장 메모리에\n
	+ 문제가 발생하여\n
	+ WiiConnect24를\n
	+ 사용할 수 없습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18ad	= 네트워크 기능의 이용이\n
	+ 제한되어 있습니다.\n
	+ \n
	+ Wii 옵션의\n
	+ 청소년 보호 기능 설정을\n
	+ 확인해 주십시오.
  18ae	= 인터넷이 설정되지\n
	+ 않았습니다.\n
	+ \n
	+ Wii 옵션에서\n
	+ 인터넷 접속 경로를\n
	+ 설정해 주십시오.\n
	+ \n
	+ 에러 코드：50200
  18af	= 「마리오 카트 채널」은\n
	+ Wiiconnect24를 이용해서\n
	+ \n
	+ ・친구가 보내는 「도전장」\n
	+ ・전 세계 사람들의 「랭킹」\n
	+ ・비슷한 실력을 가진 「고스트」\n
	+ ・기간 한정 「대회」\n
	+ 등의 데이터를 수신할 수 있습니다.
  18b0	= Wiiconnect24 설정은\n
	+ Wii 본체에서 이루어집니다.\n
	+ \n
	+ 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.
  18b1	= 에러가 발생하여 WiiConnect24\n
	+ 기능을 사용할 수 없습니다.\n
	+ 리셋 버튼을 누른 후\n
	+ 다시 시도해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  18b2	= 
  18f6	= GO!
  18f7	= 
  1900	= 친구로부터 도전장이 도착했습니다
  1901	= 스페셜 고스트를 받을 수 있습니다
  1902	= 대회를 개최 중입니다
  1903	= 최신 랭킹이 발표되었습니다
  1904	= 지금 고스트 배틀을 할 수 있습니다
  1905	= 친구가 새 기록을 올렸습니다
  1906	= 마리오 카트 채널을 저장할 수 있습니다
  1907	= 마리오 카트 정보를 받을 수 있습니다
  1908	= 살고 있는 지역을 설정할 수 있습니다
  1909	= Wii 알림판에서 친구를 초대할 수 있습니다
  190a	= 최신 데이터를 수신할 수 있습니다
  190b	/
  190c	/
  1964	= 「고스트 수신 목록」으로 이동합니다
  1965	= 「타임 어택 랭킹」으로 이동합니다
  1966	= 「대회」로 이동합니다
  1967	= 「타임 어택 랭킹」으로 이동합니다
  1968	= 「고스트 배틀」로 이동합니다
  1969	= 「타임 어택 랭킹」으로 이동합니다
  196a	= 「공통 설정」으로 이동합니다
  196b	= 「공통 설정」으로 이동합니다
  196c	= 「공통 설정」으로 이동합니다
  196d	= 친구 등록 초대 편지를 보낼 수 있습니다
  196e	= 랭킹이나 대회 데이터를 업데이트합니다
  196f	/
  1970	/
  1996	= 현재 대회 랭킹을\n
	+ 열람할 수 없습니다.
  1997	= 대회 랭킹을 수신하고 있습니다.
  1998	= 대회 랭킹 수신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1999	= 대회 랭킹은 개최 다음날부터\n
	+ 열람할 수 있습니다.\n
	+ \n
	+ 잠시 기다려 주십시오.
  199a	= 1차
  199b	= 2차
  199c	= 이번 대회의 랭킹은\n
	+ 아직 열람할 수 없습니다.\n
	+ \n
	+ 내일 이후\n
	+ 다시 시도해 주십시오.
  19c8	= 마리오 카트 대회가\n
	+ 전 세계 동시에 개최됩니다.\n
	+ \n
	+ Wii를 인터넷에 연결하여\n
	+ WiiConnect24 설정을\n
	+ ON으로 하고 대회 정보를\n
	+ 기다려 주십시오.
  19c9	= 지난번 대회가 끝났습니다.\n
	+ \n
	+ 「대회 랭킹」이\n
	+ \n
	+ 발표되었습니다!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= 시작
  19cd	= 대회 기록을 보내기
  19ce	= 대회 기록을 보내고 있습니다.
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= 대회 기록을 보냈습니다.
  19d1	= 대회 기록을\n
	+ 보내지 못했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  19d2	= \z{a02,1000000000}년 \z{a02,1000010000}월 
	+ \z{a02,1000020000}일까지\n
	+ 열립니다.
  19d3	/
  1a2c	= Wii 알림판에 초대 편지
  1a2d	= 친구의 Wii 알림판에\n
	+ 「마리오 카트 Wii」의 초대 편지를\n
	+ 보낼 수 있습니다.\n
	+ \n
	+ \z{602,0} 님의 친구 코드를\n
	+ 편지에 적어 놓기 때문에\n
	+ 바로 「친구 등록」될지도 모릅니다.
  1a2e	= 받는 사람을 선택해 주십시오
  1a2f	= \z{802,200000} 님의 Wii 알림판에\n
	+ 초대 편지를 보내겠습니까?
  1a30	= 초대 편지를 보내고 있습니다
  1a31	= \z{802,200000} 님의 Wii 알림판에\n
	+ 초대 편지를 보냈습니다!\n
	+ \n
	+ \z{802,200000} 님에게서\n
	+ 답장이 오면\n
	+ 바로 친구가 될 수 있습니다.
  1a32	= 초대 편지 송신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= 대회 기록을 보냈습니다.\n
	+ \n
	+ 대회 랭킹으로 이동하겠습니다.
  1a35	/
  1a36	= 친구 등록
  1a37	= \z{802,200000} 님에게서\n
	+ 초대 편지가 도착했습니다.\n
	+ \n
	+ 바로 친구 등록할 수 있습니다.
  1a38	= \z{802,200000} 님을\n
	+ 친구로 등록하겠습니까?
  1a39	= 친구로 등록하고 있습니다
  1a3a	= \z{802,200000} 님을\n
	+ 친구로 등록했습니다.
  1a3b	= 친구 등록에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  1a3c	= \z{602,0} 님은\n
	+ 친구 코드를 갖고 있지 않습니다.\n
	+ \n
	+ 친구 코드란\n
	+ Wi-Fi에 연결했을 때 받는\n
	+ 12자리의 번호입니다.\n
	+ \n
	+ 자세한 내용은 마리오 카트 Wii의\n
	+ 사용설명서를 읽어 주십시오.
  1a3d	= 친구 등록\n
	+ 초대 편지를 받았지만\n
	+ \n
	+ \z{602,0} 님은\n
	+ 이미 30명의 친구를\n
	+ 등록한 상태입니다.\n
	+ \n
	+ 더 이상 등록할 수 없습니다.
  1a3e	= 친구 등록\n
	+ 초대 편지를 받았지만\n
	+ \n
	+ 그 분은 Wii 알림판의 주소록에서\n
	+ 삭제되어 있습니다.\n
	+ \n
	+ 다시 기동한 후에\n
	+ 친구 코드를 등록해 주십시오.
  1a3f	= 친구 등록\n
	+ 초대 편지를 받았지만\n
	+ \n
	+ 그 분의 친구 코드는\n
	+ 이미 등록되어 있습니다.
  1a40	= 
  1a90	= 대회 랭킹 수신
  1a91	= 대회 랭킹을 수신하고 있습니다.
  1a92	= 대회 랭킹을 수신했습니다.
  1a93	= 대회 랭킹 수신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= 최신 데이터 수신
  1af5	= 마리오 카트 채널의\n
	+ 최신 데이터를 수신합니다.
  1af6	= 최신 데이터를 수신하고 있습니다.
  1af7	= 마리오 카트 채널의\n
	+ 최신 데이터를 수신했습니다.
  1af8	= 최신 데이터 수신에\n
	+ 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000006}
  1af9	/
  1b58	= 공통 설정
  1b59	= 네트워크 옵션
  1b5a	= 공통 설정
  1b5b	= 다음
  1b5c	/
  1bbc	= 게임큐브 컨트롤러 진동
  1bbd	= 게임큐브 컨트롤러의\n
	+ 진동 기능을 사용하겠습니까?
  1bbe	= 사용한다
  1bbf	= 사용하지 않는다
  1bc0	= 게임큐브 컨트롤러의\n
	+ 진동 기능을\n
	+ \n
	+ ［ 사용한다 ］\n
	+ \n
	+  로 설정했습니다.
  1bc1	= 게임큐브 컨트롤러의\n
	+ 진동 기능을\n
	+ \n
	+ ［ 사용하지 않는다 ］\n
	+ \n
	+  로 설정했습니다.
  1bc2	/
  1c20	= 살고 있는 지역
  1c21	= 살고 있는 지역을 설정하기 위해\n
	+ Wii 메뉴로 이동하겠습니까?
  1c22	/
  1c23	/
  1c24	/
  1c52	= 국기와 지역 이용
  1c53	= 「마리오 카트 Wii」에서는\n
	+ 국기와 지역을\n
	+ 다음 데이터에 이용할 수 있습니다.\n
	+ ・Wi-Fi 대전 시의 지구본\n
	+ ・타임 어택의 고스트\n
	+ \n
	+ 이들 데이터는\n
	+ Wi-Fi 대전 상대에게도 전달됩니다.
  1c54	= 「마리오 카트 Wii」에서\n
	+ 국기와 지역을\n
	+ 이용하겠습니까?
  1c55	= 이용한다
  1c56	= 이용하지 않는다
  1c57	= 「마리오 카트 Wii」에서\n
	+ 국기와 지역을\n
	+ \n
	+ ［ 이용한다 ］\n
	+ \n
	+  로 설정했습니다.
  1c58	= 「마리오 카트 Wii」에서\n
	+ 국기와 지역을\n
	+ \n
	+ ［ 이용하지 않는다 ］\n
	+ \n
	+  로 설정했습니다.
  1c59	/
  1c84	= 정보 수신
  1c85	= 정보를 받고자 하는 분에게\n
	+ 「마리오 카트 채널」의 정보를\n
	+ WiiConnect24를 통해\n
	+ Wii 알림판에 보내겠습니다.\n
	+ \n
	+ 내용은 다음과 같습니다.\n
	+ ・마리오 카트 대회의 개최\n
	+ ・스페셜 고스트 전송
  1c86	= 「마리오 카트 채널」의\n
	+ 정보를 받겠습니까?
  1c87	= 전송받는다
  1c88	= 전송받지 않는다
  1c89	= 「마리오 카트 채널」의 정보를\n
	+ \n
	+ ［ 전송받는다 ］\n
	+ \n
	+  로 설정했습니다.
  1c8a	= 「마리오 카트 채널」의\n
	+ 정보를 받지 못해도\n
	+ 괜찮겠습니까?
  1c8b	= 
  1cb6	= 현재 Wii 알림판에\n
	+ 「마리오 카트 채널」의 정보를\n
	+ 받도록 설정되어 있습니다.
  1cb7	= 정보 수신을 거부하겠습니까?
  1cb8	= 수신을 거부한다
  1cb9	= 모든 채널의 정보 수신을 거부한다
  1cba	= 수신을 거부하지 않는다
  1cbb	= 「마리오 카트 채널」의\n
	+ 정보 수신을 거부하겠습니까?
  1cbc	= 모든 채널의\n
	+ 정보 수신을 거부하겠습니까?
  1cbd	= 「마리오 카트 채널」의\n
	+ 정보를 계속 수신합니다.
  1cbe	= 「마리오 카트 채널」의 정보를\n
	+ \n
	+ ［ 전송받지 않는다 ］\n
	+ \n
	+  로 설정했습니다.
  1cbf	= 「마리오 카트 채널」의\n
	+ 정보 수신을 거부했습니다.
  1cc0	= 모든 채널의\n
	+ 정보 수신을 거부했습니다.
  1cc1	= 
  1ce8	= 닌텐도에 정보 송신
  1ce9	= 「마리오 카트 Wii」에서는\n
