#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Ciao!
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1215	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1216	/
  1388	= Canale Mario Kart
  1389	= Lista amici
  138a	= Classifiche
  138b	= Corsa fantasma
  138c	= Eventi speciali
  138d	/
  138e	= Registra codice amico
  138f	/
  1390	= Menu Wii
  1391	= Dati fantasma scaricati
  1392	= Eventi speciali
  1393	= Lista amici
  1394	/
  1395	/
  1396	= Inizia corsa
  1397	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!
  1398	= I miei dati fantasma
  1399	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139a	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139b	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139c	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139d	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139e	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139f	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a0	= Affina la tua abilità nella\n
	+ Prova a tempo sfidando dati\n
	+ fantasma di giocatori da tutto\n
	+ il mondo, in una serie di\n
	+ corse nella Nintendo WFC!\n
	+ \n
	+ Risultato attuale:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= vittoria
  13a3	= vittorie
  13a4	= sconfitta
  13a5	= sconfitte
  13a6	/
  13ba	= Amici
  13bb	= Fantasmi
  13bc	= Classifiche Prova a tempo
  13bd	/
  13be	= Classifiche eventi speciali
  13bf	/
  13c4	= Guarda cosa stanno facendo i tuoi amici.
  13c5	= Controlla classifiche di amici o di altri giocatori.
  13c6	= Controlla o cancella i dati fantasma scaricati.
  13c7	= Partecipa ad eventi speciali di Mario Kart.
  13c8	= Sfida dati fantasma da tutto il mondo.
  13c9	/
  13ca	= Invia e ricevi dati fantasma.
  13cb	/
  13cc	= Guarda le classifiche degli eventi di Mario Kart.
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Inserisci il codice amico.
  13ed	= Vuoi registrare questo codice amico?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ Questo codice amico è errato.
  13ef	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ Questo codice amico è stato registrato.
  13f0	= Questa persona deve registrare\n
	+ il tuo codice amico prima di\n
	+ poter giocare con te.\n
	+ \n
	+ Il tuo codice amico è:\n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= Questo codice amico è\n
	+ già registrato.
  13f7	= La lista amici può contenere\n
	+ fino a un massimo di 30 amici.\n
	+ La tua lista amici è piena.
  13f8	= Non hai un codice amico.
  13f9	= Non puoi registrare il codice amico\n
	+ di una patente di Mario Kart Wii\n
	+ salvata in questa console Wii.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Cancella
  1451	= Entra
  1452	= Nessun incontro possibile.
  1453	= Non siete ancora amici.
  1454	/
  1455	/
  1456	= vittoria
  1457	= vittorie
  1458	/
  1459	= Battaglia
  145a	= Vuoi cancellare questo codice amico?
  145b	= Il codice amico è stato cancellato.
  145c	= Cancellazione codice amico...
  145d	= Cancella codice amico
  145e	= Cancella codice amico
  145f	= Annulla
  1460	= \z{c04,14561457}
  1461	= Cancellerai tutti i dati\n
	+ associati a questo codice amico.\n
	+ Va bene?
  1462	/
  14b4	= Sono nella Nintendo WFC!
  14b5	= Non sono nella Nintendo WFC!
  14b6	/
  14b7	/
  14b8	= Ho creato una stanza!
  14b9	= Sto giocando con degli amici!
  14ba	= Sto giocando con degli amici!
  14bb	= In una Corsa sfida mondiale!
  14bc	= In una Battaglia mondiale!
  14bd	= In una Corsa sfida continentale!
  14be	= In una Battaglia continentale!
  14bf	= Ospito un Gran premio (1ª gara)!
  14c0	= Ospito un Gran premio (2ª gara)!
  14c1	= Ospito un Gran premio (3ª gara)!
  14c2	= Ospito un Gran premio (4ª gara)!
  14c3	= Ospito una Battaglia (1ª battaglia)!
  14c4	= Ospito una Battaglia (2ª battaglia)!
  14c5	= Ospito una Battaglia (3ª battaglia)!
  14c6	= Ospito una Battaglia (spareggio)!
  14c7	= Gioco con amici (1ª gara)!
  14c8	= Gioco con amici (2ª gara)!
  14c9	= Gioco con amici (3ª gara)!
  14ca	= Gioco con amici (4ª gara)!
  14cb	= Gioco con amici (1ª battaglia)!
  14cc	= Gioco con amici (2ª battaglia)!
  14cd	= Gioco con amici (3ª battaglia)!
  14ce	= In Battaglia con amici (spareggio)!
  14cf	/
  14d0	/
  14e6	= Entra nella stanza di un tuo amico.
  14e7	/
  1518	/
  1519	/
  151a	= I dati fantasma saranno inviati.\n
	+ Va bene?
  151b	= Invio dati fantasma in corso...
  151c	= I tuoi dati fantasma sono stati inviati\n
	+ a \z{802,120000} come sfida!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= I tuoi dati fantasma sono stati inviati\n
	+ come sfida a \z{802,120000}!\n
	+ \n
	+ 5/5\n
	+ \n
	+ Potrai inviare nuove sfide la prossima\n
	+ volta che giocherai a Mario Kart Wii.
  151e	= Non è stato possibile inviare dati\n
	+ fantasma come sfida perché non\n
	+ sono stati trovati dati fantasma.
  151f	/
  157c	= Lettura dati fantasma in corso...
  157d	= Hai ricevuto una sfida da un amico!
  157e	= Non puoi accettare sfide dai\n
	+ tuoi amici perché la tua lista di\n
	+ dati fantasma scaricati è piena.\n
	+ \n
	+ Cancella dei dati fantasma dalla\n
	+ tua lista.
  157f	= Questo percorso non è ancora disponibile.\n
	+ \n
	+ Se vinci abbastanza coppe in\n
	+ modalità Gran premio, sbloccherai\n
	+ nuovi percorsi su cui gareggiare.
  1580	= Si è verificato un errore durante il\n
	+ download dei dati fantasma di sfida.
  1581	/
  15e0	= 
  15e1	= Giappone
  15e8	= Anguilla
  15e9	= Antigua e Barbuda
  15ea	= Argentina
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbados
  15ee	= Belize
  15ef	= Bolivia
  15f0	= Brasile
  15f1	= Isole Vergini Britanniche
  15f2	= Canada
  15f3	= Isole Cayman
  15f4	= Cile
  15f5	= Colombia
  15f6	= Costa Rica
  15f7	= Dominica
  15f8	= Repubblica Dominicana
  15f9	= Ecuador
  15fa	= El Salvador
  15fc	= Grenada
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haiti
  1601	= Honduras
  1602	= Giamaica
  1604	= Messico
  1605	= Montserrat
  1606	= Antille Olandesi
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Perù
  160b	= Saint Kitts e Nevis
  160c	= Saint Lucia
  160d	= Saint Vincent e Grenadines
  160e	= Suriname
  160f	= Trinidad e Tobago
  1610	= Turks e Caicos
  1611	= Stati Uniti
  1612	= Uruguay
  1613	= Isole Vergini Americane
  1614	= Venezuela
  1621	= Australia
  1622	= Austria
  1623	= Belgio
  162a	= Danimarca
  162c	= Finlandia
  162d	= Francia
  162e	= Germania
  162f	= Grecia
  1632	= Irlanda
  1633	= Italia
  1638	= Lussemburgo
  163e	= Paesi Bassi
  163f	= Nuova Zelanda
  1640	= Norvegia
  1642	= Portogallo
  1649	= Spagna
  164b	= Svezia
  164c	= Svizzera
  164e	= Regno Unito
  1660	= 
  1668	= Corea del Sud
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Scegli un percorso.
  1771	= Classifica amici
  1772	= Classifica continentale
  1773	= Classifica mondiale
  1774	= Top 10
  1775	= \z{802,110000} - Top 10 amici
  1776	= \z{802,110000} - Top 10 continentale
  1777	= \z{802,110000} - Top 10 mondiale
  1778	= 10
  1779	= Top 10
  177a	= Avvia Prova a tempo
  177b	= Sfida questo fantasma
  177c	= Guarda replay
  177d	= Cancella dati fantasma
  177e	= Invia dati fantasma
  177f	= Sfida questo fantasma
  1780	= Prova a tempo in solitario
  1781	= NUOVO
  1782	= Top 10
  1783	= amici
  1784	= Top 10
  1785	= continentale
  1786	= Top 10
  1787	= mondiale
  1788	/
  17a2	= TEMPO
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Campione continentale
  17a7	= Campione mondiale
  17a8	= Fantasma rivale
  17a9	= amici
  17aa	= continentale
  17ab	= mondiale
  17ac	= \z{803,100000}
  17ad	= Dati fantasma famiglia
  17ae	= Dati fantasma amici
  17af	= Dati fantasma speciali
  17b0	= Dati fantasma staff
  17b1	/
  17d4	= Non ci sono dati fantasma\n
	+ per il percorso\n
	+ \z{802,110000}.
  17d5	= Non ci sono dati fantasma per\n
	+ \z{802,130000}.
  17d6	= Non ci sono dati fantasma scaricati.
  17d7	/
  17de	= Download dati fantasma in corso...
  17df	= Non puoi scaricare altri dati\n
	+ fantasma perché la tua lista di\n
	+ dati fantasma scaricati è piena.\n
	+ \n
	+ Cancella dei dati fantasma dalla\n
	+ tua lista.
  17e0	= Si è verificato un errore durante\n
	+ il download dei dati fantasma.\n
	+ Codice errore: \z{a02,1000000005}
  17e1	= Download dati fantasma completato.
  17e2	= Download Top 10 in corso...
  17e3	= Si è verificato un errore durante\n
	+ il download della Top 10.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  17e4	= Non c'è una Top 10.
  17e5	= 
  17e8	= Vuoi collegarti alla Nintendo WFC?
  17e9	= OK
  17ea	= Vuoi collegarti alla Nintendo WFC?
  17eb	= Nuovi dati fantasma sostituiranno\n
	+ quelli attuali.\n
	+ Va bene?
  17ec	/
  1806	= Corri contro un fantasma.
  1807	= Guarda il replay dei dati fantasma.
  1808	= Vuoi davvero cancellare i dati?
  1809	= Cancella i dati
  180a	= Annulla
  180b	/
  1839	= 1°
  183a	= 2°
  183b	= 3°
  183c	= 4°
  183d	= 5°
  183e	= 6°
  183f	= 7°
  1840	= 8°
  1841	= 9°
  1842	= 10°
  1843	= 11°
  1844	= 12°
  1845	/
  186a	= Avvia una Prova a tempo su questo percorso.
  186b	= Controlla il record di \z{802,120000}.
  186c	= Gareggia contro il campione continentale.
  186d	= Gareggia contro il campione mondiale.
  186e	= Gareggia contro il fantasma di un giocatore appena più bravo di te.
  186f	= Visualizza la Top 10 dei tuoi amici.
  1870	= Visualizza la Top 10 continentale.
  1871	= Visualizza la Top 10 mondiale.
  1872	= Gareggia contro un fantasma dello staff di Mario Kart Wii.
  1873	= Il record di \z{802,120000}.
  1874	= Il record del campione continentale.
  1875	= Il record del campione mondiale.
  1876	/
  189c	= Invia dati fantasma
  189d	= \z{802,120000} non ha nessun record\n
	+ sul percorso\n
	+ \z{802,110000}.
  189e	= Il record di \z{802,120000} sul percorso\n
	+ \z{802,110000} è \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  189f	= \z{802,120000} non ha nessun record\n
	+ sul percorso\n
	+ \z{802,110000}.
  18a0	= Il record di \z{802,120000} sul percorso\n
	+ \z{802,110000} è \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  18a1	= Invio dati fantasma in corso...
  18a2	/
  18a6	= Al momento WiiConnect24 non è disponibile.\n
	+ Riprova più tardi.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18a7	= A causa di un problema di connessione a Internet è\n
	+ impossibile utilizzare WiiConnect24. Controlla le\n
	+ impostazioni dalle Opzioni Wii. Per maggiori\n
	+ informazioni, consulta il manuale di istruzioni\n
	+ della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18a8	= A causa di un problema di memoria della console Wii\n
	+ è impossibile utilizzare WiiConnect24.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18a9	= Per poter usare WiiConnect24 devi\n
	+ aggiornare la console Wii. Per maggiori\n
	+ informazioni, consulta il manuale di\n
	+ istruzioni della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18aa	= Si è verificato un errore.\n
	+ Impossibile usare WiiConnect24.\n
	+ Riavvia la console e riprova.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18ab	= WiiConnect24 è attualmente disattivato.\n
	+ Controlla le impostazioni dalle Opzioni Wii.\n
	+ Per maggiori informazioni, consulta il\n
	+ manuale di istruzioni della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18ac	= A causa di un problema di memoria della console Wii\n
	+ è impossibile utilizzare WiiConnect24.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18ad	= L'uso delle funzioni di rete è limitato.\n
	+ Controlla le impostazioni del filtro\n
	+ famiglia dalle Opzioni Wii.
  18ae	= Non è stata configurata\n
	+ nessuna connessione.\n
	+ \n
	+ Configura la connessione\n
	+ dalle impostazioni Internet\n
	+ nelle Opzioni Wii.\n
	+ \n
	+ Codice errore: 50200
  18af	= Il Canale Mario Kart usa WiiConnect24\n
	+ per ricevere informazioni quali:\n
	+ \n
	+ ・ sfide dai tuoi amici\n
	+ ・ classifiche dei giocatori di tutto il mondo\n
	+ ・ dati fantasma di avversari alla tua altezza\n
	+ ・ calendari degli eventi.
  18b0	= Puoi modificare le impostazioni\n
	+ di WiiConnect24 nelle Opzioni Wii.\n
	+ \n
	+ Per maggiori informazioni, consulta\n
	+ il manuale di istruzioni della console Wii.
  18b1	= Si è verificato un errore.\n
	+ Impossibile usare WiiConnect24.\n
	+ Riavvia la console e riprova.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  18b2	= 
  18f6	= VIA!
  18f7	= 
  1900	= È arrivata una sfida da un amico
  1901	= Nuovi dati fantasma speciali
  1902	= È in corso un evento speciale
  1903	= Classifiche aggiornate disponibili
  1904	= Inizia una Corsa fantasma
  1905	= Un amico ha aggiornato i record
  1906	= Installa il Canale Mario Kart
  1907	= Imposta il servizio informazioni
  1908	= Imposta la località di residenza
  1909	= Invita amici tramite bacheca Wii
  190a	= Scarica i dati più recenti
  190b	/
  190c	/
  1964	= Vai alla lista dei dati fantasma scaricati.
  1965	= Vai alle classifiche Prova a tempo.
  1966	= Partecipa a un evento speciale.
  1967	= Vai alle classifiche Prova a tempo.
  1968	= Inizia una Corsa fantasma.
  1969	= Vai alle classifiche Prova a tempo.
  196a	= Vai allo schermo delle opzioni.
  196b	= Vai allo schermo delle opzioni.
  196c	= Vai allo schermo delle opzioni.
  196d	= Invita i tuoi amici Wii.
  196e	= Aggiorna classifiche e dati eventi.
  196f	/
  1970	/
  1996	= Non sono al momento disponibili\n
	+ classifiche di eventi speciali.
  1997	= Download classifica evento speciale in corso...
  1998	= Si è verificato un errore durante\n
	+ il download della classifica\n
	+ dell'evento speciale.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1999	= La classifica di un evento speciale\n
	+ verrà resa nota il giorno successivo\n
	+ al suo inizio.\n
	+  \n
	+ Dovrai pazientare ancora un po'.
  199a	= 1ª parte
  199b	= 2ª parte
  199c	= Le classifiche di questo evento\n
	+ speciale non sono ancora disponibili.\n
	+ \n
	+ Riprova domani.
  19c8	= Puoi partecipare a eventi speciali\n
	+ mondiali di Mario Kart Wii.\n
	+ \n
	+ Collega la tua console Wii a Internet,\n
	+ attiva WiiConnect24 e aspetta che\n
	+ cominci un evento.
  19c9	= L'evento speciale precedente\n
	+ si è concluso e adesso sono\n
	+ disponibili i risultati!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Inizia
  19cd	= Invia record evento speciale
  19ce	= Invio record evento speciale in corso...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Il tuo record dell'evento speciale\n
	+ è stato inviato.
  19d1	= Impossibile inviare il record\n
	+ dell'evento speciale.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  19d2	= La data finale di questo evento speciale è:\n
	+ \z{a02,1000020000}/\z{a02,1000010000}/\z{a02,1000000000}.
  19d3	/
  1a2c	= Invito bacheca Wii
  1a2d	= Puoi spedire un messaggio\n
	+ contenente il tuo codice amico\n
	+ alle bacheche Wii dei tuoi amici.\n
	+ \n
	+ È un modo semplice e rapido per\n
	+ diventare amici in Mario Kart Wii!
  1a2e	= Scegli un amico al quale spedire l'invito.
  1a2f	= Stai per spedire un invito alla\n
	+ bacheca Wii di \z{802,200000}.\n
	+ Premi OK per confermare.
  1a30	= Invio in corso...
  1a31	= L'invito è stato spedito alla bacheca\n
	+ Wii di \z{802,200000}.\n
	+ \n
	+ Se \z{802,200000} accetta il\n
	+ tuo invito, riceverai un messaggio\n
	+ di notifica nella tua bacheca Wii.
  1a32	= Impossibile inviare l'invito.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Il record dell'evento speciale\n
	+ è stato inviato.\n
	+ \n
	+ Vai alla classifica eventi speciali.
  1a35	/
  1a36	= Registra codice amico
  1a37	= Hai ricevuto un invito da\n
	+ \z{802,200000}.\n
	+ \n
	+ Se registri il codice amico di\n
	+ questa persona nella tua lista\n
	+ amici, il tuo codice amico le\n
	+ verrà inviato automaticamente.
  1a38	= Vuoi registrare il codice amico di\n
	+ \z{802,200000} nella tua lista amici?
  1a39	= Registrazione in corso...
  1a3a	= Registrazione del codice amico\n
	+ di \z{802,200000} completata.
  1a3b	= Impossibile registrare questo codice amico.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  1a3c	= Non hai ancora un codice amico.\n
	+ \n
	+ Il codice amico è un numero di 12 cifre\n
	+ che viene assegnato automaticamente dopo\n
	+ il primo collegamento alla Nintendo WFC.\n
	+ \n
	+ Per maggiori informazioni, consulta il\n
	+ manuale di istruzioni di Mario Kart Wii.
  1a3d	= Hai ricevuto un invito a diventare\n
	+ amici, ma hai già 30 codici amico\n
	+ nella tua lista amici.\n
	+ \n
	+ Non puoi registrarne altri.
  1a3e	= Hai ricevuto un invito a diventare amici,\n
	+ ma il mittente è stato cancellato dalla\n
	+ rubrica della tua bacheca Wii.\n
	+ \n
	+ Riavvia il Canale Mario Kart e registra\n
	+ il suo codice amico.
  1a3f	= Hai ricevuto un invito a\n
	+ diventare amici, ma il codice\n
	+ amico del mittente è già\n
	+ presente nella tua lista amici.
  1a40	= 
  1a90	= Download classifica evento speciale
  1a91	= Download classifica evento speciale in corso...
  1a92	= Download classifica evento speciale completato.
  1a93	= Impossibile scaricare la classifica\n
	+ dell'evento speciale.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Scarica i dati più recenti
  1af5	= Verranno scaricati gli ultimi\n
	+ dati dal Canale Mario Kart.
  1af6	= Download degli ultimi dati in corso...
  1af7	= Hai scaricato gli ultimi\n
	+ dati dal Canale Mario Kart.
  1af8	= Si è verificato un errore durante\n
	+ il download dei dati più recenti.\n
	+ \n
	+ Codice errore: \z{a02,1000000006}
  1af9	/
  1b58	= Opzioni
  1b59	= Nintendo Wi-Fi Connection
  1b5a	= Opzioni
  1b5b	= Avanti
  1b5c	/
  1bbc	= Rumble controller GCN
  1bbd	= Vuoi usare la funzione rumble del\n
	+ controller per Nintendo GameCube?
  1bbe	= Sì
  1bbf	= No
  1bc0	= Hai scelto di usare la funzione rumble\n
	+ del controller per Nintendo GameCube.
  1bc1	= Hai scelto di non usare la funzione rumble\n
	+ del controller per Nintendo GameCube.
  1bc2	/
  1c20	= Località di residenza
  1c21	= Vuoi tornare al menu Wii e\n
	+ cambiare le impostazioni\n
	+ della tua località di residenza?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Profilo località
  1c53	= Mario Kart Wii può mostrare il tuo profilo\n
	+ località nei seguenti modi:\n
	+ \n
	+ ・ come posizione sul globo nella Nintendo WFC\n
	+ ・ all'interno dei tuoi dati fantasma.\n
	+ \n
	+ Se decidi di renderle disponibili,\n
	+ queste informazioni saranno inviate\n
	+ agli altri giocatori nella Nintendo WFC.
  1c54	= Vuoi mostrare il tuo profilo\n
	+ località quando giochi a Mario\n
	+ Kart Wii nella Nintendo WFC?
  1c55	= Sì
  1c56	= No
  1c57	= Hai scelto di mostrare il tuo\n
	+ profilo località nella Nintendo WFC.
  1c58	= Hai scelto di non mostrare il tuo\n
	+ profilo località nella Nintendo WFC.
  1c59	/
  1c84	= Servizio informazioni
  1c85	= Usufruendo del servizio informazioni, potrai\n
	+ ricevere le ultime novità dal Canale Mario Kart\n
	+ direttamente nella tua bacheca Wii grazie a\n
	+ WiiConnect24. Potrai rinunciare a tale servizio\n
	+ in qualsiasi momento.\n
	+ Riceverai messaggi che potranno riguardare:\n
	+ \n
	+ ・ nuovi eventi speciali\n
	+ ・ il download di dati fantasma speciali.
  1c86	= Vuoi usufruire del servizio\n
	+ informazioni del Canale\n
	+ Mario Kart?
  1c87	= Sì
  1c88	= No
  1c89	= Hai scelto di usufruire del\n
	+ servizio informazioni del\n
	+ Canale Mario Kart.
  1c8a	= Non riceverai messaggi\n
	+ dal servizio informazioni\n
	+ del Canale Mario Kart.\n
	+ Va bene?
  1c8b	= 
  1cb6	= Con le impostazioni attuali,\n
	+ riceverai messaggi dal Canale\n
	+ Mario Kart nella tua bacheca Wii.
  1cb7	= Seleziona l'opzione desiderata\n
	+ tra le tre disponibili.
  1cb8	= Rinuncia al servizio informazioni\n
	+ del Canale Mario Kart
  1cb9	= Rinuncia ai servizi informazioni\n
	+ di tutti i canali
  1cba	= Continua a ricevere messaggi dal\n
	+ Canale Mario Kart
  1cbb	= Non riceverai più messaggi\n
	+ dal Canale Mario Kart.\n
	+ Va bene?
  1cbc	= Non riceverai più messaggi\n
	+ da nessun canale.\n
	+ Va bene?
  1cbd	= Continuerai a ricevere messaggi\n
	+ dal Canale Mario Kart.
  1cbe	= Non riceverai messaggi\n
	+ dal Canale Mario Kart.
  1cbf	= Non riceverai più messaggi\n
	+ dal Canale Mario Kart.
  1cc0	= Non riceverai più messaggi\n
	+ da nessun canale.
  1cc1	= 
  1ce8	= Invio dati
  1ce9	= Quando giochi a Mario Kart Wii\n
	+ usando la Nintendo WFC, invierai a\n
	+ Nintendo le seguenti informazioni:\n
	+ \n
	+ ・ il tuo Mii e il tuo nickname\n
	+ ・ i tuoi risultati e i tuoi dati fantasma.\n
	+ \n
	+ Queste informazioni saranno visibili\n
	+ ad altri giocatori sulla Nintendo WFC.
  1cea	= Vuoi permettere l'invio di\n
	+ questi dati a Nintendo?
  1ceb	= Sì
  1cec	= No
  1ced	= Hai acconsentito a inviare\n
	+ i tuoi dati di Mario Kart Wii\n
	+ a Nintendo.
  1cee	= Se non acconsenti all'invio dei dati,\n
	+ non potrai giocare a Mario Kart Wii\n
	+ usando la Nintendo WFC. Va bene?
  1cef	= Hai scelto di non inviare\n
	+ i tuoi dati di Mario Kart Wii\n
	+ a Nintendo.
  1cf0	= Non rivelare il tuo nome o altri dati personali\n
	+ nel nickname del tuo Mii. Nel caso tu l'abbia\n
	+ fatto, esegui una delle operazioni sotto elencate\n
	+ per cambiare il nickname del tuo Mii e proteggere\n
	+ la tua privacy:\n
	+ \n
	+ ・ cambia il nickname del tuo Mii nel Canale Mii\n
	+ ・ seleziona un Mii ospite nelle Impostazioni patenti.
  1cf1	= 
  1d4c	= Impostazioni Mii
  1d4d	= I Mii delle persone di tutto il mondo\n
	+ appariranno durante le gare e le\n
	+ battaglie, nelle classifiche e in\n
	+ altre schermate della Nintendo WFC.\n
	+ \n
	+ Puoi scegliere se far apparire\n
	+ questi Mii, o se mostrare al loro\n
	+ posto Mii creati da Nintendo.
  1d4e	= Vuoi che i Mii creati da altre\n
	+ persone siano visualizzati in\n
	+ Mario Kart Wii?
  1d4f	= Sì
  1d50	= No
  1d51	= Hai scelto di visualizzare\n
	+ in Mario Kart Wii i Mii\n
	+ creati da altre persone.
  1d52	= Hai scelto di non visualizzare\n
	+ in Mario Kart Wii i Mii\n
	+ creati da altre persone.
  1d53	= I Mii creati da altre persone saranno\n
	+ sostituiti da Mii creati da Nintendo.\n
	+ Va bene?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii è compatibile con la\n
	+ modalità 60Hz (480i). L'impostazione attuale\n
	+ è 50Hz (576i). Se il tuo televisore - come la\n
	+ maggior parte dei modelli - supporta la\n
	+ modalità 60Hz, seleziona questo Tipo di TV\n
	+ nelle Impostazioni console Wii, per una\n
	+ migliore qualità delle immagini.\n
	+ \n
	+ Per cambiare il Tipo di TV selezionato,\n
	+ premi il pulsante HOME e vai al menu Wii.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= CONGRATULAZIONI!
  1e17	= Vuoi affiggere questa foto\n
	+ nella bacheca Wii?
  1e18	= Affissione in corso...
  1e19	= La foto è stata affissa\n
	+ nella bacheca Wii.
  1e1a	= Fai attenzione a non affiggere troppe\n
