#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= ¡Hola!
	+ Error: \z{a02,1000000005}
  1213	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1214	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1215	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1216	/
  1388	= Canal Mario Kart
  1389	= Lista de amigos
  138a	= Clasificaciones
  138b	= Carrera fantasma
  138c	= Concursos
  138d	/
  138e	= Añadir amigo
  138f	/
  1390	= Menú de Wii
  1391	= Lista de fantasmas descargados
  1392	= Concursos
  1393	= Lista de amigos
  1394	/
  1395	/
  1396	= Empezar carrera
  1397	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo.\040
  1398	= Mi corredor fantasma
  1399	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139a	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139b	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139c	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139d	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139e	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139f	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a0	= Para mejorar tu técnica, reta a los \n
	+ fantasmas de jugadores de todo el mundo \n
	+ y disputa una serie de carreras a través \n
	+ de la CWF de Nintendo. \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= victoria
  13a3	= victorias
  13a4	= derrota
  13a5	= derrotas
  13a6	/
  13ba	= Amigos
  13bb	= Fantasmas
  13bc	= Clasificaciones de Contrarreloj
  13bd	/
  13be	= Clasificaciones de concursos
  13bf	/
  13c4	= Comprueba qué están haciendo tus amigos.
  13c5	= Clasificaciones de amigos y de otros jugadores.
  13c6	= Comprueba y borra los fantasmas descargados.
  13c7	= Participa en concursos de Mario Kart.
  13c8	= Reta a fantasmas de todo el mundo.
  13c9	/
  13ca	= Envía y recibe corredores fantasma.
  13cb	/
  13cc	= Consulta las clasificaciones de concursos de Mario Kart.
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Introduce la clave de amigo.
  13ed	= ¿Quieres añadir esta clave de amigo?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= Esta clave de amigo no es válida.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ef	= Has añadido esta clave de amigo:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Para poder competir con este\n
	+ amigo tú también tienes que \n
	+ darle tu clave de amigo.\n
	+ \n
	+ Tu clave de amigo es:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= Esta clave de amigo ya está \n
	+ en tu lista de amigos.
  13f7	= No puedes tener a más de 30 \n
	+ amigos en tu lista.\n
	+ \n
  13f8	= No tienes ninguna clave de amigo.
  13f9	= No puedes añadir las claves de amigo \n
	+ asignadas a los carnés de Mario Kart \n
	+ Wii guardados en esta consola Wii.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Borrar
  1451	= Unirse a amigo
  1452	= No puedes unirte.
  1453	= Aún no sois amigos.
  1454	/
  1455	/
  1456	= victoria
  1457	= victorias
  1458	/
  1459	= Batalla
  145a	= ¿Quieres borrar esta clave de amigo?
  145b	= Se ha borrado esta clave de amigo.
  145c	= Borrando clave de amigo...
  145d	= Borrar clave de amigo
  145e	= Borrar clave de amigo
  145f	= Cancelar
  1460	= \z{c04,14561457}
  1461	= Se van a borrar todos los datos \n
	+ relacionados con esta clave de amigo.\n
	+ \n
	+ ¿Estás de acuerdo?
  1462	/
  14b4	= ¡Estoy en la CWF de Nintendo!
  14b5	= No estoy en la CWF de Nintendo.
  14b6	/
  14b7	/
  14b8	= ¡He creado una sala!
  14b9	= ¡Estoy jugando con amigos!
  14ba	= ¡Estoy jugando con amigos!
  14bb	= ¡En una Carrera VS. mundial!
  14bc	= ¡Disputo una Batalla mundial!
  14bd	= ¡En una Carrera VS. continental!
  14be	= ¡En una Batalla continental!
  14bf	= ¡Organizo un Grand Prix (1/4)!
  14c0	= ¡Organizo un Grand Prix (2/4)!
  14c1	= ¡Organizo un Grand Prix (3/4)!
  14c2	= ¡Organizo un Grand Prix (4/4)!
  14c3	= ¡Organizo una Batalla (1.ª)!
  14c4	= ¡Organizo una Batalla (2.ª)!
  14c5	= ¡Organizo una Batalla (3.ª)!
  14c6	= ¡Organizo una Batalla (decisiva)!
  14c7	= ¡Juego con amigos (1.ª carrera)!
  14c8	= ¡Juego con amigos (2.ª carrera)!
  14c9	= ¡Juego con amigos (3.ª carrera)!
  14ca	= ¡Juego con amigos (4.ª carrera)!
  14cb	= ¡Juego con amigos (1.ª batalla)!
  14cc	= ¡Juego con amigos (2.ª batalla)!
  14cd	= ¡Juego con amigos (3.ª batalla)!
  14ce	= ¡Juego con amigos (decisivo)!
  14cf	/
  14d0	/
  14e6	= Únete a un amigo.
  14e7	/
  1518	/
  1519	/
  151a	= Vas a enviar este corredor fantasma.\n
	+ ¿Estás de acuerdo?
  151b	= Enviando el corredor fantasma...
  151c	= ¡El corredor fantasma se ha enviado \n
	+ a \z{802,120000}!\n
	+ \n
	+ \z{a02,1000000000} / 5
  151d	= ¡El corredor fantasma se ha \n
	+ enviado a \z{802,120000}!\n
	+ \n
	+ 5 / 5\n
	+ \n
	+ Podrás enviar más corredores fantasma la \n
	+ próxima vez que juegues a Mario Kart Wii.
  151e	= No se ha encontrado ningún corredor fantasma,\n
	+ por lo que no se ha podido enviar ninguno\n
	+ como reto.
  151f	/
  157c	= Leyendo los datos de fantasmas...
  157d	= ¡Te ha retado un amigo!
  157e	= La lista de fantasmas descargados está \n
	+ llena. No puedes aceptar los retos \n
	+ de tus amigos.\n
	+ \n
	+ Borra un fantasma.
  157f	= Aún no puedes correr en este circuito.\n
	+ \n
	+ Para desbloquear nuevos circuitos tienes\n
	+ que conseguir trofeos en el modo Grand Prix.
  1580	= Se ha producido un error al descargar\n
	+ el corredor fantasma como reto.
  1581	/
  15e0	= 
  15e1	= Japón
  15e8	= Anguila
  15e9	= Antigua y Barbuda
  15ea	= Argentina
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbados
  15ee	= Belice
  15ef	= Bolivia
  15f0	= Brasil
  15f1	= Islas Vírgenes Británicas
  15f2	= Canadá
  15f3	= Islas Caimán
  15f4	= Chile
  15f5	= Colombia
  15f6	= Costa Rica
  15f7	= Dominica
  15f8	= República Dominicana
  15f9	= Ecuador
  15fa	= El Salvador
  15fc	= Granada
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haití
  1601	= Honduras
  1602	= Jamaica
  1604	= México
  1605	= Montserrat
  1606	= Antillas Neerlandesas
  1607	= Nicaragua
  1608	= Panamá
  1609	= Paraguay
  160a	= Perú
  160b	= San Cristóbal y Nieves
  160c	= Santa Lucía
  160d	= San Vicente y las Granadinas
  160e	= Surinam
  160f	= Trinidad y Tobago
  1610	= Islas Turcas y Caicos
  1611	= Estados Unidos de América
  1612	= Uruguay
  1613	= Islas Vírgenes Americanas
  1614	= Venezuela
  1621	= Australia
  1622	= Austria
  1623	= Bélgica
  162a	= Dinamarca
  162c	= Finlandia
  162d	= Francia
  162e	= Alemania
  162f	= Grecia
  1632	= Irlanda
  1633	= Italia
  1638	= Luxemburgo
  163e	= Países Bajos
  163f	= Nueva Zelanda
  1640	= Noruega
  1642	= Portugal
  1649	= España
  164b	= Suecia
  164c	= Suiza
  164e	= Reino Unido
  1660	= 
  1668	= Corea del Sur
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Elegir un circuito
  1771	= Clasificación de amigos
  1772	= Clasificación continental
  1773	= Clasificación mundial
  1774	= 10 mejores
  1775	= Amigos - \z{802,110000}
  1776	= Continental - \z{802,110000}
  1777	= Mundial - \z{802,110000}
  1778	= 10
  1779	= 10 mejores
  177a	= Correr Contrarreloj
  177b	= Retar corredor fantasma
  177c	= Ver repetición
  177d	= Borrar fantasma
  177e	= Enviar corredor fantasma
  177f	= Retar corredor fantasma
  1780	= Contrarreloj individual
  1781	= NUEVO
  1782	= Amigos
  1783	= 10 mejores
  1784	= Continental
  1785	= 10 mejores
  1786	= Mundial
  1787	= 10 mejores
  1788	/
  17a2	= TIEMPO
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Campeón continental
  17a7	= Campeón del mundo
  17a8	= Fantasma rival
  17a9	= Amigos
  17aa	= Continental
  17ab	= Mundial
  17ac	= \z{803,100000}
  17ad	= Fantasma familiar
  17ae	= Fantasma de amigo
  17af	= Fantasma especial
  17b0	= Fantasma del personal
  17b1	/
  17d4	= \z{802,110000}: no hay corredor \n
	+ fantasma para este circuito.\n
  17d5	= No hay corredor fantasma para\n
	+ \z{802,130000}.
  17d6	= No hay corredores fantasma descargados.
  17d7	/
  17de	= Descargando corredor fantasma...
  17df	= La lista de fantasmas descargados está \n
	+ llena. No puedes descargar corredores\n
	+ fantasma.\n
	+ \n
	+ Borra un fantasma de la lista de\n
	+ fantasmas descargados.
  17e0	= Se ha producido un error al \n
	+ descargar el corredor fantasma.\n
	+ \n
	+ Error: \z{a02,1000000005}
  17e1	= Se ha descargado el corredor fantasma.
  17e2	= Descargando los 10 mejores...
  17e3	= Se ha producido un error al \n
	+ descargar los 10 mejores.\n
	+ \n
	+ Error: \z{a02,1000000005}
  17e4	= No hay datos sobre los 10 mejores.
  17e5	= 
  17e8	= ¿Quieres acceder a la CWF de Nintendo?
  17e9	= Vale
  17ea	= ¿Quieres acceder a la CWF de Nintendo?
  17eb	= Vas a reemplazar el actual corredor \n
	+ fantasma por uno nuevo.\n
	+ \n
	+ ¿Seguro?
  17ec	/
  1806	= Corre contra este fantasma.
  1807	= Puedes ver la repetición de la \n
	+ carrera contra el fantasma.
  1808	= ¿Seguro que quieres borrar al corredor fantasma?
  1809	= Borrar
  180a	= Cancelar
  180b	/
  1839	= 1.º
  183a	= 2.º
  183b	= 3.º
  183c	= 4.º
  183d	= 5.º
  183e	= 6.º
  183f	= 7.º
  1840	= 8.º
  1841	= 9.º
  1842	= 10.º
  1843	= 11.°
  1844	= 12.°
  1845	/
  186a	= Disputa una carrera Contrarreloj en este circuito.
  186b	= Consulta el récord de \z{802,120000}.
  186c	= Corre contra el campeón continental.
  186d	= Corre contra el campeón del mundo.
  186e	= Corre contra fantasmas con mejor marca personal que tú.
  186f	= Comprueba qué 10 amigos son los mejores.
  1870	= Comprueba quiénes son los 10 mejores del continente.
  1871	= Comprueba quiénes son los 10 mejores del mundo.
  1872	= Corre contra el fantasma del personal de Mario Kart Wii.
  1873	= Récord de \z{802,120000}.
  1874	= Récord del campeón continental.
  1875	= Récord del campeón del mundo.
  1876	/
  189c	= Enviar corredor fantasma
  189d	= \z{802,120000} no ha establecido ningún\n
	+ récord en \z{802,110000}.
  189e	= El récord actual de \z{802,120000} \n
	+ en \z{802,110000} es de\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  189f	= \z{802,120000} no ha establecido ningún\n
	+ récord en \z{802,110000}.
  18a0	= El récord actual de \z{802,120000} \n
	+ en \z{802,110000} es de\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  18a1	= Enviando corredor fantasma...
  18a2	/
  18a6	= En estos momentos el servicio WiiConnect24\n
	+ no está disponible. Inténtalo más tarde.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18a7	= El servicio WiiConnect24 no está disponible\n
	+ porque no se puede establecer una conexión\n
	+ con internet. Comprueba las opciones de internet\n
	+ en la configuración de Wii. Consulta el manual de\n
	+ instrucciones de la consola Wii para obtener\n
	+ más información.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18a8	= No se puede usar el servicio \n
	+ WiiConnect24 debido a un problema \n
	+ de la memoria de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18a9	= Es necesario actualizar la consola Wii \n
	+ para poder usar el servicio WiiConnect24.\n
	+ Consulta el manual de instrucciones de la\n
	+ consola Wii para obtener más información.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18aa	= Se ha producido un error. No se puede \n
	+ usar el servicio WiiConnect24. Reinicia\n
	+ la consola y vuelve a intentarlo.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18ab	= El servicio WiiConnect24 no está activado. Comprueba \n
	+ la configuración en las opciones de Wii. Consulta el \n
	+ manual de instrucciones de la consola Wii para obtener \n
	+ más información.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18ac	= No se puede usar el servicio\n
	+ WiiConnect24 debido a un problema\n
	+ de la memoria de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18ad	= El uso de la comunicación en línea está \n
	+ restringido. Consulta los ajustes del \n
	+ control parental en las opciones de Wii.
  18ae	= No se ha configurado ninguna conexión \n
	+ a internet. Ve a las opciones de Wii y\n
	+ establece una conexión en la opción \n
	+ "Internet".\n
	+ \n
	+ Error: 50200
  18af	= El Canal Mario Kart utiliza el servicio \n
	+ WiiConnect24 para recibir información como:\n
	+ \n
	+ ・Retos de amigos. \n
	+ ・Clasificaciones de jugadores de todo\n
	+ el mundo.\n
	+ ・Fantasmas de otros jugadores.\n
	+ ・Concursos que se van a celebrar.\040
  18b0	= Puedes configurar los ajustes del servicio \n
	+ WiiConnect24 en las opciones de Wii.\n
	+ \n
	+ Consulta el manual de instrucciones de\n
	+ la consola Wii para obtener más información.
  18b1	= Se ha producido un error. \n
	+ No se puede usar el servicio \n
	+ WiiConnect24. Reinicia la \n
	+ consola y vuelve a intentarlo.\n
	+ \n
	+ Error: \z{a02,1000000006}
  18b2	= 
  18f6	= ¡YA!
  18f7	= 
  1900	= ¡Nuevo reto de un amigo!
  1901	= ¡Corredor fantasma especial!
  1902	= ¡Ha empezado un concurso!
  1903	= ¡Clasificaciones actualizadas!
  1904	= ¡Empezar Carrera fantasma!
  1905	= ¡Récords nuevos de un amigo!
  1906	= ¡Añade el Canal Mario Kart!
  1907	= ¡Únete al servicio de avisos!
  1908	= ¡Establece tu región!
  1909	= ¡Amigos con el tablón de Wii!
  190a	= ¡Descarga los últimos datos!
  190b	/
  190c	/
  1964	= Consulta tu lista de fantasmas descargados.
  1965	= Consulta las clasificaciones de Contrarreloj.
  1966	= Consulta los concursos.
  1967	= Consulta las clasificaciones de Contrarreloj.
  1968	= Consulta la opción Carrera fantasma.
  1969	= Consulta las clasificaciones de Contrarreloj.
  196a	= Consulta las opciones.
  196b	= Consulta las opciones.
  196c	= Consulta las opciones.
  196d	= Envía invitaciones para hacer nuevos amigos.
  196e	= ¡Datos de concursos y actualizaciones!
  196f	/
  1970	/
  1996	= No puedes consultar las clasificaciones\n
	+ de concursos en este momento.
  1997	= Descargando clasificaciones de concursos...
  1998	= Se ha producido un error al descargar\n
	+ las clasificaciones de concursos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1999	= Puedes consultar las clasificaciones\n
	+ de los concursos el día después\n
	+ de que empiecen.\n
	+ \n
	+ Espera un poco más.
  199a	= Primera mitad
  199b	= Segunda mitad
  199c	= Aún no se pueden consultar las \n
	+ clasificaciones de este concurso.\n
	+ \n
	+ Vuelve a intentarlo mañana.
  19c8	= Puedes participar en concursos de \n
	+ Mario Kart Wii a nivel mundial.\n
	+ \n
	+ Conecta a internet tu consola Wii,\n
	+ activa el servicio WiiConnect24 y\n
	+ espera a que empiece un concurso.
  19c9	= ¡El concurso anterior ha finalizado y ya \n
	+ se pueden consultar los resultados!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Empezar
  19cd	= Enviar resultado del concurso
  19ce	= Enviando resultado del concurso...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Se ha enviado tu resultado del concurso.
  19d1	= No se ha podido enviar el \n
	+ resultado del concurso.\n
	+ \n
	+ Error: \z{a02,1000000005}
  19d2	= Fecha límite: \z{a02,1000020000}-\z{a02,1000010000}-\z{a02,1000000000}.
  19d3	/
  1a2c	= Invitación en el tablón de Wii
  1a2d	= Puedes enviar un mensaje con tu \n
	+ clave de amigo al tablón de Wii \n
	+ de tus amigos Wii.\n
	+ \n
	+ ¡Una manera rápida y fácil de \n
	+ hacer amigos en Mario Kart Wii!
  1a2e	= Elige a un amigo Wii al que enviar una invitación.
  1a2f	= Se va a enviar una invitación al \n
	+ tablón de Wii de \z{802,200000}.\n
	+ \n
	+ ¿Estás de acuerdo?
  1a30	= Enviando invitación...
  1a31	= Se ha enviado la invitación al \n
	+ tablón de Wii de \z{802,200000}.\n
	+ \n
	+ Si \z{802,200000} acepta tu\n
	+ invitación, recibirás un mensaje\n
	+ en el tablón de Wii.
  1a32	= No se ha podido enviar la invitación.\n
	+ \n
	+ Error: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Se ha enviado el resultado del concurso.\n
	+ \n
	+ Vas a acceder a las clasificaciones \n
	+ de concursos.
  1a35	/
  1a36	= Añadir clave de amigo
  1a37	= \z{802,200000} te ha enviado una \n
	+ invitación.\n
	+ \n
	+ Si añades la clave de amigo de este \n
	+ jugador a tu lista de amigos, se le \n
	+ enviará automáticamente un mensaje de \n
	+ confirmación con tu clave de amigo.
  1a38	= ¿Quieres añadir la \n
	+ clave de amigo de \n
	+ \z{802,200000} a tu \n
	+ lista de amigos?
  1a39	= Añadiendo clave de amigo...
  1a3a	= La clave de amigo de \z{802,200000} \n
	+ se ha añadido a tu lista de amigos.
  1a3b	= No se ha podido añadir a la lista.\n
	+ \n
	+ Error: \z{a02,1000000006}
  1a3c	= No tienes clave de amigo.\n
	+ \n
	+ La clave de amigo es un número de 12 dígitos \n
	+ que se te asigna automáticamente la primera \n
	+ vez que accedes a la CWF de Nintendo.\n
	+ \n
	+ Para obtener más información, consulta el \n
	+ manual de instrucciones de Mario Kart Wii.
  1a3d	= Un jugador te ha enviado una \n
	+ invitación para haceros amigos, \n
	+ pero ya tienes 30 claves de amigo \n
	+ en tu lista de amigos.\n
	+ \n
	+ No puedes añadir más claves de amigo.
  1a3e	= El jugador que te ha enviado esta\n
	+ invitación no se encuentra en la \n
	+ agenda de tu tablón de Wii. \n
	+ \n
	+ Vuelve al Canal Mario Kart y añade \n
	+ su clave de amigo.
  1a3f	= Un jugador te ha enviado una \n
	+ invitación para haceros amigos,\n
	+ pero su clave de amigo ya está \n
	+ registrada en tu lista de amigos.
  1a40	= 
  1a90	= Descargar clasificaciones de concursos
  1a91	= Descargando clasificaciones de concursos...
  1a92	= Clasificaciones de concursos descargadas.
  1a93	= No se han podido descargar las \n
	+ clasificaciones de concursos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Descargar últimos datos
  1af5	= Se van a descargar los últimos \n
	+ datos del Canal Mario Kart.
  1af6	= Descargando últimos datos...
  1af7	= Se han descargado los últimos \n
	+ datos del Canal Mario Kart.
  1af8	= Se ha producido un error al \n
	+ descargar los últimos datos.\n
	+ \n
	+ Error: \z{a02,1000000006}
  1af9	/
  1b58	= Opciones
  1b59	= Conexión Wi-Fi de Nintendo
  1b5a	= Opciones
  1b5b	= Siguiente
  1b5c	/
  1bbc	= Vibración del mando de GCN
  1bbd	= ¿Quieres utilizar la función de vibración\n
	+ del mando de Nintendo GameCube?
  1bbe	= Sí
  1bbf	= No
  1bc0	= Has decidido utilizar la \n
	+ función de vibración del \n
	+ mando de Nintendo GameCube.
  1bc1	= Has decidido no utilizar la \n
	+ función de vibración del \n
	+ mando de Nintendo GameCube.
  1bc2	/
  1c20	= Configurar región
  1c21	= ¿Quieres volver al menú de Wii \n
	+ para elegir tu región?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Mostrar bandera y región
  1c53	= Mario Kart Wii puede mostrar la bandera de tu \n
	+ país y tu región en los siguientes lugares:\n
	+ \n
	+ ・En la CWF de Nintendo indicando tu ubicación.\n
	+ ・En los datos de tu fantasma. \n
	+ \n
	+ Si decides facilitar estos datos, \n
	+ otros jugadores podrán verlos en la \n
	+ CWF de Nintendo.
  1c54	= ¿Quieres mostrar tanto la bandera de tu país\n
	+ como tu región en la CWF de Nintendo?
  1c55	= Sí
  1c56	= No
  1c57	= Has decidido mostrar tanto la bandera de tu \n
	+ país como tu región en la CWF de Nintendo.
  1c58	= Has decidido no mostrar ni la bandera de tu \n
	+ país ni tu región en la CWF de Nintendo.
  1c59	/
  1c84	= Servicio de avisos
  1c85	= Date de alta en el servicio de avisos \n
	+ para recibir las últimas noticias del \n
	+ Canal Mario Kart en el tablón de Wii \n
	+ mediante el servicio WiiConnect24.\n
	+ Puedes darte de baja en cualquier momento.\n
	+ \n
	+ Recibirás mensajes sobre: \n
	+ \n
	+ ・Concursos que vayan a empezar.\n
	+ ・Descargas de fantasmas especiales.
  1c86	= ¿Quieres darte de alta en\n
	+ el servicio de avisos \n
	+ del Canal Mario Kart?
  1c87	= Sí
  1c88	= No
  1c89	= Te has dado de alta en el servicio \n
	+ de avisos del Canal Mario Kart.
  1c8a	= No recibirás mensajes del servicio \n
	+ de avisos del Canal Mario Kart.\n
	+ ¿Estás de acuerdo?
  1c8b	= 
  1cb6	= Con la actual configuración podrás\n
	+ recibir avisos del Canal Mario Kart\n
	+ en el tablón de Wii.
  1cb7	= ¿Qué quieres hacer con el servicio \n
	+ de avisos del Canal Mario Kart?
  1cb8	= Darte de baja del servicio de avisos \n
	+ del Canal Mario Kart
  1cb9	= Dejar de recibir avisos de \n
	+ todos los canales
  1cba	= Seguir recibiendo avisos del\n
	+ Canal Mario Kart
  1cbb	= ¿Quieres darte de baja del servicio \n
	+ de avisos del Canal Mario Kart?
  1cbc	= ¿Quieres dejar de recibir avisos\n
	+ de todos los canales?
  1cbd	= Seguirás recibiendo avisos\n
	+ del Canal Mario Kart.
  1cbe	= No te has dado de alta \n
	+ en el servicio de avisos\n
	+ del Canal Mario Kart.
  1cbf	= El Canal Mario Kart ha\n
	+ dejado de enviar mensajes.
  1cc0	= Todos los canales han dejado\n
	+ de enviar mensajes.
  1cc1	= 
  1ce8	= Compartir datos
  1ce9	= Cuando juegues a Mario Kart Wii en la \n
	+ CWF de Nintendo, la siguiente información\n
	+ se enviará a Nintendo automáticamente:\n
	+ \n
	+ ・Tu Mii y tu apodo.\n
	+ ・Tus resultados y fantasmas.\n
	+ \n
	+ Estos datos se podrán compartir con \n
	+ otros jugadores en la CWF de Nintendo.
  1cea	= ¿Das tu consentimiento para enviar \n
	+ estos datos a Nintendo?
  1ceb	= Sí
  1cec	= No
  1ced	= Has decidido enviar los \n
	+ datos a Nintendo.
  1cee	= ¿Seguro? Si no das tu consentimiento, \n
	+ no podrás jugar a Mario Kart Wii a \n
	+ través de la CWF de Nintendo.
  1cef	= Has decidido no enviar los \n
	+ datos a Nintendo.
  1cf0	= No utilices tu nombre real ni ningún otro \n
	+ dato personal en el apodo de tu Mii. En caso de \n
	+ haberlo hecho, sigue uno de los siguientes \n
	+ procedimientos para cambiar el apodo de tu \n
	+ Mii y proteger tu privacidad:\n
	+ \n
	+ ・Cambia el apodo de tu Mii en el Canal Mii.\n
	+ ・Elige un Mii invitado en Configurar carné.
  1cf1	= 
  1d4c	= Mostrar Miis\040
  1d4d	= Los Miis de otros jugadores pueden \n
	+ aparecer durante las carreras o las \n
	+ batallas, en las clasificaciones o en\n
	+ otros lugares de la CWF de Nintendo.\n
	+ \n
	+ Tú decides si quieres ver estos Miis \n
	+ o si prefieres sustituirlos por aquellos\n
	+ Miis creados por Nintendo.
  1d4e	= ¿Quieres ver en Mario Kart Wii los \n
	+ Miis creados por otros jugadores?
  1d4f	= Sí
  1d50	= No
  1d51	= Los Miis creados por otros jugadores\n
	+ se mostrarán en Mario Kart Wii.
  1d52	= Los Miis creados por otros jugadores\n
	+ no se mostrarán en Mario Kart Wii.
  1d53	= Los Miis creados por otros jugadores se van \n
	+ a sustituir por los Miis creados por Nintendo.\n
	+ \n
	+ ¿Estás de acuerdo?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii es compatible con el modo\n
	+ 60 Hz (480i). Tu configuración actual está en\n
	+ modo 50 Hz (576i). Si tu televisor, como ocurre\n
	+ con la mayoría de los modelos, es compatible\n
	+ con el modo 60 Hz, selecciona esta opción\n
	+ dentro de la configuración de Wii y podrás\n
	+ disfrutar de una mejor calidad de imagen.\n
	+ \n
	+ Si deseas cambiar la configuración al modo\n
	+ 60 Hz, pulsa el Botón HOME y ve al menú de Wii.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= ¡ENHORABUENA!
  1e17	= ¿Quieres enviar esta foto\n
	+ al tablón de Wii?
  1e18	= Enviando...
  1e19	= ¡Se ha enviado la foto\n
	+ al tablón de Wii!
  1e1a	= No envíes demasiadas fotos o \n
	+ te quedarás sin espacio en el \n
	+ tablón de Wii.\n
