#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
  13ef	= You have registered this Friend Code:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Before you can play against \n
	+ this Friend, they must also\n
	+ register your Friend Code.\n
	+ \n
	+ Your Friend Code is:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= This Friend Code is already registered\n
	+ in your Friend Roster.
  13f7	= Your Friend Roster already contains\n
	+ the maximum 30 Friends.
  13f8	= You don't have a Friend Code.
  13f9	= You can't register the Friend Codes\n
	+ of licences in the Mario Kart Wii\n
	+ save data stored on this Wii console.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Remove
  1451	= Join Friend
  1452	= Unable to join.
  1453	= You are not Friends yet.
  1454	/
  1455	/
  1456	= win
  1457	= wins
  1458	/
  1459	= Battle
  145a	= Remove this Friend Code?
  145b	= The Friend Code has been removed.
  145c	= Removing Friend Code...
  145d	= Remove Friend Code
  145e	= Remove Friend Code
  145f	= Cancel
  1460	= \z{c04,14561457}
  1461	= All data associated with this\n
	+ Friend Code will be erased.\n
	+ \n
	+ Are you sure this is OK?
  1462	/
  14b4	= I'm on Nintendo WFC!
  14b5	= I'm not on Nintendo WFC...
  14b6	/
  14b7	/
  14b8	= I have an open room!
  14b9	= I'm playing with Friends!
  14ba	= I'm playing with Friends!
  14bb	= I'm in a Worldwide VS Race!
  14bc	= I'm in a Worldwide Battle!
  14bd	= I'm in a Continental VS Race!
  14be	= I'm in a Continental Battle!
  14bf	= I'm hosting a Grand Prix (1/4)!
  14c0	= I'm hosting a Grand Prix (2/4)!
  14c1	= I'm hosting a Grand Prix (3/4)!
  14c2	= I'm hosting a Grand Prix (4/4)!
  14c3	= I'm hosting a Battle (1st battle)!
  14c4	= I'm hosting a Battle (2nd battle)!
  14c5	= I'm hosting a Battle (3rd battle)!
  14c6	= I'm hosting a Battle (tie-break)!
  14c7	= I'm playing with Friends (1/4)!
  14c8	= I'm playing with Friends (2/4)!
  14c9	= I'm playing with Friends (3/4)!
  14ca	= I'm playing with Friends (4/4)!
  14cb	= I'm playing with Friends (1st battle)!
  14cc	= I'm playing with Friends (2nd battle)!
  14cd	= I'm playing with Friends (3rd battle)!
  14ce	= I'm playing with Friends (tie-break)!
  14cf	/
  14d0	/
  14e6	= Join a Friend.
  14e7	/
  1518	/
  1519	/
  151a	= This ghost data will be sent.\n
	+ Is this OK?
  151b	= Sending ghost data...
  151c	= Your challenge has been\n
	+ sent to \z{802,120000}!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= Your challenge has been\n
	+ sent to \z{802,120000}!\n
	+ \n
	+ 5/5\n
	+ \n
	+ You cannot send any more challenges until\n
	+ the next time you play Mario Kart Wii.
  151e	= No ghost data was found, so\n
	+ the challenge could not be sent.
  151f	/
  157c	= Reading ghost data...
  157d	= You received a challenge from a Friend!
  157e	= Your Downloaded Ghost Data List is full.\n
	+ You are currently unable to receive\n
	+ challenges from your Friends.\n
	+ \n
	+ Please erase a ghost data record.
  157f	= This course is not available yet.\n
	+ \n
	+ If you earn enough trophies in\n
	+ Grand Prix mode, you can unlock\n
	+ new courses to race on.
  1580	= An error occurred when downloading\n
	+ the ghost data challenge.
  1581	/
  15e0	= 
  15e1	= Japan
  15e8	= Anguilla
  15e9	= Antigua and Barbuda
  15ea	= Argentina
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbados
  15ee	= Belize
  15ef	= Bolivia
  15f0	= Brazil
  15f1	= British Virgin Islands
  15f2	= Canada
  15f3	= Cayman Islands
  15f4	= Chile
  15f5	= Colombia
  15f6	= Costa Rica
  15f7	= Dominica
  15f8	= Dominican Republic
  15f9	= Ecuador
  15fa	= El Salvador
  15fc	= Grenada
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haiti
  1601	= Honduras
  1602	= Jamaica
  1604	= Mexico
  1605	= Montserrat
  1606	= Netherlands Antilles
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Peru
  160b	= St Kitts and Nevis
  160c	= St Lucia
  160d	= St Vincent and the Grenadines
  160e	= Suriname
  160f	= Trinidad and Tobago
  1610	= Turks and Caicos Islands
  1611	= United States
  1612	= Uruguay
  1613	= US Virgin Islands
  1614	= Venezuela
  1621	= Australia
  1622	= Austria\040
  1623	= Belgium
  162a	= Denmark
  162c	= Finland
  162d	= France
  162e	= Germany
  162f	= Greece
  1632	= Ireland
  1633	= Italy
  1638	= Luxembourg
  163e	= Netherlands
  163f	= New Zealand
  1640	= Norway
  1642	= Portugal
  1649	= Spain
  164b	= Sweden
  164c	= Switzerland
  164e	= United Kingdom
  1660	= 
  1668	= South Korea
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Choose a course.
  1771	= Friend Ranking
  1772	= Continental Ranking
  1773	= Worldwide Ranking
  1774	= Top 10
  1775	= \z{802,110000} Friend Top 10
  1776	= \z{802,110000} Continental Top 10
  1777	= \z{802,110000} Worldwide Top 10
  1778	= 10
  1779	= Top 10
  177a	= Start Time Trial
  177b	= Challenge this Ghost Data
  177c	= Watch Replay
  177d	= Erase Ghost Data
  177e	= Send Ghost Data
  177f	= Challenge this Ghost Data
  1780	= Solo Time Trial
  1781	= NEW
  1782	= Friend
  1783	= Top 10
  1784	= Continental
  1785	= Top 10
  1786	= Worldwide
  1787	= Top 10
  1788	/
  17a2	= TIME
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Continental Champion
  17a7	= World Champion
  17a8	= Rival Ghost Data
  17a9	= Friend
  17aa	= Continental
  17ab	= Worldwide
  17ac	= \z{803,100000}
  17ad	= Family Ghost Data
  17ae	= Friend Ghost Data
  17af	= Special Ghost Data
  17b0	= Staff Ghost Data
  17b1	/
  17d4	= There is no ghost data for\n
	+ \z{802,110000}.
  17d5	= There is no ghost data for\n
	+ \z{802,130000}.
  17d6	= There is no downloaded ghost data.
  17d7	/
  17de	= Downloading ghost data...
  17df	= Your Downloaded Ghost Data List\n
	+ is full. You are currently unable\n
	+ to download any more ghost data.\n
	+ \n
	+ Please erase a ghost data record\n
	+ from your Downloaded Ghost Data List.
  17e0	= An error occurred when\n
	+ downloading the ghost data.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  17e1	= The ghost data has been downloaded.
  17e2	= Downloading the Top 10...
  17e3	= An error occurred when\n
	+ downloading the Top 10.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  17e4	= There is no Top 10.
  17e5	= 
  17e8	= Connect to Nintendo WFC?
  17e9	= OK
  17ea	= Connect to Nintendo WFC?
  17eb	= The existing ghost data will be\n
	+ replaced with the new ghost data.\n
	+ \n
	+ Is this OK?
  17ec	/
  1806	= Race this ghost data.
  1807	= Watch the ghost data replay.
  1808	= Are you sure you want to erase the ghost data?
  1809	= Erase
  180a	= Cancel
  180b	/
  1839	= 1st
  183a	= 2nd
  183b	= 3rd
  183c	= 4th
  183d	= 5th
  183e	= 6th
  183f	= 7th
  1840	= 8th
  1841	= 9th
  1842	= 10th
  1843	= 11th
  1844	= 12th
  1845	/
  186a	= Start a Time Trial on this course.
  186b	= Check \z{802,120000}'s record.
  186c	= Race the Continental Champion.
  186d	= Race the World Champion.
  186e	= Race ghost data slightly faster than your record.
  186f	= View your Friend Top 10.
  1870	= View the Continental Top 10.
  1871	= View the Worldwide Top 10.
  1872	= Race against Mario Kart Wii staff ghost data.
  1873	= \z{802,120000}'s record.
  1874	= The Continental Champion's record.
  1875	= The Worldwide Champion's record.
  1876	/
  189c	= Send Ghost Data
  189d	= \z{802,120000} has not set a record\n
	+ for \z{802,110000}.
  189e	= \z{802,120000}'s current record for\n
	+ \z{802,110000} is \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  189f	= \z{802,120000} has not set a record\n
	+ for \z{802,110000}.
  18a0	= \z{802,120000}'s current record for\n
	+ \z{802,110000} is \z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}.
  18a1	= Sending ghost data...
  18a2	/
  18a6	= The WiiConnect24 service is\n
	+ temporarily unavailable. Please\n
	+ try again later.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18a7	= A connection to the Internet could not\n
	+ be established. WiiConnect24 cannot be\n
	+ used. Please go to the Wii Settings and\n
	+ check your Connection Settings under\n
	+ Internet. For details, consult the\n
	+ Wii Operations Manual.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18a8	= There is a problem with the Wii System Memory.\n
	+ WiiConnect24 cannot be used. \n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18a9	= In order to use the WiiConnect24\n
	+ feature,  a system update is\n
	+ required. For details, consult\n
	+ the Wii Operations Manual.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18aa	= WiiConnect24 cannot be used\n
	+ because an error has occurred.\n
	+ \n
	+ Reset and try again.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18ab	= The WiiConnect24 setting has not been\n
	+ turned on. Please check the settings\n
	+ under Wii Options. For details, consult\n
	+ the Wii Operations Manual.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18ac	= There is a problem with the Wii System Memory.\n
	+ WiiConnect24 cannot be used. \n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18ad	= Use of network functions is restricted.\n
	+ \n
	+ Please go to Wii Options and check\n
	+ your Parental Control settings.
  18ae	= No Internet connections have\n
	+ been configured.\n
	+ \n
	+ Please go to Wii Options and\n
	+ configure a connection on the\n
	+ Internet settings screen.\n
	+ \n
	+ Error Code: 50200
  18af	= The Mario Kart Channel uses WiiConnect24\n
	+ to receive information such as:\n
	+ \n
	+ ・challenges from your Friends\n
	+ ・rankings of players around the world\n
	+ ・ghost data from players of a similar\n
	+ skill level to you\n
	+ ・scheduled competitions
  18b0	= You can set your WiiConnect24\n
	+ settings in the Wii Options.\n
	+ \n
	+ Please check the Wii Operations\n
	+ Manual for more information.
  18b1	= WiiConnect24 cannot be used because\n
	+ an error has occurred.\n
	+ \n
	+ Reset and try again.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  18b2	= 
  18f6	= GO!
  18f7	= 
  1900	= New Friend challenge!
  1901	= Special ghost data now available!
  1902	= A competition is in progress!
  1903	= Latest rankings now available!
  1904	= Start a Ghost Race!
  1905	= New Friend Records available!
  1906	= Add the Mario Kart Channel!
  1907	= Join the message service!
  1908	= Set your region!
  1909	= Invite Friends via the Wii Message Board!
  190a	= Download the latest data!
  190b	/
  190c	/
  1964	= Go to your Downloaded Ghost Data List.
  1965	= Go to Time Trial Rankings.
  1966	= Go to Competitions.
  1967	= Go to Time Trial Rankings.
  1968	= Go to Ghost Race.
  1969	= Go to Time Trial Rankings.
  196a	= Go to Options.
  196b	= Go to Options.
  196c	= Go to Options.
  196d	= Invite people to become Friends.
  196e	= Update ranking and competition data!
  196f	/
  1970	/
  1996	= Competition rankings are\n
	+ currently unavailable.
  1997	= Downloading competition rankings...
  1998	= An error occurred when downloading\n
	+ the competition rankings.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1999	= You can view competition rankings\n
	+ starting from the day after a\n
	+ competition starts.\n
	+ \n
	+ Please wait a little longer.
  199a	= First Half
  199b	= Second Half
  199c	= Rankings are not available\n
	+ yet for this competition.\n
	+ \n
	+ Please check back again tomorrow.
  19c8	= You can participate in worldwide\n
	+ Mario Kart Wii competitions.\n
	+ \n
	+ Please connect your Wii to the Internet,\n
	+ make sure WiiConnect24 is activated\n
	+ and wait for a competition to start!
  19c9	= The previous competition has finished\n
	+ and the results are now available!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Start
  19cd	= Post Competition Record
  19ce	= Posting competition record...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Your competition record was posted.
  19d1	= Failed to post the\n
	+ competition record.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  19d2	= The deadline is \z{a02,1000020000}/\z{a02,1000010000}/
	+ \z{a02,1000000000}.
  19d3	/
  1a2c	= Wii Message Board Invitation
  1a2d	= You can send a Wii Message Board\n
	+ message containing your Friend Code\n
	+ to your Wii Friends.\n
	+ \n
	+ It's a quick and easy way to\n
	+ become Friends in Mario Kart Wii!
  1a2e	= Choose a Wii Friend to send an invitation to.
  1a2f	= An invitation will be sent to\n
	+ \z{802,200000}'s Wii Message Board.\n
	+ \n
	+ Is this OK?
  1a30	= Sending invitation...
  1a31	= The invitation has been sent to\n
	+ \z{802,200000}'s Wii Message Board.\n
	+ \n
	+ You will be notified via your\n
	+ Wii Message Board if \z{802,200000}\n
	+ accepts your invitation.
  1a32	= Failed to send the invitation.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= The competition record was sent.\n
	+ \n
	+ You will now go to the\n
	+ Competition Rankings.
  1a35	/
  1a36	= Register Friend Code
  1a37	= You have received an invitation\n
	+ from \z{802,200000}.\n
	+ \n
	+ If you register this player's\n
	+ Friend Code in your Friend Roster, \n
	+ your Friend Code will be sent\n
	+ to them automatically.
  1a38	= Register \z{802,200000}'s Friend Code\n
	+ in your Friend Roster?
  1a39	= Registering...
  1a3a	= Registered \z{802,200000}'s Friend Code\n
	+ in your Friend Roster.
  1a3b	= Failed to register Friend Code.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  1a3c	= You do not have a Friend Code.\n
	+ \n
	+ A Friend Code is a 12-digit number that\n
	+ is automatically assigned to you the\n
	+ first time you connect to Nintendo WFC.\n
	+ \n
	+ For more information, please refer to\n
	+ the Mario Kart Wii Instruction Booklet.
  1a3d	= You have received a Friend registration\n
	+ invitation, but there are already 30\n
	+ Friend Codes in your Friend Roster.\n
	+ \n
	+ You are unable to register any\n
	+ more Friend Codes.
  1a3e	= You have received a Friend registration\n
	+ invitation, but the sender has been erased\n
	+ from your Wii Message Board Address Book.\n
	+ \n
	+ Please start the Mario Kart Channel\n
	+ again and register their Friend Code.
  1a3f	= You have received a Friend\n
	+ registration invitation, but the\n
	+ sender's Friend Code is already\n
	+ registered in your Friend Roster.
  1a40	= 
  1a90	= Download Competition Rankings
  1a91	= Downloading competition rankings...
  1a92	= Competition rankings downloaded.
  1a93	= Failed to download\n
	+ competition rankings.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Download Latest Data
  1af5	= The latest Mario Kart Channel\n
	+ data will be downloaded.
  1af6	= Downloading the latest data...
  1af7	= The latest Mario Kart Channel\n
	+ data has been downloaded.
  1af8	= An error occurred when\n
	+ downloading the latest data.\n
	+ \n
	+ Error Code: \z{a02,1000000006}
  1af9	/
  1b58	= Options
  1b59	= Nintendo Wi-Fi Connection
  1b5a	= Options
  1b5b	= Next
  1b5c	/
  1bbc	= GCN Controller Rumble
  1bbd	= Do you want to use the Rumble feature\n
	+ of the Nintendo GameCube Controller?
  1bbe	= Yes
  1bbf	= No
  1bc0	= You have chosen to use the\n
	+ Nintendo GameCube Controller\n
	+ Rumble feature.
  1bc1	= You have chosen not to use the\n
	+ Nintendo GameCube Controller\n
	+ Rumble feature.
  1bc2	/
  1c20	= Region Setting
  1c21	= Return to the Wii Menu to\n
	+ change your region setting?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Flag and Region Display
  1c53	= Mario Kart Wii can show your country flag\n
	+ and region in the following places:\n
	+ \n
	+ ・as a globe position in Nintendo WFC mode\n
	+ ・in your ghost data\n
	+ \n
	+ If you choose to make this information\n
	+ available, it will be sent to other\n
	+ players when playing via Nintendo WFC.
  1c54	= Do you want to display your country\n
	+ flag and region on Nintendo WFC?\n
  1c55	= Yes
  1c56	= No
  1c57	= You have chosen to display your\n
	+ country flag and region on Nintendo WFC.
  1c58	= You have chosen not to display your\n
	+ country flag and region on Nintendo WFC.
  1c59	/
  1c84	= Message Service
  1c85	= Join the message service to have the latest\n
	+ updates from the Mario Kart Channel posted\n
	+ to your Wii Message Board via WiiConnect24.\n
	+ You can opt out at any time.\n
	+ \n
	+ Messages will include information about:\n
	+ \n
	+ ・competitions\n
	+ ・special ghost data downloads
  1c86	= Would you like to join\n
	+ the Mario Kart Channel\n
	+ message service?
  1c87	= Join
  1c88	= Don't Join
  1c89	= You have joined the Mario Kart\n
	+ Channel message service.
  1c8a	= You will not receive messages\n
	+ from the Mario Kart Channel\n
	+ message service. Is this OK?
  1c8b	= 
  1cb6	= With the current settings, you will\n
	+ receive messages from the Mario Kart\n
	+ Channel on your Wii Message Board.
  1cb7	= Please select your desired\n
	+ message service setting.
  1cb8	= Opt out of the Mario Kart Channel\n
	+ message service
  1cb9	= Opt out of all Channel\n
	+ message services
  1cba	= Continue receiving Mario Kart Channel\n
	+ messages
  1cbb	= Opt out of receiving messages\n
	+ from the Mario Kart Channel?
  1cbc	= Stop receiving messages\n
	+ from all Channels?
  1cbd	= You will continue to\n
	+ receive messages from\n
	+ the Mario Kart Channel.
  1cbe	= You have not joined the Mario Kart\n
	+ Channel message service.
  1cbf	= You have opted out of\n
	+ the Mario Kart Channel\n
	+ message service.
  1cc0	= You have opted out of all\n
	+ Channel message services.
  1cc1	= 
  1ce8	= Data Sharing
  1ce9	= When you play Mario Kart Wii via\n
	+ Nintendo WFC, the following data will\n
	+ automatically be sent to Nintendo:\n
	+ \n
	+ ・your Mii and nickname\n
	+ ・your records and ghost data\n
	+ \n
	+ This data may also be shared with\n
	+ other players on Nintendo WFC.
  1cea	= Will you allow game data\n
	+ to be sent to Nintendo?
  1ceb	= Allow
  1cec	= Do Not Allow
  1ced	= You have chosen to allow\n
	+ sending of game data to Nintendo.
  1cee	= Are you sure this is OK? You will be\n
	+ unable to play Mario Kart Wii via\n
	+ Nintendo WFC with this setting.
  1cef	= You have chosen not to allow\n
	+ sending of game data to Nintendo.
  1cf0	= Please do not use your real name or any other\n
	+ personal information as the nickname of your\n
	+ Mii. If you have done so, please take one of\n
	+ the following steps to change your Mii's\n
	+ nickname in order to protect your privacy.\n
	+ \n
	+ ・Change your Mii's nickname in the Mii Channel\n
	+ ・Switch to a Guest Mii in the Licence Settings
  1cf1	= 
  1d4c	= Mii Display
  1d4d	= Miis created by other players\n
	+ may be displayed during races\n
	+ and battles, in ranking data\n
	+ and other places on Nintendo WFC.\n
	+ \n
	+ You can choose to allow these Miis to\n
	+ be displayed as they are, or to replace\n
	+ them with Miis created by Nintendo.
  1d4e	= Will you allow Miis created\n
	+ by other players to be\n
	+ displayed in Mario Kart Wii?
  1d4f	= Allow
  1d50	= Do Not Allow
  1d51	= You have chosen to allow Miis\n
	+ created by other players to be\n
	+ displayed in Mario Kart Wii.
  1d52	= You have chosen not to allow Miis\n
	+ created by other players to be\n
	+ displayed in Mario Kart Wii.
  1d53	= Miis created by other players will be\n
	+ replaced with Miis created by Nintendo.\n
	+ \n
	+ Is this OK?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii can be displayed in\n
	+ 60Hz (480i) Mode. Your current setting is\n
	+ 50Hz (576i) Mode. If your TV - like most\n
	+ TV models - supports 60Hz Mode, please\n
	+ select this TV Type in the Wii System\n
	+ Settings for a better display quality.\n
	+ \n
	+ To change your TV Type setting to\n
	+ 60Hz Mode, please press the HOME Button\n
	+ and go to the Wii Menu.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= CONGRATULATIONS!
  1e17	= Post this photo to the\n
	+ Wii Message Board?
  1e18	= Posting...
  1e19	= The photo was posted to\n
	+ the Wii Message Board!
  1e1a	= Please take care not to post too many\n
	+ photos, as this can cause your Wii\n
	+ Message Board to run out of space.\n
	+ \n
	+ When the Wii Message Board is full,\n
	+ space for new messages will be\n
	+ created by deleting existing\n
	+ messages, starting from the oldest.
  1e1b	= Thanks for playing,\n
	+ and please continue to\n
	+ enjoy Mario Kart Wii!
  1f40	= Congratulations!\n
	+ You have unlocked the\n
	+ \z{802,110000} \z{802,110001}!
  1f41	= Congratulations!\n
	+ You have unlocked the\n
	+ Mirror class!
  1f42	= Congratulations!\n
	+ You can now play as\n
	+ \z{802,110000}!
  1f43	= Congratulations!\n
	+ You can now play as\n
	+ \z{802,110000}!
  1f44	= Congratulations! You have\n
	+ unlocked a small kart,\n
	+ the \z{802,110000}!
  1f45	= Congratulations! You have\n
	+ unlocked a medium kart,\n
	+ the \z{802,110000}!
  1f46	= Congratulations! You have\n
	+ unlocked a large kart,\n
	+ the \z{802,110000}!
  1f47	= Congratulations! You have\n
	+ unlocked a small bike,\n
	+ the \z{802,110000}!
  1f48	= Congratulations! You have\n
	+ unlocked a medium bike,\n
	+ the \z{802,110000}!
  1f49	= Congratulations! You have\n
	+ unlocked a large bike,\n
	+ the \z{802,110000}!
  1f4a	= Congratulations!\n
	+ You have unlocked the 50cc\n
	+ Grand Prix (karts and bikes)!
  1f4b	= Congratulations!\n
	+ You have unlocked the 100cc\n
	+ Grand Prix (karts and bikes)!
  1f4c	/
  1fa4	= You've earned trophies in the \z{802,110000} Mushroom and Flower Cups!
  1fa5	= You've earned a trophy in the \z{802,110000} Star Cup!
  1fa6	= You've earned trophies in the \z{802,110000} Shell and Banana Cups!
  1fa7	= You've earned a trophy in the \z{802,110000} Leaf Cup!
  1fa8	= You've won all the 150cc Cups!
  1fa9	/
  1fae	= You've won the 100cc Leaf Cup!
  1faf	= You've played Time Trials on all courses!
  1fb0	= You've won 1000 times on Nintendo WFC!
  1fb1	= You've earned Rank \u{f061} in all 50cc Wii Grand Prix Cups!
  1fb2	= You've unlocked 8 Expert Staff Ghost Data records in Time Trials!
  1fb3	= You've won the 50cc Lightning Cup!
  1fb4	= You've earned Rank \u{f061} in all 100cc Retro Grand Prix Cups!
  1fb5	= You've won the 150cc Special Cup!
  1fb6	= You've played Time Trials on 16 different courses!
  1fb7	= You've earned Rank \u{f061} on all Mirror Cups!
  1fb8	= You got a present from Super Mario Galaxy!
  1fb9	= You've earned Rank \u{f061} in all 150cc Wii Grand Prix Cups!
  1fba	= You've unlocked 4 Expert Staff Ghost Data records in Time Trials!
  1fbb	= You've won 25 Ghost Races!
  1fbc	= You've won the 50cc Star Cup!
  1fbd	= You've won the 100cc Special Cup!
  1fbe	= You've unlocked all 32 Expert Staff Ghost Data records in Time Trials!
  1fbf	= You've won 5000 times on Nintendo WFC!
  1fc0	= You've won 100 Ghost Races!
  1fc1	= You've won 250 times on Nintendo WFC!
  1fc2	/
  1fcc	= You've earned Rank \u{f061} in all 50cc Retro Grand Prix Cups!
  1fcd	= You've unlocked an Expert Staff Ghost Data record in Time Trials!
  1fce	= You've won 50 times on Nintendo WFC!
  1fcf	= You've won the Mirror Lightning Cup!
  1fd0	= You've won the 50cc Leaf Cup!
  1fd1	= You've won the 150cc Leaf Cup!
  1fd2	= You've unlocked 24 Expert Staff Ghost Data records in Time Trials!
  1fd3	= You've won the 50cc Special Cup!
  1fd4	= You've earned Rank \u{f061} in all 150cc Retro Grand Prix Cups!
  1fd5	= You've won the 150cc Lightning Cup!
  1fd6	= You've won the 150cc Star Cup!
  1fd7	= You've played Time Trials on 8 different courses!
  1fd8	= You've won 5 Ghost Races!
  1fd9	= You've won the Mirror Leaf Cup!
  1fda	= You've won the 100cc Lightning Cup!
  1fdb	= You've earned Rank \u{f061} in all 100cc Wii Grand Prix Cups!
  1fdc	= You've won the Mirror Star Cup!
  1fdd	= You've won the 100cc Star Cup!
  1fde	= You've unlocked 12 Expert Staff Ghost Data records in Time Trials!
  1fdf	= You've won 200 Ghost Races!
  1fe0	= You've won the Mirror Special Cup!
  1fe1	= You've earned trophies in all 50cc Cups!
  1fe2	= You've earned trophies in all 100cc Cups!
  1fe3	= You've won 3000 times on Nintendo WFC!
  1fe4	= You've played Mario Kart Wii \z{a02,1000000000} times!
  1fe5	/
  2008	= Overall Records
  2009	= Favourites
  200a	= Friend Records
  200b	= Nintendo WFC Records
  200c	= Other Records
  2012	= Overall Rank
  2013	= Distance Travelled
  2014	= Total Race Count
  2015	= Total Battle Count
  2016	= Wii Wheel Usage Rate
  2017	= Tricks Performed
  2018	= Favourite Character
  2019	= Favourite Vehicle
  201a	= Favourite Course
  201b	= Favourite Stage
  201c	= Nintendo WFC Friends Record
  201d	/
  201e	= Ghost Data Challenges Sent
  201f	= Ghost Data Challenges Received
  2020	= Race Rating
  2021	= VS Race Record
  2022	= Battle Rating
  2023	= Battle Record
  2024	= Times 1st Place Achieved
  2025	= % Race Time in 1st Place
  2026	= Item Hits Delivered
  2027	= Item Hits Received
  2028	= Ghost Race Record
  2029	= Competitions Entered
  202a	/
  202b	/
  202c	/
  202d	/
  202e	/
  2044	= \z{802,110000}
  2045	= \z{a02,1000000000}
  2046	= \z{a02,1000000000}
  2047	= \z{a02,1000000000}
  2048	= \z{a02,1000000000}%
  2049	= \z{a02,1000000000}
  204a	= \z{802,110000}
  204b	= \z{802,110000}
  204c	= \z{802,110000}
  204d	= \z{802,110000}
  204e	= Wins: \z{a02,1000000000}   Losses: \z{a02,1000010000}
  204f	/
  2050	= \z{a02,1000000000}
  2051	= \z{a02,1000000000}
  2052	= \z{a02,1000000000}
  2053	= Wins: \z{a02,1000000000}   Losses: \z{a02,1000010000}
  2054	= \z{a02,1000000000}
  2055	= Wins: \z{a02,1000000000}   Losses: \z{a02,1000010000}
  2056	= \z{a02,1000000000} times
  2057	= \z{a02,1000000000}%
  2058	= \z{a02,1000000000} times
  2059	= \z{a02,1000000000} times
  205a	= Wins: \z{a02,1000000000}   Losses: \z{a02,1000010000}
  205b	= \z{a02,1000000000} times
  205c	/
  20d0	/
  20d1	/
  20d2	/
  20d3	/
  20d4	/
  20d5	= Congratulations,\n
	+ %ls!\n
	+ \n
	+ You've earned trophies in all Cups!\n
	+ To commemorate your achievement,\n
	+ we present you with this souvenir\n
	+ photo. Thank you for playing,\n
	+ and please continue to enjoy\n
	+ Mario Kart Wii!
  20d6	= Congratulations,\n
	+ %ls!\n
	+ \n
	+ You've won all Mario Kart Wii\n
	+ Cups! To commemorate your\n
	+ achievement, we present you with\n
	+ this souvenir photo. Thank you for\n
	+ playing, and please continue to\n
	+ enjoy Mario Kart Wii!
  20d7	/
  20d8	/
  20d9	/
  20da	/
  20db	/
  20dc	/
  20dd	/
  20de	/
  20df	/
  20e0	/
  20e1	/
  20e2	/
  20e3	/
  20e4	/
  20e5	/
  20e6	/
  20e7	/
  20e8	/
  20e9	/
  20ea	/
  20eb	/
  20ec	/
  20ed	/
  20ee	/
  20f8	/
  20f9	/
  20fa	/
  20fb	/
  20fc	/
  20fd	/
  20fe	/
  20ff	/
  2100	/
  2101	/
  2102	/
  2103	/
  2104	/
  2105	/
  2106	/
  2107	/
  2108	/
  2109	/
  210a	/
  210b	/
  210c	/
  210d	/
  210e	= Congratulations, %ls!\n
	+ \n
	+ As a reward for earning trophies in\n
	+ all 100cc Cups, a new Engine Class\n
	+ has become available:\n
	+ \n
	+ 100cc (Karts and Bikes)
  210f	/
  2110	/
  2116	/
  2117	/
  2118	/
  2119	/
  211a	/
  211b	/
  211c	/
  211d	/
  211e	/
  211f	/
  2120	/
  2121	/
  2122	/
  2123	/
  2124	/
