#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Bonjour!
  120d	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120e	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120f	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1210	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1211	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1212	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1213	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1214	= Impossible de se connecter à Internet.\n
	+ Vérifiez les Paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1215	= Erreur de communication. Vous\n
	+ avez été déconnecté de la CWF\n
	+ Nintendo. Pour toute assistance,\n
	+ veuillez visiter\n
	+ support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1216	/
  1388	= Chaîne Mario Kart
  1389	= Trouver un ami
  138a	= Classements
  138b	= Course fantôme
  138c	= Tournois
  138d	/
  138e	= Enregistrer un ami
  138f	/
  1390	= Menu Wii
  1391	= Fantômes téléchargés
  1392	= Tournois
  1393	= Liste d'amis
  1394	/
  1395	/
  1396	= Commencer la course
  1397	= Améliorez votre technique \n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses!
  1398	= Mon fantôme
  1399	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses! \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139a	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses! \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139b	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses! \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139c	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses! \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139d	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses!  \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139e	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses! \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139f	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses!  \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a0	= Améliorez votre technique\n
	+ en affrontant des fantômes \n
	+ de joueurs du monde entier \n
	+ dans une série de courses!  \n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= victoire
  13a3	= victoires
  13a4	= défaite
  13a5	= défaites
  13a6	/
  13ba	= Amis
  13bb	= Fantômes
  13bc	= Classement Contre-la-montre
  13bd	/
  13be	= Classement Tournoi
  13bf	/
  13c4	= Vérifiez le statut de vos amis.
  13c5	= Consultez les records des autres joueurs.
  13c6	= Vérifiez ou effacez les fantômes téléchargés.
  13c7	= Participez à des tournois Mario Kart Wii.
  13c8	= Affrontez des fantômes et consultez votre liste.
  13c9	/
  13ca	= Envoyez et affrontez des fantômes ici!
  13cb	/
  13cc	= Consultez les classements des tournois!
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Veuillez saisir le code ami.
  13ed	= Voulez-vous enregistrer ce code ami?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= Le code ami ci-dessous est incorrect.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}.
  13ef	= Le code ami ci-dessous\n
	+ a été enregistré.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Assurez-vous que votre ami\n
	+ enregistre votre code ami, \z{602,0}.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ Une fois que vous et votre ami\n
	+ aurez enregistré vos codes respectifs,\n
	+ vous pourrez jouer ensemble.
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= Ce code ami est \n
	+ déjà enregistré.
  13f7	= Vous pouvez avoir jusqu'à \n
	+ 30 amis dans votre liste \n
	+ d'amis. Votre liste d'amis \n
	+ est pleine.
  13f8	= Vous n'avez pas le code ami de \z{602,0}.
  13f9	= Ceci est le code ami de \z{802,130000}.\n
	+ \n
	+ Il ne peut pas être enregistré.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Supprimer
  1451	= Rejoindre cet ami
  1452	= Impossible de rejoindre cet ami.
  1453	= Vous n'êtes pas encore amis.
  1454	/
  1455	/
  1456	= victoire
  1457	= victoires
  1458	/
  1459	= Bataille
  145a	= Supprimer ce code ami?
  145b	= Cet ami a été supprimé.
  145c	= Suppression d'un ami en cours...
  145d	= Supprimer un ami
  145e	= Supprimer
  145f	= Ne pas supprimer
  1460	= \z{c04,14561457}
  1461	= Toutes les données associées\n
	+ à ce code ami seront effacées.\n
	+ Voulez-vous continuer?
  1462	/
  14b4	= Je suis en ligne!
  14b5	= Je suis hors ligne!
  14b6	/
  14b7	/
  14b8	= J'ai créé une salle!
  14b9	= J'affronte un ami maintenant!
  14ba	= J'affronte un ami maintenant!
  14bb	= Je fais une course VS mondiale!
  14bc	= Je fais une bataille mondiale!
  14bd	= Je fais une course VS continentale!
  14be	= Je fais une bataille continentale!
  14bf	= J'héberge une course (1\u{e069} course)!
  14c0	= J'héberge une course (2\u{e06a} course)!
  14c1	= J'héberge une course (3\u{e06a} course)!
  14c2	= J'héberge une course (4\u{e06a} course)!
  14c3	= J'héberge une bataille (1\u{e069} bataille)!
  14c4	= J'héberge une bataille (2\u{e06a} bataille)!
  14c5	= J'héberge une bataille (3\u{e06a} bataille)!
  14c6	= J'héberge une bataille (bris d'égalité)!
  14c7	= J'affronte un ami (1\u{e069} course)!
  14c8	= Je joue avec un ami (2\u{e06a} course).
  14c9	= Je joue avec un ami (3\u{e06a} course).
  14ca	= Je joue avec un ami (4\u{e06a} course).
  14cb	= Je joue avec un ami (1\u{e069} bataille).
  14cc	= Je joue avec un ami (2\u{e06a} bataille).
  14cd	= Je joue avec un ami (3\u{e06a} bataille).
  14ce	= Je joue avec un ami (bris d'égalité).
  14cf	/
  14d0	/
  14e6	= Je rejoins un ami.
  14e7	/
  1518	/
  1519	/
  151a	= Voulez-vous vraiment\n
	+ envoyer ce fantôme?
  151b	= Envoi du fantôme en cours...
  151c	= Vous avez envoyé un fantôme\n
	+ en défi à \z{802,120000}!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= Vous avez envoyé un fantôme\n
	+ en defi à \z{802,120000}!\n
	+ \n
	+ 5/5\n
	+ \n
	+ Vous pourrez envoyer d'autres\n
	+ fantômes la prochaine fois que\n
	+ vous jouerez à Mario Kart Wii.
  151e	= Impossible d'envoyer un fantôme \n
	+ en défi car vous n'en avez pas \n
	+ encore créé.
  151f	/
  157c	= Lecture des fantômes en cours...
  157d	= Un ami vous a lancé un défi!
  157e	= Votre liste de fantômes téléchargés\n
	+ est pleine, ainsi vous ne pouvez \n
	+ pas relever les défis de vos amis.\n
	+ \n
	+ Veuillez effacer un fantôme.
  157f	= Vous ne pouvez pas encore\n
	+ faire la course sur ce circuit.\n
	+ \n
	+ Gagnez des trophées en \n
	+ Grand Prix pour déverrouiller \n
	+ plus de circuits.
  1580	= Une erreur est survenue pendant\n
	+ le téléchargement du fantôme.
  1581	/
  15e0	= 
  15e1	= Japon
  15e8	= Anguilla
  15e9	= Antigua-et-Barbuda
  15ea	= Argentine
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbade
  15ee	= Belize
  15ef	= Bolivie
  15f0	= Brésil
  15f1	= Îles Vierges britanniques
  15f2	= Canada
  15f3	= Îles Caïman
  15f4	= Chili
  15f5	= Colombie
  15f6	= Costa Rica
  15f7	= Dominique
  15f8	= République dominicaine
  15f9	= Équateur
  15fa	= Salvador
  15fc	= Grenade
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haïti
  1601	= Honduras
  1602	= Jamaïque
  1604	= Mexique
  1605	= Montserrat
  1606	= Antilles néerlandaises
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Pérou
  160b	= Saint-Christophe-et-Niévès
  160c	= Sainte-Lucie
  160d	= Saint-Vincent-et-les-Grenadines
  160e	= Suriname
  160f	= Trinité-et-Tobago
  1610	= Îles Turques-et-Caïques
  1611	= États-Unis d'Amérique
  1612	= Uruguay
  1613	= Îles Vierges américaines
  1614	= Venezuela
  1621	= Australie
  1622	= Autriche
  1623	= Belgique
  162a	= Danemark
  162c	= Finlande
  162d	= France
  162e	= Allemagne
  162f	= Grèce
  1632	= Irlande
  1633	= Italie
  1638	= Luxembourg
  163e	= Pays-Bas
  163f	= Nouvelle-Zélande
  1640	= Norvège
  1642	= Portugal
  1649	= Espagne
  164b	= Suède
  164c	= Suisse
  164e	= Royaume-Uni
  1660	= 
  1668	= Corée du Sud
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Choisissez un circuit.
  1771	= Classement amis
  1772	= Classement continental
  1773	= Classement mondial
  1774	= MEILLEURS
  1775	= \z{802,110000} 10 Meilleurs amis
  1776	= \z{802,110000} 10 Meilleurs continental
  1777	= \z{802,110000} 10 Meilleurs mondial
  1778	= 10
  1779	= 10 MEILLEURS
  177a	= Contre-la-montre
  177b	= Affronter ce fantôme
  177c	= Revoir la course
  177d	= Effacer ce fantôme
  177e	= Envoyer un fantôme en défi
  177f	= Affronter ce fantôme
  1780	= Contre-la-montre solo
  1781	= NOUVEAU
  1782	= 10 Meilleurs
  1783	= amis
  1784	= 10 Meilleurs
  1785	= continental
  1786	= 10 Meilleurs
  1787	= mondial
  1788	/
  17a2	= TEMPS
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Champion continental
  17a7	= Champion du monde
  17a8	= Fantôme rival
  17a9	= amis
  17aa	= continental
  17ab	= mondial
  17ac	= \z{803,100000}
  17ad	= Fantôme famille
  17ae	= Fantôme ami
  17af	= Fantôme spécial
  17b0	= Fantôme des développeurs
  17b1	/
  17d4	= Il n'y a pas de fantôme pour\n
	+ \z{802,110000}.
  17d5	= Il n'y a pas de fantôme pour\n
	+ \z{802,130000}.
  17d6	= Il n'y a aucun fantôme téléchargé.
  17d7	/
  17de	= Téléchargement du fantôme en cours...
  17df	= Votre liste de fantômes \n
	+ téléchargés est pleine.\n
	+ Vous ne pouvez pas \n
	+ télécharger plus de\n
	+ fantômes.\n
	+ \n
	+ Veuillez supprimer un\n
	+ fantôme.
  17e0	= Une erreur est survenue lors\n
	+ de la réception d'un fantôme.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  17e1	= Un fantôme a été téléchargé.
  17e2	= Téléchargement en cours...
  17e3	= Une erreur est survenue\n
	+ pendant le téléchargement\n
	+ des 10 Meilleurs.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  17e4	= 10 Meilleurs non disponible.
  17e5	= 
  17e8	= Vous vous connecterez à la \n
	+ CWF Nintendo. Voulez-vous\n
	+ continuer?
  17e9	= OK
  17ea	= Vous vous connecterez à la \n
	+ CWF Nintendo. Voulez-vous\n
	+ continuer?
  17eb	= Un nouveau fantôme remplacera\n
	+ le fantôme actuel.\n
	+ \n
	+ Voulez-vous continuer?
  17ec	/
  1806	= Affronter un fantôme.
  1807	= Voir la course de ce fantôme.
  1808	= Voulez-vous vraiment effacer ce fantôme?
  1809	= Effacer
  180a	= Ne pas effacer
  180b	/
  1839	= 1\u{e068}
  183a	= 2\u{e06a}
  183b	= 3\u{e06a}
  183c	= 4\u{e06a}
  183d	= 5\u{e06a}
  183e	= 6\u{e06a}
  183f	= 7\u{e06a}
  1840	= 8\u{e06a}
  1841	= 9\u{e06a}
  1842	= 10\u{e06a}
  1843	= 11\u{e06a}
  1844	= 12\u{e06a}
  1845	/
  186a	= Commencez un Contre-la-montre maintenant.
  186b	= Affrontez \z{802,120000}.
  186c	= Affrontez le fantôme du champion continental.
  186d	= Affrontez le fantôme du champion du monde.
  186e	= Affrontez ce fantôme un peu plus rapide que vous.
  186f	= Affichez les 10 Meilleurs de votre liste d'amis.
  1870	= Affichez les 10 Meilleurs continental.
  1871	= Affichez les 10 Meilleurs mondial.
  1872	= Affrontez ce fantôme des développeurs de Mario Kart Wii.
  1873	= Record de \z{802,120000}.
  1874	= Record du champion continental
  1875	= Record du champion du monde
  1876	/
  189c	= Envoyer votre fantôme
  189d	= \z{802,120000} n'a pas de\n
	+ record sur \z{802,110000}.
  189e	= Le record de \z{802,120000}\n
	+ sur \z{802,110000} est:\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  189f	= \z{802,120000} n'a pas de\n
	+ record sur \z{802,110000}.
  18a0	= Le record de \z{802,120000}\n
	+ sur \z{802,110000} est:\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  18a1	= Envoi du fantôme en cours...
  18a2	/
  18a6	= WiiConnect24 est temporairement inutilisable. \n
	+ Veuillez patienter quelques instants avant de réessayer.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a7	= Une connexion à Internet n'ayant pas pu \n
	+ être établie, WiiConnect24 ne peut pas \n
	+ être utilisé. Veuillez vérifier les paramètres \n
	+ Internet dans Options Wii. Référez-vous au \n
	+ Mode d'Emploi Wii pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a8	= En raison d'un problème avec la mémoire de \n
	+ la console Wii, WiiConnect24 est indisponible.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a9	= Vous devez mettre à jour \n
	+ votre console pour utiliser \n
	+ WiiConnect24. Veuillez vous \n
	+ référer au Mode d'Emploi Wii\n
	+ pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18aa	= Une erreur s'est produite et WiiConnect24 \n
	+ ne peut pas être utilisé. Veuillez \n
	+ redémarrer la console et réessayer.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ab	= WiiConnect24 n'est pas activé. Veuillez \n
	+ vérifier vos paramètres dans Options \n
	+ Wii. Référez-vous au Mode d'Emploi \n
	+ Wii pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ac	= En raison d'un problème avec la mémoire \n
	+ de la console Wii, WiiConnect24 est \n
	+ indisponible.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ad	= L'utilisation des fonctions du \n
	+ réseau a été restreinte. \n
	+ \n
	+ Veuillez vérifier le contrôle \n
	+ parental dans Options Wii.
  18ae	= Impossible de se connecter\n
	+ à Internet. Vérifiez les \n
	+ paramètres Internet de \n
	+ la console Wii.\n
	+ \n
	+ Code d'erreur: 50200
  18af	= La Chaîne Mario Kart utilise le \n
	+ service WiiConnect24 pour \n
	+ recevoir des informations telles que:\n
	+ \n
	+ ・Les défis lancés par vos amis\n
	+ ・Les classements des joueurs du \n
	+ monde entier\n
	+ ・Les fantômes de rivaux éventuels\n
	+ ・Le calendrier des tournois
  18b0	= Vous pouvez paramétrer votre \n
	+ connexion WiiConnect24 depuis \n
	+ l'écran Options Wii.\n
	+ \n
	+ Veuillez vous référer au Mode \n
	+ d'Emploi Wii pour plus de détails.
  18b1	= Une erreur est survenue. Impossible\n
	+ d'utiliser WiiConnect24. Veuillez\n
	+ réinitialiser la console et réessayer.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18b2	= 
  18f6	= OK!
  18f7	= 
  1900	= Un ami vous a lancé un défi!
  1901	= Un fantôme spécial est disponible!
  1902	= Un tournoi a commencé!
  1903	= Les classements ont été mis à jour!
  1904	= Affrontez un fantôme!
  1905	= Un ami a mis à jour ses records!
  1906	= Installez la Chaîne Mario Kart!
  1907	= Activez le service de messagerie!
  1908	= Indiquez votre région!
  1909	= Invitez vos amis via le Bureau Wii!
  190a	= Téléchargez les dernières données!
  190b	/
  190c	/
  1964	= Affichez votre liste de fantômes téléchargés.
  1965	= Affichez le classement en Contre-la-montre.
  1966	= Participez à un tournoi.
  1967	= Affichez le classement en Contre-la-montre.
  1968	= Affrontez un fantôme via la CWF Nintendo.
  1969	= Affichez le classement en Contre-la-montre.
  196a	= Affichez l'écran des paramètres.
  196b	= Affichez l'écran des paramètres.
  196c	= Affichez l'écran des paramètres.
  196d	= Invitez vos amis via le Bureau Wii.
  196e	= Recevez les dernières mises à jour.
  196f	/
  1970	/
  1996	= Vous ne pouvez pas consulter \n
	+ les classements des tournois \n
	+ pour l'instant.
  1997	= Téléchargement du classement en cours...
  1998	= Une erreur est survenue pendant\n
	+ le téléchargement du classement\n
	+ du tournoi.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1999	= Vous pouvez consulter le classement\n
	+ d'un tournoi un jour après son début.\n
	+ \n
	+ Veuillez patienter.
  199a	= Première moitié
  199b	= Seconde moitié
  199c	= Le classement de ce tournoi\n
	+ n'est pas encore disponible.\n
	+ \n
	+ Veuillez réessayer demain.
  19c8	= Un tournoi mondial Mario \n
	+ Kart Wii va commencer et\n
	+ sera jouable pendant une\n
	+ durée limitée.\n
	+ \n
	+ Veuillez connecter votre Wii\n
	+ à Internet, activer le service\n
	+ WiiConnect24, et attendre \n
	+ que le tournoi commence.
  19c9	= Le tournoi précédent est terminé\n
	+ et son classement est maintenant \n
	+ disponible!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Commencer
  19cd	= Statistiques du tournoi
  19ce	= Envoi en cours...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Les statistiques du tournoi \n
	+ ont été envoyées.
  19d1	= Impossible d'envoyer les\n
	+ statistiques du tournoi.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  19d2	= Ce tournoi durera\n
	+ jusqu'au \z{a02,1000020000}/\z{a02,1000010000}/\z{a02,1000000000}.
  19d3	/
  1a2c	= Invitation via le Bureau Wii
  1a2d	= Vous pouvez envoyer une invitation\n
	+ contenant votre code ami sur le\n
	+ Bureau Wii de vos amis. \n
	+ \n
	+ Votre code ami sera inclus, ainsi \n
	+ vos amis pourront vous enregistrer \n
	+ immédiatement.
  1a2e	= Veuillez choisir le destinataire.
  1a2f	= Voulez-vous vraiment envoyer\n
	+ une invitation sur le Bureau\n
	+ Wii de \z{802,200000}?
  1a30	= Envoi de votre invitation en cours...
  1a31	= Votre invitation a été envoyée \n
	+ sur le Bureau Wii de \n
	+ \z{802,200000}!\n
	+ \n
	+ Si \z{802,200000} répond \n
	+ à votre invitation, vous \n
	+ pourrez devenir amis.
  1a32	= Une erreur s'est produite\n
	+ pendant l'envoi de l'invitation.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Vos statistiques du tournoi\n
	+ ont été envoyées. Vous\n
	+ serez à présent redirigé \n
	+ vers le classement du\n
	+ tournoi.
  1a35	/
  1a36	= Enregistrement d'amis
  1a37	= \z{802,200000} vous a envoyé\n
	+ une invitation.\n
	+ \n
	+ Vous pouvez ajouter cette \n
	+ personne à votre liste d'amis\n
	+ immédiatement. Votre code \n
	+ ami sera aussitôt envoyé à\n
	+ \z{802,200000}.
  1a38	= Le code ami de \z{802,200000} \n
	+ sera enregistré dans\n
	+ votre liste d'amis.\n
	+ \n
	+ Voulez-vous continuer?
  1a39	= Enregistrement en cours...
  1a3a	= \z{802,200000} a été\n
	+ enregistré dans votre\n
	+ liste d'amis.
  1a3b	= Une erreur s'est\n
	+ produite lors de\n
	+ l'enregistrement\n
	+ de cet ami.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1a3c	= Vous n'avez pas de code ami,\n
	+ \z{602,0}.\n
	+ \n
	+ Votre code ami est un nombre à\n
	+ 12 chiffres qui vous permet de \n
	+ vous connecter à la CWF Nintendo.\n
	+ \n
	+ Veuillez vous référer au Mode\n
	+ d'Emploi de Mario Kart Wii pour \n
	+ plus de détails.
  1a3d	= Vous avez reçu une invitation,\n
	+ mais vous avez déjà 30 codes\n
	+ ami dans votre liste d'amis,\n
	+ \z{602,0}.\n
	+ \n
	+ Vous ne pouvez pas enregistrer\n
	+ plus de 30 codes ami.
  1a3e	= Vous avez reçu une invitation mais\n
	+ l'expéditeur a été effacé du carnet\n
	+ d'adresses de votre Bureau Wii.\n
	+ \n
	+ Veuillez accéder à la Chaîne Mario\n
	+ Kart et enregistrer son code ami.
  1a3f	= Vous avez reçu une invitation mais\n
	+ le code ami de l'expéditeur est déjà\n
	+ enregistré dans votre liste d'amis.
  1a40	= 
  1a90	= Télécharger le classement du tournoi
  1a91	= Téléchargement du classement en cours...
  1a92	= Classement du tournoi téléchargé.
  1a93	= Impossible de télécharger\n
	+ le classement du tournoi.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Dernières données
  1af5	= Sélectionnez OK pour télécharger\n
	+ les dernières données de la \n
	+ Chaîne Mario Kart.
  1af6	= Téléchargement des dernières données...
  1af7	= Les dernières données Mario \n
	+ Kart Wii ont été reçues.
  1af8	= Une erreur est survenue pendant\n
	+ le téléchargement des dernières\n
	+ données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1af9	/
  1b58	= Paramètres
  1b59	= Connexion Wi-Fi Nintendo
  1b5a	= Paramètres
  1b5b	= Suivant
  1b5c	/
  1bbc	= Manette Nintendo GameCube
  1bbd	= Voulez-vous activer la\n
	+ fonction de vibration de\n
	+ la manette Nintendo \n
	+ GameCube?
  1bbe	= Oui
  1bbf	= Non
  1bc0	= La fonction de vibration\n
	+ de la manette Nintendo \n
	+ GameCube a été activée.
  1bc1	= La fonction de vibration\n
	+ de la manette Nintendo\n
	+ GameCube a été \n
	+ désactivée.
  1bc2	/
  1c20	= Votre région
  1c21	= Voulez-vous retourner au\n
	+ Menu Wii afin de modifier\n
	+ vos paramètres régionaux?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Profil régional
  1c53	= Dans Mario Kart Wii, votre \n
	+ situation géographique et votre \n
	+ drapeau national apparaissent sur:\n
	+ \n
	+ ・Le globe CWF Nintendo\n
	+ ・Vos fantômes\n
	+ \n
	+ Ce profil régional sera visible par \n
	+ tous les joueurs connectés à la \n
	+ CWF Nintendo.
  1c54	= Voulez-vous afficher votre profil\n
	+ régional lorsque vous jouez à \n
	+ Mario Kart Wii?
  1c55	= Oui
  1c56	= Non
  1c57	= Vous avez choisi \n
	+ d'afficher votre \n
	+ profil régional.
  1c58	= Vous avez choisi de\n
	+ ne pas afficher votre\n
	+ profil régional.
  1c59	/
  1c84	= Service de messagerie
  1c85	= Le service de messagerie vous permet de\n
	+ recevoir les dernières nouvelles de la \n
	+ Chaîne Mario Kart sur votre Bureau Wii \n
	+ grâce à WiiConnect24. Ces messages \n
	+ vous renseigneront sur:\n
	+ ・les tournois à venir\n
	+ ・les fantômes spéciaux disponibles\n
	+ Vous continuerez de recevoir des messages\n
	+ essentiels à ce jeu.
  1c86	= Voulez-vous recevoir\n
	+ les messages de la\n
	+ Chaîne Mario Kart?
  1c87	= Oui
  1c88	= Non
  1c89	= Vous avez choisi de\n
	+ recevoir les messages\n
	+ de la Chaîne Mario Kart.
  1c8a	= Vous ne recevrez aucun message\n
	+ de la Chaîne Mario Kart. Voulez-\n
	+ vous continuer?
  1c8b	= 
  1cb6	= Vos paramètres actuels vous \n
	+ permettent de recevoir des \n
	+ messages de la Chaîne Mario \n
	+ Kart sur votre Bureau Wii.
  1cb7	= Sélectionnez un paramètre.
  1cb8	= Aucun message Mario Kart Wii
  1cb9	= Aucun message d'aucune chaîne
  1cba	= Recevoir des messages
  1cbb	= Vous ne recevrez pas de \n
	+ messages de la Chaîne Mario \n
	+ Kart. Voulez-vous continuer?
  1cbc	= Vous ne recevrez pas de messages\n
	+ d'aucune chaîne. Voulez-vous\n
	+ continuer?
  1cbd	= Vous continuerez de recevoir \n
	+ des messages de la Chaîne \n
	+ Mario Kart.
  1cbe	= Vous avez choisi de ne\n
	+ pas recevoir de messages\n
	+ de la Chaîne Mario Kart.
  1cbf	= Vous ne recevrez pas de messages\n
	+ de la Chaîne Mario Kart.
  1cc0	= Vous ne recevrez pas de messages\n
	+ d'aucun service.
  1cc1	= 
  1ce8	= Échange de données
  1ce9	= Lorsque vous jouez à Mario Kart Wii via \n
	+ la CWF Nintendo, les données suivantes \n
	+ seront automatiquement envoyées à \n
	+ Nintendo:\n
	+ \n
	+ ・Votre Mii et votre pseudonyme\n
	+ ・Vos temps record et vos fantômes\n
	+ \n
	+ Ces données peuvent être vues par\n
	+ d'autres joueurs de Mario Kart Wii.
  1cea	= Voulez-vous autoriser l'échange\n
	+ de données avec Nintendo?
  1ceb	= Oui
  1cec	= Non
  1ced	= Vous avez autorisé l'échange\n
	+ de données Mario Kart Wii\n
	+ avec Nintendo.
  1cee	= Vous ne pourrez pas jouer à \n
	+ Mario Kart Wii via la CWF Nintendo.\n
	+ Voulez-vous continuer?
  1cef	= Vous avez interdit l'échange\n
	+ de données Mario Kart Wii\n
	+ à Nintendo.
  1cf0	= Pour protéger votre vie privée, n'utilisez pas votre\n
	+ vrai nom ou toute autre information personnelle \n
	+ dans le nom de votre Mii. Le cas échéant, \n
	+ effectuez l'une des opérations suivantes:\n
	+ \n
	+ ・Changez le nom de votre Mii dans la Chaîne Mii\n
	+ ・Choisissez un Mii invité dans Options du permis
  1cf1	= 
