#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hallo!
	+ Fehlercode: \z{a02,1000000005}
  1204	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1205	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1206	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1207	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1208	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1209	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120a	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120b	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120c	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den\n
	+ Internet-Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120d	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den\n
	+ Internet-Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120e	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  120f	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1210	= Keine Verbindung zur Nintendo Wi-Fi\n
	+ Connection möglich. Besuche\n
	+ support.nintendo.com oder lies\n
	+ die Software-Anleitung, um weitere\n
	+ Hilfe zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1211	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1212	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1213	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1214	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den Internet-\n
	+ Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1215	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1216	/
  1388	= Mario Kart-Kanal
  1389	= Freundesliste
  138a	= Ranglisten
  138b	= Geistrennen
  138c	= Wettbewerbe
  138d	/
  138e	= Freundescode registrieren
  138f	/
  1390	= Wii-Menü
  1391	= Heruntergeladene Geistdaten
  1392	= Wettbewerbe
  1393	= Freundesliste
  1394	/
  1395	/
  1396	= Rennen starten
  1397	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!
  1398	= Meine Geistdaten
  1399	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139a	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139b	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139c	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139d	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139e	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  139f	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  13a0	= Verfeinere deine Technik und tritt\n
	+ via Nintendo Wi-Fi Connection in\n
	+ einer Reihe von Geistrennen gegen\n
	+ Spieler aus der ganzen Welt an!\n
	+ Gewinne so viele Rennen wie möglich!\n
	+ \z{c04,13a213a3}: \z{a02,1000000000}\n
	+ \z{c04,113a413a5}: \z{a02,1000010000}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= Sieg
  13a3	= Siege
  13a4	= Niederlage
  13a5	= Niederlagen
  13a6	/
  13ba	= Freunde
  13bb	= Geistdaten
  13bc	= Zeitfahren-Ranglisten
  13bd	/
  13be	= Wettbewerb-Ranglisten
  13bf	/
  13c4	= Sieh nach, was deine Freunde machen.
  13c5	= Vergleiche dich mit anderen Spielern.
  13c6	= Betrachte/lösche heruntergeladene Geistdaten.
  13c7	= Nimm an Mario Kart-Wettbewerben teil.
  13c8	= Fahre Geistrennen gegen Spieler aus aller Welt!
  13c9	/
  13ca	= Sende und empfange Geistdaten.
  13cb	/
  13cc	= Betrachte Mario Kart-Wettbewerb-Ranglisten.
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Bitte gib den Freundescode ein.
  13ed	= Soll dieser Freundescode registriert werden?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= Dieser Freundescode ist nicht korrekt.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}.
  13ef	= Dieser Freundescode\n
	+ wurde registriert.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Um gegeneinander antreten zu\n
	+ können, muss dein Freund deinen\n
	+ Freundescode auch registrieren.\n
	+ \n
	+ Dein Freundescode lautet:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= Dieser Freundescode\n
	+ wurde bereits registriert.
  13f7	= Deine Freundesliste enthält bereits\n
	+ das Maximum von 30 Freunden.
  13f8	= Du hast keinen Freundescode.
  13f9	= Dieser Freundescode lässt\n
	+ sich nicht registrieren.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Löschen
  1451	= Freund treffen
  1452	= Treffen nicht möglich.
  1453	= Ihr seid noch keine Freunde.
  1454	/
  1455	/
  1456	= Sieg
  1457	= Siege
  1458	/
  1459	= Wettkampf
  145a	= Diesen Freundescode löschen?
  145b	= Dieser Freundescode wurde gelöscht.
  145c	= Freundescode wird gelöscht...
  145d	= Freundescode löschen
  145e	= Freundescode löschen
  145f	= Abbruch
  1460	= \z{c04,14561457}
  1461	= Alle Daten dieses Freundescodes\n
	+ werden gelöscht.\n
	+ Soll dieser Freundescode dennoch\n
	+ gelöscht werden?
  1462	/
  14b4	= Verbunden mit Nintendo WFC!
  14b5	= Nicht mit Nintendo WFC verbunden!
  14b6	/
  14b7	/
  14b8	= Hat einen Raum erstellt!
  14b9	= Spielt mit Freunden!
  14ba	= Spielt mit Freunden!
  14bb	= Im globalen Versus-Rennen!
  14bc	= Im globalen Wettkampf!
  14bd	= Im kontinentalen Versus-Rennen!
  14be	= Im kontinentalen Wettkampf!
  14bf	= Im 1. Grand Prix-Rennen!
  14c0	= Im 2. Grand Prix-Rennen!
  14c1	= Im 3. Grand Prix-Rennen!
  14c2	= Im 4. Grand Prix-Rennen!
  14c3	= Im 1. Wettkampf!
  14c4	= Im 2. Wettkampf!
  14c5	= Im 3. Wettkampf!
  14c6	= Im Final-Wettkampf!
  14c7	= Im 1. Rennen mit Freunden!
  14c8	= Im 2. Rennen mit Freunden!
  14c9	= Im 3. Rennen mit Freunden!
  14ca	= Im 4. Rennen mit Freunden!
  14cb	= Im 1. Wettkampf mit Freunden!
  14cc	= Im 2. Wettkampf mit Freunden!
  14cd	= Im 3. Wettkampf mit Freunden!
  14ce	= Im Final-Wettkampf mit Freunden!
  14cf	/
  14d0	/
  14e6	= Triff einen Freund.
  14e7	/
  1518	/
  1519	/
  151a	= Sollen diese Geistdaten als\n
	+ Herausforderung gesendet werden?
  151b	= Senden der Geistdaten...
  151c	= Geistdaten wurden als\n
	+ Herausforderung an\n
	+ \z{802,120000} gesendet.\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= Deine Geistdaten wurden als\n
	+ Herausforderung an\n
	+ \z{802,120000} gesendet!\n
	+ 5/5\n
	+ Erst wenn du das nächste Mal die\n
	+ Mario Kart Wii-Disc startest,\n
	+ kannst du wieder Geistdaten senden.
  151e	= Das Senden der Geistdaten als\n
	+ Herausforderung ist fehlgeschlagen,\n
	+ da keine Geistdaten gefunden wurden.
  151f	/
  157c	= Geistdaten werden gelesen...
  157d	= Ein Freund hat dich herausgefordert!
  157e	= Du kannst im Moment keine\n
	+ Herausforderungen von Freunden\n
	+ erhalten, weil kein Platz für\n
	+ weitere Geistdaten ist.\n
	+ \n
	+ Bitte lösche Geistdaten.
  157f	= Dieser Kurs ist noch nicht verfügbar.\n
	+ \n
	+ Du kannst weitere Kurse durch das\n
	+ Gewinnen von Pokalen im Grand\n
	+ Prix-Modus freischalten.
  1580	= Beim Herunterladen der Geist-\n
	+ daten als Herausforderung ist\n
	+ ein Fehler aufgetreten.
  1581	/
  15e0	= 
  15e1	= Japan
  15e8	= Anguilla
  15e9	= Antigua und Barbuda
  15ea	= Argentinien
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbados
  15ee	= Belize
  15ef	= Bolivien
  15f0	= Brasilien
  15f1	= Britische Jungferninseln
  15f2	= Kanada
  15f3	= Kaimaninseln
  15f4	= Chile
  15f5	= Kolumbien
  15f6	= Costa Rica
  15f7	= Dominica
  15f8	= Dominikanische Republik
  15f9	= Ecuador
  15fa	= El Salvador
  15fc	= Grenada
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haiti
  1601	= Honduras
  1602	= Jamaika
  1604	= Mexiko
  1605	= Montserrat
  1606	= Niederländische Antillen
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Peru
  160b	= St. Kitts und Nevis
  160c	= St. Lucia
  160d	= St. Vincent und die Grenadinen
  160e	= Suriname
  160f	= Trinidad und Tobago
  1610	= Turks- und Caicosinseln
  1611	= Vereinigte Staaten
  1612	= Uruguay
  1613	= Amerikanische Jungferninseln
  1614	= Venezuela
  1621	= Australien
  1622	= Österreich
  1623	= Belgien
  162a	= Dänemark
  162c	= Finnland
  162d	= Frankreich
  162e	= Deutschland
  162f	= Griechenland
  1632	= Irland
  1633	= Italien
  1638	= Luxemburg
  163e	= Niederlande
  163f	= Neuseeland
  1640	= Norwegen
  1642	= Portugal
  1649	= Spanien
  164b	= Schweden
  164c	= Schweiz
  164e	= Großbritannien
  1660	= 
  1668	= Südkorea
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Wähle einen Kurs.
  1771	= Freundesrangliste
  1772	= Kontinentale Rangliste
  1773	= Globale Rangliste
  1774	= Top 10
  1775	= \z{802,110000} Freundes-Top 10
  1776	= \z{802,110000} Kontinentale Top 10
  1777	= \z{802,110000} Globale Top 10
  1778	= 10
  1779	= Top 10
  177a	= Zeitfahren starten
  177b	= Gegen den Geist antreten
  177c	= Wiederholung ansehen
  177d	= Geistdaten löschen
  177e	= Geistdaten senden
  177f	= Gegen den Geist antreten
  1780	= Solo-Zeitfahren
  1781	= NEU
  1782	= Freundes-
  1783	= Top 10
  1784	= Kontinentale
  1785	= Top 10
  1786	= Globale
  1787	= Top 10
  1788	/
  17a2	= ZEIT
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Kontinentaler Champion
  17a7	= Globaler Champion
  17a8	= Rivale
  17a9	= Freundes-
  17aa	= Kontinentale
  17ab	= Globale
  17ac	= \z{803,100000}
  17ad	= Familien-Geistdaten
  17ae	= Freundes-Geistdaten
  17af	= Spezial-Geistdaten
  17b0	= Geistdaten der Entwickler
  17b1	/
  17d4	= Für \z{802,110000}\n
	+ gibt es keine Geistdaten.
  17d5	= Es gibt für diesen Kurs\n
	+ keine Geistdaten von\n
	+ \z{802,130000}.
  17d6	= Es gibt keine Geistdaten.
  17d7	/
  17de	= Herunterladen der Geistdaten...
  17df	= Die Liste heruntergeladener\n
	+ Geistdaten ist voll. Du kannst im\n
	+ Moment keine weiteren Geistdaten\n
	+ herunterladen.\n
	+ \n
	+ Bitte lösche Geistdaten aus der\n
	+ Liste heruntergeladener Geistdaten.
  17e0	= Beim Herunterladen der\n
	+ Geistdaten ist ein Fehler\n
	+ aufgetreten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  17e1	= Die Geistdaten wurden heruntergeladen.
  17e2	= Herunterladen der Top 10...
  17e3	= Beim Herunterladen der Top 10\n
	+ ist ein Fehler aufgetreten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  17e4	= Es gibt keine Top 10.
  17e5	= 
  17e8	= Eine Verbindung zur\n
	+ Nintendo Wi-Fi Connection\n
	+ herstellen?
  17e9	= O.K.
  17ea	= Eine Verbindung zur\n
	+ Nintendo Wi-Fi Connection\n
	+ herstellen?
  17eb	= Sollen die bestehenden Geistdaten\n
	+ überschrieben werden?
  17ec	/
  1806	= Rennen gegen Geist.
  1807	= Geistwiederholung ansehen.
  1808	= Möchtest du diese Geistdaten wirklich löschen?
  1809	= Geistdaten löschen
  180a	= Abbruch
  180b	/
  1839	= 1.
  183a	= 2.
  183b	= 3.
  183c	= 4.
  183d	= 5.
  183e	= 6.
  183f	= 7.
  1840	= 8.
  1841	= 9.
  1842	= 10.
  1843	= 11.
  1844	= 12.
  1845	/
  186a	= Zeitfahren auf diesem Kurs starten.
  186b	= \z{802,120000} herausfordern.
  186c	= Fahre gegen den kontinentalen Champion.
  186d	= Fahre gegen den globalen Champion.
  186e	= Geistrennen gegen einen etwas besseren Spieler.
  186f	= Freundes-Top 10 ansehen.
  1870	= Kontinentale Top 10 ansehen.
  1871	= Globale Top 10 ansehen.
  1872	= Geistrennen gegen Mario Kart Wii-Entwickler.
  1873	= Rekord von \z{802,120000}.
  1874	= Rekord des kontinentalen Champion.
  1875	= Rekord des globalen Champion.
  1876	/
  189c	= Geistdaten senden
  189d	= Für \z{802,110000} gibt es\n
	+ keinen Rekord von \z{802,120000}.
  189e	= Für \z{802,110000} liegt der\n
	+ Rekord von \z{802,120000} bei\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  189f	= Für \z{802,110000} gibt es\n
	+ keinen Rekord von \z{802,120000}.
  18a0	= Für \z{802,110000} liegt der\n
	+ Rekord von \z{802,120000} bei\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  18a1	= Senden der Geistdaten...
  18a2	/
  18a6	= WiiConnect24 ist im Moment nicht verfügbar.\n
	+ Bitte versuche es später erneut.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18a7	= Keine Verbindung zum Internet\n
	+ möglich. WiiConnect24 ist nicht\n
	+ verfügbar. Überprüfe die Ein-\n
	+ stellungen der Verbindung in den\n
	+ Internet-Einstellungen. Bitte lies\n
	+ die Wii-Bedienungsanleitung, um\n
	+ weitere Informationen zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18a8	= Aufgrund eines Fehlers im Speicher der\n
	+ Wii-Konsole ist WiiConnect24 nicht verfügbar.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18a9	= Es muss ein Update des Wii-Systems\n
	+ durchgeführt werden, bevor WiiConnect24\n
	+ verwendet werden kann. Bitte lies die\n
	+ Wii-Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18aa	= Ein Fehler ist aufgetreten.\n
	+ WiiConnect24 kann\n
	+ nicht verwendet werden.\n
	+ Bitte betätige den\n
	+ RESET-Knopf und versuche es erneut.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18ab	= WiiConnect24 ist zurzeit ausgeschaltet.\n
	+ Prüfe die WiiConnect24-Option in\n
	+ den Wii-Optionen. Bitte lies die\n
	+ Wii-Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18ac	= Aufgrund eines Fehlers im Speicher der\n
	+ Wii-Konsole ist WiiConnect24 nicht verfügbar.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  18ad	= Die Verwendung der Internet-\n
	+ Funktionen ist eingeschränkt.\n
	+ Bitte überprüfe die\n
	+ Altersbeschränkungen in den\n
	+ Wii-Optionen.\040
  18ae	= Es ist keine Verbindung\n
	+ eingestellt. Bitte öffne die\n
	+ Wii-Optionen und stelle in\n
	+ den Internet-Einstellungen\n
	+ eine Verbindung ein.\n
	+ \n
	+ Fehlercode: 50200
  18af	= Der Mario Kart-Kanal verwendet\n
	+ WiiConnect24, um Informationen\n
	+ über Folgendes zu erhalten:\n
	+ - Herausforderungen von Freunden\n
	+ - Ranglisten von Spielern der\n
	+   ganzen Welt\n
	+ - Geistdaten von ähnlich starken\n
	+   Spielern wie dir\n
	+ - Wettbewerbstermine
  18b0	= Du kannst die WiiConnect24-Option\n
	+ in den Wii-Optionen aktivieren.\n
	+ \n
	+ Bitte lies die Wii-Bedienungsanleitung,\n
	+ um weitere Informationen zu erhalten.
  18b1	= Ein Fehler ist aufgetreten.\n
	+ WiiConnect24 kann nicht\n
	+ verwendet werden. Bitte\n
	+ betätige den RESET-Knopf\n
	+ und versuche es erneut.\n
	+ \n
	+ Fehlercode: ：\z{a02,1000000006}
  18b2	= 
  18f6	= LOS!
  18f7	= 
  1900	= Neue Geistdaten eines Freundes!
  1901	= Neue Spezial-Geistdaten!
  1902	= Ein Wettbewerb wird veranstaltet!
  1903	= Die aktuellen Ranglisten sind da!
  1904	= Starte ein Geistrennen!
  1905	= Neuer Freundes-Rekord!
  1906	= Hol dir den Mario Kart-Kanal!
  1907	= Tritt dem Info-Service bei!
  1908	= Nimm die Regionseinstellung vor!
  1909	= Lade Freunde über die Wii-Pinnwand ein!
  190a	= Lade aktuelle Daten herunter!
  190b	/
  190c	/
  1964	= Zu den heruntergeladenen Geistdaten.
  1965	= Zu den Zeitfahren-Ranglisten.
  1966	= Zu Wettbewerben.
  1967	= Zu den Zeitfahren-Ranglisten.
  1968	= Zum Geistrennen.
  1969	= Zu den Zeitfahren-Ranglisten.
  196a	= Zu den Optionen.
  196b	= Zu den Optionen.
  196c	= Zu den Optionen.
  196d	= Biete anderen deine Freundschaft an.
  196e	= Neue Ranglisten und Wettbewerbsdaten!
  196f	/
  1970	/
  1996	= Du kannst im Moment keine\n
	+ Wettbewerb-Ranglisten einsehen.
  1997	= Herunterladen der Wettbewerb-Ranglisten...
  1998	= Beim Herunterladen der Wettbewerb-\n
	+ Ranglisten ist ein Fehler aufgetreten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1999	= Du kannst Wettbewerb-Ranglisten\n
	+ einen Tag nach Wettbewerbsbeginn\n
	+ einsehen.\n
	+ \n
	+ Bitte warte noch.
  199a	= Erste Hälfte
  199b	= Zweite Hälfte
  199c	= Im Moment ist es nicht möglich,\n
	+ Ranglisten dieses Wettbewerbs\n
	+ einzusehen.\n
	+ Bitte versuche es morgen noch einmal.
  19c8	= Du kannst an globalen Mario Kart Wii-\n
	+ Wettbewerben teilnehmen.\n
	+ \n
	+ Verbinde deine Wii-Konsole mit dem\n
	+ Internet, stelle zuvor sicher, dass\n
	+ WiiConnect24 aktiviert ist, und\n
	+ warte auf den Start eines Wettbewerbs.
  19c9	= Der vorherige Wettbewerb ist\n
	+ beendet und die Ergebnisse\n
	+ können nun eingesehen werden!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Start
  19cd	= Wettbewerb-Rekord senden
  19ce	= Senden des Wettbewerb-Rekords...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Dein Wettbewerb-Rekord wurde gesendet.
  19d1	= Senden des Wettbewerb-Rekords\n
	+ fehlgeschlagen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  19d2	= Der Wettbewerb endet am\n
	+ \z{a02,1000020000}.\z{a02,1000010000}.\z{a02,1000000000}!
  19d3	/
  1a2c	= Freundesanfrage
  1a2d	= Du kannst eine Freundesanfrage,\n
	+ die deinen Freundescode enthält,\n
	+ an die Wii-Pinnwand deiner Freunde\n
	+ senden.\n
	+ \n
	+ Auf diese Weise kann man ganz\n
	+ schnell Mario Kart Wii-Freunde\n
	+ finden.
  1a2e	= Wähle den Empfänger aus.
  1a2f	= Soll eine Freundesanfrage an die\n
	+ Wii-Pinnwand von \z{802,200000}\n
	+ gesendet werden?
  1a30	= Senden der Freundesanfrage...
  1a31	= Eine Freundesanfrage wurde an die\n
	+ Wii-Pinnwand von \z{802,200000}\n
	+ gesendet.\n
	+ \n
	+ Du wirst über deine Wii-Pinnwand\n
	+ informiert, wenn \z{802,200000}\n
	+ deine Anfrage akzeptiert hat.
  1a32	= Senden der Freundesanfrage\n
	+ fehlgeschlagen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Der Wettbewerb-Rekord\n
	+ wurde gesendet.\n
	+ Du gelangst nun zu den\n
	+ Wettbewerb-Ranglisten.
  1a35	/
  1a36	= Freundescode registrieren
  1a37	= Du hast eine Freundesanfrage von\n
	+ \z{802,200000} erhalten.\n
	+ \n
	+ Wenn du den Freundescode dieser\n
	+ Person in deiner Freundesliste\n
	+ registrierst, wird ihr dein\n
	+ Freundescode automatisch\n
	+ zugeschickt.
  1a38	= Soll \z{802,200000} in\n
	+ deiner Freundesliste registriert\n
	+ werden?
  1a39	= Registrieren des Freundescodes...
  1a3a	= Der Freundescode von\n
	+ \z{802,200000} wurde\n
	+ in deiner Freundesliste\n
	+ registriert.
  1a3b	= Registrieren des Freundescodes\n
	+ fehlgeschlagen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  1a3c	= Du hast keinen Freundescode.\n
	+ Der Freundescode besteht aus\n
	+ 12 Ziffern und wird dir automatisch\n
	+ zugeteilt, wenn du zum ersten Mal eine\n
	+ Verbindung zur Nintendo Wi-Fi\n
	+ Connection erstellst. Lies bitte die\n
	+ Wii-Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.\n
  1a3d	= Dir wurde angeboten Freundes-\n
	+ codes auszutauschen, aber deine\n
	+ Freundesliste enthält bereits\n
	+ das Maximum von 30 Freunden.\n
	+ \n
	+ Es können keine weiteren\n
	+ Freundescodes registriert\n
	+ werden.
  1a3e	= Die Person, die dir diese Freundes-\n
	+ anfrage gesendet hat, befindet sich\n
	+ nicht im Adressbuch deiner Wii-Pinnwand.\n
	+ \n
	+ Starte bitte den Mario Kart-Kanal\n
	+ erneut und registriere ihren\n
	+ Freundescode.
  1a3f	= Dir wurde angeboten Freundes-\n
	+ codes auszutauschen, aber der\n
	+ Freundescode des Senders ist\n
	+ bereits in deiner Freundesliste\n
	+ registriert.
  1a40	= 
  1a90	= Lade Wettbewerb-Ranglisten herunter
  1a91	= Herunterladen der Wettbewerb-Ranglisten...
  1a92	= Wettbewerb-Ranglisten heruntergeladen.
  1a93	= Herunterladen der Wettbewerb-\n
	+ Ranglisten fehlgeschlagen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Aktuelle Daten herunterladen
  1af5	= Die aktuellen Daten des\n
	+ Mario Kart-Kanals werden\n
	+ heruntergeladen.
  1af6	= Herunterladen der aktuellen Daten...
  1af7	= Aktuelle Daten des Mario Kart-\n
	+ Kanals wurden heruntergeladen.
  1af8	= Beim Herunterladen der aktuellen\n
	+ Daten ist ein Fehler aufgetreten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000006}
  1af9	/
  1b58	= Optionen
  1b59	= Nintendo Wi-Fi Connection
  1b5a	= Optionen
  1b5b	= Weiter
  1b5c	/
