#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Bonjour!
	+ Code d'erreur: \z{a02,1000000005}
  1214	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1215	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1216	/
  1388	= Chaîne Mario Kart
  1389	= Liste d'amis
  138a	= Classements
  138b	= Course fantôme
  138c	= Concours
  138d	/
  138e	= Enregistrer un code ami
  138f	/
  1390	= Menu Wii
  1391	= Liste de fantômes téléchargés
  1392	= Concours
  1393	= Liste d'amis
  1394	/
  1395	/
  1396	= Commencer la course
  1397	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
  1398	= Mon fantôme
  1399	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139a	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139b	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139c	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139d	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139e	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139f	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a0	= Améliorez votre technique\n
	+ en affrontant des fantômes\n
	+ de joueurs du monde entier\n
	+ dans une série de courses\n
	+ via la CWF Nintendo!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= victoire
  13a3	= victoires
  13a4	= défaite
  13a5	= défaites
  13a6	/
  13ba	= Amis
  13bb	= Fantômes
  13bc	= Classement Contre-la-montre
  13bd	/
  13be	= Classement Concours
  13bf	/
  13c4	= Consultez le statut de vos amis.
  13c5	= Consultez les records des autres joueurs.
  13c6	= Consultez ou effacez les fantômes téléchargés.
  13c7	= Participez à des concours.
  13c8	= Affrontez des fantômes et consultez votre liste.
  13c9	/
  13ca	= Envoyez et affrontez des fantômes.
  13cb	/
  13cc	= Consultez les classements des concours.
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Veuillez saisir un code ami.
  13ed	= Voulez-vous enregistrer ce code ami?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= Ce code ami est incorrect:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ef	= Ce code ami a été enregistré:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Avant de pouvoir jouer avec vos amis,\n
	+ ceux-ci doivent également enregistrer\n
	+ votre code ami.\n
	+ \n
	+ Votre code ami est:\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= Ce code ami est déjà enregistré\n
	+ dans votre liste d'amis.
  13f7	= Votre liste d'amis est pleine.\n
	+ Vous ne pouvez pas enregistrer plus\n
	+ de 30 amis dans votre liste d'amis.
  13f8	= Vous n'avez pas de code ami.
  13f9	= Vous ne pouvez pas enregistrer\n
	+ le code ami d'un permis sauvegardé\n
	+ dans la mémoire de cette console Wii.
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= Effacer
  1451	= Rejoindre cet ami
  1452	= Impossible de rejoindre cet ami.
  1453	= Vous n'êtes pas encore amis.
  1454	/
  1455	/
  1456	= victoire
  1457	= victoires
  1458	/
  1459	= Bataille
  145a	= Effacer ce code ami?
  145b	= Ce code ami a été effacé.
  145c	= Effacement du code ami en cours...
  145d	= Effacer un code ami
  145e	= Effacer
  145f	= Annuler
  1460	= \z{c04,14561457}
  1461	= Toutes les données associées\n
	+ à ce code ami seront effacées.\n
	+ \n
	+ Voulez-vous continuer?
  1462	/
  14b4	= Je suis en ligne!
  14b5	= Je ne suis pas en ligne!
  14b6	/
  14b7	/
  14b8	= J'ai créé une salle!
  14b9	= Je joue avec des amis!
  14ba	= Je joue avec des amis!
  14bb	= Je fais une course VS mondiale!
  14bc	= Je fais une bataille mondiale!
  14bd	= Je fais une course VS continentale!
  14be	= Je fais une bataille continentale!
  14bf	= J'héberge un Grand Prix (1\u{e069} course)!
  14c0	= J'héberge un Grand Prix (2\u{e06a} course)!
  14c1	= J'héberge un Grand Prix (3\u{e06a} course)!
  14c2	= J'héberge un Grand Prix (4\u{e06a} course)!
  14c3	= J'héberge une bataille (1\u{e068} round)!
  14c4	= J'héberge une bataille (2\u{e06a} round)!
  14c5	= J'héberge une bataille (3\u{e06a} round)!
  14c6	= J'héberge une bataille (tie-break)!
  14c7	= J'affronte des amis (1\u{e069} course)!
  14c8	= J'affronte des amis (2\u{e06a} course)!
  14c9	= J'affronte des amis (3\u{e06a} course)!
  14ca	= J'affronte des amis (4\u{e06a} course)!
  14cb	= J'affronte des amis (1\u{e068} round)!
  14cc	= J'affronte des amis (2\u{e06a} round)!
  14cd	= J'affronte des amis (3\u{e06a} round)!
  14ce	= J'affronte des amis (tie-break)!
  14cf	/
  14d0	/
  14e6	= Rejoindre un ami.
  14e7	/
  1518	/
  1519	/
  151a	= Voulez-vous vraiment\n
	+ envoyer ce fantôme?
  151b	= Envoi du fantôme en cours...
  151c	= Votre fantôme a été envoyé\n
	+ à \z{802,120000}!\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= Votre fantôme a été envoyé\n
	+ à \z{802,120000}!\n
	+ \n
	+ 5/5\n
	+ \n
	+ Vous pourrez envoyer d'autres\n
	+ fantômes la prochaine fois que\n
	+ vous jouerez à Mario Kart Wii.
  151e	= Impossible d'envoyer un fantôme\n
	+ car aucun fantôme n'a été trouvé.
  151f	/
  157c	= Vérification des fantômes en cours...
  157d	= Un ami vous a envoyé un fantôme!
  157e	= Votre liste de fantômes téléchargés est\n
	+ pleine. Vous ne pouvez pas recevoir les\n
	+ fantômes envoyés par vos amis.\n
	+ \n
	+ Veuillez effacer un fantôme de votre liste.
  157f	= Ce circuit n'est pas encore disponible.\n
	+ \n
	+ Gagnez des trophées en Grand Prix\n
	+ pour débloquer plus de circuits.
  1580	= Une erreur est survenue pendant\n
	+ le téléchargement du fantôme.
  1581	/
  15e0	= 
  15e1	= Japon
  15e8	= Anguilla
  15e9	= Antigua-et-Barbuda
  15ea	= Argentine
  15eb	= Aruba
  15ec	= Bahamas
  15ed	= Barbade
  15ee	= Belize
  15ef	= Bolivie
  15f0	= Brésil
  15f1	= Iles Vierges britanniques
  15f2	= Canada
  15f3	= Iles Caïman
  15f4	= Chili
  15f5	= Colombie
  15f6	= Costa Rica
  15f7	= Dominique
  15f8	= République Dominicaine
  15f9	= Equateur
  15fa	= Salvador
  15fc	= Grenade
  15fe	= Guatemala
  15ff	= Guyana
  1600	= Haïti
  1601	= Honduras
  1602	= Jamaïque
  1604	= Mexique
  1605	= Montserrat
  1606	= Antilles néerlandaises
  1607	= Nicaragua
  1608	= Panama
  1609	= Paraguay
  160a	= Pérou
  160b	= Saint-Christophe-et-Niévès
  160c	= Sainte-Lucie
  160d	= Saint-Vincent-et-les-Grenadines
  160e	= Suriname
  160f	= Trinité-et-Tobago
  1610	= Iles Turques et Caïques
  1611	= Etats-Unis
  1612	= Uruguay
  1613	= Iles Vierges américaines
  1614	= Venezuela
  1621	= Australie
  1622	= Autriche
  1623	= Belgique
  162a	= Danemark
  162c	= Finlande
  162d	= France
  162e	= Allemagne
  162f	= Grèce
  1632	= Irlande
  1633	= Italie
  1638	= Luxembourg
  163e	= Pays-Bas
  163f	= Nouvelle-Zélande
  1640	= Norvège
  1642	= Portugal
  1649	= Espagne
  164b	= Suède
  164c	= Suisse
  164e	= Royaume-Uni
  1660	= 
  1668	= Corée du Sud
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= Choisissez un circuit.
  1771	= Classement amis
  1772	= Classement continental
  1773	= Classement mondial
  1774	= Top 10
  1775	= \z{802,110000} Top 10 amis
  1776	= \z{802,110000} Top 10 continental
  1777	= \z{802,110000} Top 10 mondial
  1778	= 10
  1779	= Top 10
  177a	= Contre-la-montre
  177b	= Affronter ce fantôme
  177c	= Voir la course
  177d	= Effacer ce fantôme
  177e	= Envoyer un fantôme
  177f	= Affronter ce fantôme
  1780	= Contre-la-montre solo
  1781	= NOUVEAU
  1782	= Top 10
  1783	= amis
  1784	= Top 10
  1785	= continental
  1786	= Top 10
  1787	= mondial
  1788	/
  17a2	= TEMPS
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= Champion continental
  17a7	= Champion du monde
  17a8	= Fantôme rival
  17a9	= amis
  17aa	= continental
  17ab	= mondial
  17ac	= \z{803,100000}
  17ad	= Fantôme famille
  17ae	= Fantôme ami
  17af	= Fantôme spécial
  17b0	= Fantôme des développeurs
  17b1	/
  17d4	= Il n'y a pas de fantôme pour\n
	+ \z{802,110000}.
  17d5	= Il n'y a pas de fantôme pour\n
	+ \z{802,130000}.
  17d6	= Aucun fantôme téléchargé.
  17d7	/
  17de	= Téléchargement du fantôme en cours...
  17df	= Votre liste de fantômes téléchargés est\n
	+ pleine. Vous ne pouvez pas télécharger\n
	+ plus de fantômes.\n
	+ \n
	+ Veuillez effacer un fantôme de votre liste.
  17e0	= Une erreur est survenue pendant\n
	+ le téléchargement du fantôme.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  17e1	= Le fantôme a été téléchargé.
  17e2	= Téléchargement du Top 10 en cours...
  17e3	= Une erreur est survenue pendant\n
	+ le téléchargement du Top 10.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  17e4	= Top 10 non disponible.
  17e5	= 
  17e8	= Se connecter à la connexion\n
	+ Wi-Fi Nintendo?
  17e9	= OK
  17ea	= Se connecter à la connexion\n
	+ Wi-Fi Nintendo?
  17eb	= Le nouveau fantôme remplacera\n
	+ le fantôme actuel.\n
	+ \n
	+ Voulez-vous continuer?
  17ec	/
  1806	= Affronter ce fantôme.
  1807	= Voir la course de ce fantôme.
  1808	= Voulez-vous vraiment effacer ce fantôme?
  1809	= Effacer
  180a	= Annuler
  180b	/
  1839	= 1\u{e068}
  183a	= 2\u{e06a}
  183b	= 3\u{e06a}
  183c	= 4\u{e06a}
  183d	= 5\u{e06a}
  183e	= 6\u{e06a}
  183f	= 7\u{e06a}
  1840	= 8\u{e06a}
  1841	= 9\u{e06a}
  1842	= 10\u{e06a}
  1843	= 11\u{e06a}
  1844	= 12\u{e06a}
  1845	/
  186a	= Commencez un Contre-la-montre.
  186b	= Affichez le record de \z{802,120000}.
  186c	= Affrontez le fantôme du champion continental.
  186d	= Affrontez le fantôme du champion du monde.
  186e	= Affrontez le fantôme d'un joueur un peu plus rapide que vous.
  186f	= Affichez le Top 10 de votre liste d'amis.
  1870	= Affichez le Top 10 continental.
  1871	= Affichez le Top 10 mondial.
  1872	= Affrontez le fantôme des développeurs de Mario Kart Wii.
  1873	= Record de \z{802,120000}.
  1874	= Record du champion continental.
  1875	= Record du champion du monde.
  1876	/
  189c	= Envoyer un fantôme
  189d	= \z{802,120000} n'a pas de\n
	+ record sur \z{802,110000}.
  189e	= Le record de \z{802,120000}\n
	+ sur \z{802,110000} est:\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  189f	= \z{802,120000} n'a pas de\n
	+ record sur \z{802,110000}.
  18a0	= Le record de \z{802,120000}\n
	+ sur \z{802,110000} est:\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}.
  18a1	= Envoi du fantôme en cours...
  18a2	/
  18a6	= Le service WiiConnect24 est\n
	+ temporairement indisponible.\n
	+ Veuillez réessayer ultérieurement.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a7	= Impossible d'utiliser WiiConnect24\n
	+ à cause d'un problème de connexion.\n
	+ Vérifiez vos paramètres de connexion\n
	+ dans les paramètres Internet. Veuillez\n
	+ vous référer au mode d'emploi Wii\n
	+ pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a8	= Un problème de mémoire de la console Wii\n
	+ empêche l'utilisation de WiiConnect24.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18a9	= Vous devez mettre à jour votre console\n
	+ pour utiliser WiiConnect24. Veuillez\n
	+ vous référer au mode d'emploi Wii\n
	+ pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18aa	= Une erreur est survenue.\n
	+ Impossible d'utiliser WiiConnect24.\n
	+ Veuillez réinitialiser la console et réessayer.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ab	= WiiConnect24 est actuellement désactivé.\n
	+ Vérifiez vos paramètres dans les options Wii.\n
	+ Veuillez vous référer au mode d'emploi Wii\n
	+ pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ac	= Un problème de mémoire de la console Wii\n
	+ empêche l'utilisation de WiiConnect24.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18ad	= L'utilisation des services en ligne est limitée.\n
	+ Vérifiez vos paramètres de contrôle parental\n
	+ dans les options Wii.
  18ae	= Aucune connexion n'est paramétrée.\n
	+ Configurez les paramètres Internet\n
	+ dans les options Wii.\n
	+ \n
	+ Code d'erreur: 50200
  18af	= La chaîne Mario Kart utilise le service\n
	+ WiiConnect24 pour recevoir diverses\n
	+ informations telles que:\n
	+ \n
	+ ・les fantômes envoyés par vos amis\n
	+ ・les classements des joueurs\n
	+ ・les fantômes de vos rivaux\n
	+ ・le calendrier des concours
  18b0	= Vous pouvez modifier les paramètres\n
	+ WiiConnect24 dans les options Wii.\n
	+ \n
	+ Veuillez vous référer au mode \n
	+ d'emploi Wii pour plus de détails.
  18b1	= Une erreur est survenue. Impossible\n
	+ d'utiliser WiiConnect24. Veuillez\n
	+ réinitialiser la console et réessayer.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  18b2	= 
  18f6	= OK
  18f7	= 
  1900	= Un ami vous a envoyé un fantôme!
  1901	= Un fantôme spécial est disponible!
  1902	= Un concours a commencé!
  1903	= Les classements ont été mis à jour!
  1904	= Affrontez un fantôme!
  1905	= Un ami a mis à jour ses records!
  1906	= Ajoutez la chaîne Mario Kart!
  1907	= Activez le service de messages!
  1908	= Indiquez votre région!
  1909	= Invitez vos amis via le bureau Wii!
  190a	= Téléchargez les dernières données!
  190b	/
  190c	/
  1964	= Affichez votre liste de fantômes téléchargés.
  1965	= Affichez le classement en Contre-la-montre.
  1966	= Participez à un concours.
  1967	= Affichez le classement en Contre-la-montre.
  1968	= Affrontez un fantôme via la CWF Nintendo.
  1969	= Affichez le classement en Contre-la-montre.
  196a	= Affichez l'écran des paramètres.
  196b	= Affichez l'écran des paramètres.
  196c	= Affichez l'écran des paramètres.
  196d	= Invitez vos amis via le bureau Wii.
  196e	= Recevez les dernières mises à jour.
  196f	/
  1970	/
  1996	= Aucun classement de concours\n
	+ n'est disponible actuellement.
  1997	= Téléchargement du classement en cours...
  1998	= Une erreur est survenue pendant\n
	+ le téléchargement du classement.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1999	= Vous pouvez consulter le classement\n
	+ d'un concours un jour après son début.\n
	+ \n
	+ Veuillez patienter.
  199a	= Première moitié
  199b	= Deuxième moitié
  199c	= Le classement de ce concours\n
	+ n'est pas encore disponible.\n
	+ \n
	+ Veuillez réessayer demain.
  19c8	= Vous pouvez participer à des\n
	+ concours mondiaux Mario Kart Wii\n
	+ pendant une durée limitée.\n
	+ \n
	+ Veuillez connecter votre Wii\n
	+ à Internet, activer le service\n
	+ WiiConnect24 et attendre\n
	+ qu'un concours commence.
  19c9	= Le concours précédent est terminé\n
	+ et le classement est disponible!
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= Commencer
  19cd	= Envoyer votre record
  19ce	= Envoi du record en cours...
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= Votre record a été envoyé.
  19d1	= Impossible d'envoyer le record.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  19d2	= Fin du concours: \z{a02,1000020000}/\z{a02,1000010000}/
	+ \z{a02,1000000000}
  19d3	/
  1a2c	= Invitation via le bureau Wii
  1a2d	= Vous pouvez envoyer une invitation\n
	+ contenant votre code ami sur le\n
	+ bureau Wii de vos amis Wii.\n
	+ \n
	+ C'est un moyen rapide et pratique\n
	+ de devenir amis dans Mario Kart Wii!
  1a2e	= Veuillez choisir le destinataire.
  1a2f	= Voulez-vous vraiment envoyer\n
	+ une invitation sur le bureau\n
	+ Wii de \z{802,200000}?
  1a30	= Envoi de l'invitation en cours...
  1a31	= Votre invitation a été envoyée sur\n
	+ le bureau Wii de \z{802,200000}.\n
	+ \n
	+ Si \z{802,200000} accepte votre\n
	+ invitation, vous recevrez un message\n
	+ de confirmation sur votre bureau Wii.
  1a32	= Impossible d'envoyer l'invitation.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= Votre record a été envoyé.\n
	+ \n
	+ Vous allez retourner au\n
	+ classement du concours.
  1a35	/
  1a36	= Enregistrer un code ami
  1a37	= \z{802,200000} vous a envoyé\n
	+ une invitation.\n
	+ \n
	+ Si vous enregistrez son code ami\n
	+ dans votre liste d'amis, un message\n
	+ de confirmation contenant votre code\n
	+ ami lui sera envoyé automatiquement.
  1a38	= Voulez-vous enregistrer\n
	+ le code ami de \z{802,200000}\n
	+ dans votre liste d'amis?
  1a39	= Enregistrement en cours...
  1a3a	= Le code ami de \z{802,200000} a été\n
	+ enregistré dans votre liste d'amis.
  1a3b	= Impossible d'enregistrer ce code ami.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1a3c	= Vous n'avez pas de code ami.\n
	+ \n
	+ Votre code ami est un nombre à 12 chiffres\n
	+ qui vous est attribué la première fois que\n
	+ vous vous connectez à la CWF Nintendo.\n
	+ \n
	+ Veuillez vous référer au mode d'emploi\n
	+ de Mario Kart Wii pour plus de détails.
  1a3d	= Vous avez reçu une invitation\n
	+ mais vous avez déjà 30 codes\n
	+ amis dans votre liste d'amis.\n
	+ \n
	+ Vous ne pouvez pas enregistrer\n
	+ plus de 30 codes ami.
  1a3e	= Vous avez reçu une invitation mais\n
	+ l'expéditeur a été effacé du carnet\n
	+ d'adresses de votre bureau Wii.\n
	+ \n
	+ Veuillez accéder à la chaîne Mario\n
	+ Kart et enregistrer son code ami.
  1a3f	= Vous avez reçu une invitation mais\n
	+ le code ami de l'expéditeur est déjà\n
	+ enregistré dans votre liste d'amis.
  1a40	= 
  1a90	= Télécharger le classement du concours
  1a91	= Téléchargement du classement en cours...
  1a92	= Classement du concours téléchargé.
  1a93	= Impossible de télécharger\n
	+ le classement du concours.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= Télécharger les dernières données
  1af5	= Téléchargez les dernières données\n
	+ de la chaîne Mario Kart.
  1af6	= Téléchargement des données en cours...
  1af7	= Les dernières données de la chaîne\n
	+ Mario Kart ont été téléchargées.
  1af8	= Une erreur est survenue pendant\n
	+ le téléchargement des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000006}
  1af9	/
  1b58	= Paramètres
  1b59	= Connexion Wi-Fi Nintendo
  1b5a	= Paramètres
  1b5b	= Suivant
  1b5c	/
  1bbc	= Vibrations de la manette GCN
  1bbd	= Voulez-vous utiliser la\n
	+ fonction vibration de la\n
	+ manette Nintendo GameCube?
  1bbe	= Oui
  1bbf	= Non
  1bc0	= Vous avez choisi d'utiliser\n
	+ la fonction vibration de la\n
	+ manette Nintendo GameCube.
  1bc1	= Vous avez choisi de ne pas\n
	+ utiliser la fonction vibration de\n
	+ la manette Nintendo GameCube.
  1bc2	/
  1c20	= Région
  1c21	= Voulez-vous retourner au\n
	+ menu Wii afin de modifier\n
	+ vos paramètres régionaux?
  1c22	/
  1c23	/
  1c24	/
  1c52	= Profil régional
  1c53	= Mario Kart Wii peut afficher\n
	+ les informations suivantes:\n
	+ \n
	+ ・votre pays (fantômes et classements)\n
	+ ・votre position sur le globe\n
	+ \n
	+ Si vous choisissez d'afficher votre profil\n
	+ régional, il pourra être vu par tous les\n
	+ joueurs connectés à la CWF Nintendo.
  1c54	= Voulez-vous afficher votre profil\n
	+ régional sur la CWF Nintendo?
  1c55	= Oui
  1c56	= Non
  1c57	= Vous avez choisi d'afficher\n
	+ votre profil régional.
  1c58	= Vous avez choisi de ne pas\n
	+ afficher votre profil régional.
  1c59	/
  1c84	= Service de messages
  1c85	= Le service de messages vous permet de\n
	+ recevoir sur votre bureau Wii les dernières\n
	+ nouvelles de la chaîne Mario Kart grâce\n
	+ à WiiConnect24. Vous pouvez cesser de\n
	+ recevoir ces messages à tout moment.\n
	+ Ceux-ci vous annonceront entre autres:\n
	+ \n
	+ ・les dates et les règles des concours\n
	+ ・la disponibilité de fantômes spéciaux
  1c86	= Voulez-vous recevoir\n
	+ les messages de la\n
	+ chaîne Mario Kart?
  1c87	= Oui
  1c88	= Non
  1c89	= Vous avez choisi de\n
	+ recevoir les messages\n
	+ de la chaîne Mario Kart.
  1c8a	= Vous ne recevrez pas de messages\n
	+ de la chaîne Mario Kart.\n
	+ \n
	+ Voulez-vous continuer?
  1c8b	= 
  1cb6	= Vos paramètres actuels vous permettent\n
	+ de recevoir les messages de la chaîne\n
	+ Mario Kart sur votre bureau Wii.
  1cb7	= Sélectionnez un paramètre.
  1cb8	= Ne plus recevoir les messages\n
	+ de la chaîne Mario Kart.
  1cb9	= Ne plus recevoir de messages\n
	+ d'aucun service.
  1cba	= Continuer de recevoir les messages\n
	+ de la chaîne Mario Kart.
  1cbb	= Vous ne recevrez plus de messages\n
	+ de la chaîne Mario Kart.\n
	+ \n
	+ Voulez-vous continuer?
  1cbc	= Vous ne recevrez plus de messages\n
	+ d'aucun service.\n
	+ \n
	+ Voulez-vous continuer?
  1cbd	= Vous continuerez de recevoir \n
	+ les messages de la chaîne \n
	+ Mario Kart.
  1cbe	= Vous avez choisi de ne pas\n
	+ recevoir de messages de la\n
	+ chaîne Mario Kart.
  1cbf	= Vous ne recevrez plus de messages\n
	+ de la chaîne Mario Kart.
  1cc0	= Vous ne recevrez plus de messages\n
	+ d'aucun service.
  1cc1	= 
  1ce8	= Envoi de données à Nintendo
  1ce9	= Lorsque vous jouez à Mario Kart Wii via\n
	+ la CWF Nintendo, les informations suivantes\n
	+ sont automatiquement envoyées à Nintendo:\n
	+ \n
	+ ・votre Mii et votre surnom\n
	+ ・vos records et vos fantômes\n
	+ \n
	+ Ces informations peuvent être vues par tous\n
	+ les joueurs connectés à la CWF Nintendo.
  1cea	= Autoriser l'envoi de données à Nintendo?
  1ceb	= Oui
  1cec	= Non
  1ced	= Vous avez accepté d'envoyer\n
	+ vos données Mario Kart Wii\n
	+ à Nintendo.
  1cee	= Si vous n'acceptez pas d'envoyer ces\n
	+ données à Nintendo, vous ne pourrez pas\n
	+ jouer à Mario Kart Wii via la CWF Nintendo.\n
	+ \n
	+ Voulez-vous continuer?
  1cef	= Vous avez refusé d'envoyer\n
	+ vos données Mario Kart Wii\n
	+ à Nintendo.
  1cf0	= Pour protéger votre vie privée, n'utilisez pas votre\n
	+ vrai nom ou toute autre information personnelle\n
	+ dans le surnom de votre Mii. Le cas échéant,\n
	+ effectuez l'une des opérations suivantes:\n
	+ \n
	+ ・changez le surnom de votre Mii dans la chaîne Mii\n
	+ ・choisissez un Mii invité dans les options du permis
  1cf1	= 
  1d4c	= Affichage des Mii
  1d4d	= Les Mii créés par les joueurs du monde entier\n
	+ peuvent apparaître pendant les courses et les\n
	+ batailles, dans les classements, ainsi qu'à\n
	+ divers autres endroits sur la CWF Nintendo.\n
	+ \n
	+ Vous pouvez choisir de les afficher ou de\n
	+ les remplacer par des Mii créés par Nintendo.
  1d4e	= Voulez-vous afficher les Mii des\n
	+ autres joueurs lorsque vous jouez à\n
	+ Mario Kart Wii via la CWF Nintendo?
  1d4f	= Oui
  1d50	= Non
  1d51	= Vous avez choisi d'afficher\n
	+ les Mii des autres joueurs.
  1d52	= Vous avez choisi de ne pas afficher\n
	+ les Mii des autres joueurs.
  1d53	= Les Mii des autres joueurs seront remplacés\n
	+ par des Mii créés par Nintendo.\n
	+ \n
	+ Voulez-vous continuer?
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii peut être affiché avec le\n
	+ mode 60Hz (480i). Vous utilisez actuellement\n
	+ le mode 50Hz (576i). Si votre téléviseur,\n
	+ comme de nombreux modèles, est compatible avec\n
	+ le mode 60Hz, sélectionnez-le dans la section\n
	+ TYPE DE TELEVISEUR des paramètres Wii pour\n
	+ obtenir une image de meilleure qualité.\n
	+ \n
	+ Pour changer le paramètre du type de\n
	+ téléviseur en 60Hz, appuyez sur le\n
	+ bouton HOME et accédez au menu Wii.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= FELICITATIONS!
  1e17	= Voulez-vous afficher cette\n
	+ photo sur votre bureau Wii?
  1e18	= Envoi en cours...
  1e19	= La photo a été affichée\n
	+ sur votre bureau Wii.
  1e1a	= Les photos affichées sur votre\n
	+ bureau Wii prennent de la place\n
	+ dans la mémoire de la console Wii.\n
	+ \n
	+ Lorsqu'il n'y a plus assez d'espace\n
