#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= こんにちは！
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139b	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139c	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139d	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139e	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139f	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  13a0	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  13a1	= \z{a02,1000000000}\z{c04,13a213a3}
  13a2	= 勝
  13a3	= 勝
  13a4	= 敗
  13a5	= 敗
  13a6	/
  13ba	= フレンド
  13bb	= ゴースト
  13bc	= タイムアタック  ランキング
  13bd	/
  13be	= 大会  ランキング
  13bf	/
  13c4	= いま遊んでいるフレンドを  チェックできます
  13c5	= フレンドや世界の  ランキングをみます
  13c6	= 受信したゴーストの  確認や削除をします
  13c7	= マリオカート大会に  参加できます
  13c8	= 世界中のゴーストと  対戦できます
  13c9	/
  13ca	= ここから  ゴーストの送受信ができます！
  13cb	/
  13cc	= マリオカート大会の  ランキングです！
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= フレンドコードを  とうろくしてください
  13ed	= このフレンドコードをとうろくします。\n
	+ よろしいですか？\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= フレンドコードがまちがっています。\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ef	= フレンドコードをとうろくしました。\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= \z{602,0}さんのフレンドコードも\n
	+ とうろくしてもらってください。\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ お互いが「フレンドとうろく」すると\n
	+ 一緒にあそべるようになります。
  13f1	= \z{a02,1000000001}
  13f2	= -
  13f3	/
  13f6	= そのフレンドコードは\n
	+ すでにとうろくされています。
  13f7	= フレンドは30人までです。\n
	+ とうろくはできません。
  13f8	= \z{602,0}さんのフレンドコードがありません。
  13f9	= \z{802,130000}さんのフレンドコードです。\n
	+ \n
	+ とうろくはできません。
  13fb	/
  141e	/
  141f	/
  1420	/
  1421	/
  1422	/
  1423	/
  1424	/
  1425	/
  1450	= さくじょ
  1451	= ごうりゅうする
  1452	= ごうりゅうできません
  1453	= まだフレンドになっていません
  1454	/
  1455	/
  1456	= win
  1457	= wins
  1458	/
  1459	= バトル
  145a	= フレンドをさくじょしますか？
  145b	= フレンドをさくじょしました
  145c	= フレンドをさくじょしています
  145d	= フレンドさくじょ
  145e	= さくじょする
  145f	= さくじょしない
  1460	= \z{c04,14561457}
  1461	= このフレンドのデータは\n
	+ すべてさくじょされます。\n
	+ よろしいですか？
  1462	/
  14b4	= Wi-Fiに  接続しています
  14b5	= Wi-Fiに  接続していません
  14b6	/
  14b7	/
  14b8	= フレンドルームを  ひらいています！
  14b9	= フレンドと  あそんでいます
  14ba	= フレンドと  あそんでいます
  14bb	= せかい  VS  であそんでいます！
  14bc	= せかい  バトル  であそんでいます！
  14bd	= こくない  VS  であそんでいます！
  14be	= こくない  バトル  であそんでいます！
  14bf	= レースを  しゅさいしています （1レースめ）
  14c0	= レースを  しゅさいしています （2レースめ）
  14c1	= レースを  しゅさいしています （3レースめ）
  14c2	= レースを  しゅさいしています （4レースめ）
  14c3	= バトルを  しゅさいしています （1戦め）
  14c4	= バトルを  しゅさいしています （2戦め）
  14c5	= バトルを  しゅさいしています（3戦め）
  14c6	= バトルを  しゅさいしています（延長戦）
  14c7	= フレンドと  あそんでいます （1レースめ）
  14c8	= フレンドと  あそんでいます （2レースめ）
  14c9	= フレンドと  あそんでいます （3レースめ）
  14ca	= フレンドと  あそんでいます （4レースめ）
  14cb	= フレンドと  あそんでいます （1戦め）
  14cc	= フレンドと  あそんでいます （2戦め）
  14cd	= フレンドと  あそんでいます （3戦め）
  14ce	= フレンドと  あそんでいます （延長戦）
  14cf	/
  14d0	/
  14e6	= フレンドにごうりゅうします
  14e7	/
  1518	/
  1519	/
  151a	= ゴースト挑戦状をおくります。\n
	+ よろしいですか？
  151b	= ゴースト挑戦状をおくっています
  151c	= \z{802,120000}さんに\n
	+ ゴースト挑戦状をおくりました！\n
	+ \n
	+ \z{a02,1000000000}/5
  151d	= \z{802,120000}さんに\n
	+ ゴースト挑戦状をおくりました！\n
	+ \n
	+ 5/5\n
	+ \n
	+ 「マリオカートWii」を次回起動するまで\n
	+ ゴースト挑戦状はおくれません。
  151e	= ゴーストがつくられていなかったため\n
	+ 挑戦状をおくることができませんでした。
  151f	/
  157c	= ゴーストを読み込んでいます
  157d	= フレンドから「挑戦状」がとどいています！
  157e	= 「ゴースト受信リスト」がいっぱいです。\n
	+ \n
	+ フレンドの「挑戦状」を\n
	+ 受信できなくなっています。\n
	+ \n
	+ ゴーストをけしておいてください。
  157f	= このコースでは\n
	+ まだあそべません。\n
	+ \n
	+ グランプリトロフィーをあつめると\n
	+ たくさんのコースで\n
	+ あそべるようになります。
  1580	= ゴースト挑戦状の受信に\n
	+ しっぱいしました。
  1581	/
  15e0	= 
  15e1	= 日本
  15e8	= アンギラ
  15e9	= アンティグア・バーブーダ
  15ea	= アルゼンチン
  15eb	= アルバ
  15ec	= バハマ
  15ed	= バルバドス
  15ee	= ベリーズ
  15ef	= ボリビア
  15f0	= ブラジル
  15f1	= 英領ヴァージン諸島
  15f2	= カナダ
  15f3	= ケイマン諸島
  15f4	= チリ
  15f5	= コロンビア
  15f6	= コスタリカ
  15f7	= ドミニカ国
  15f8	= ドミニカ共和国
  15f9	= エクアドル
  15fa	= エルサルバドル
  15fc	= グレナダ
  15fe	= グアテマラ
  15ff	= ガイアナ
  1600	= ハイチ
  1601	= ホンジュラス
  1602	= ジャマイカ
  1604	= メキシコ
  1605	= モントセラト
  1606	= オランダ領アンティル
  1607	= ニカラグア
  1608	= パナマ
  1609	= パラグアイ
  160a	= ペルー
  160b	= セントキッツ・ネイビス
  160c	= セントルシア
  160d	= セントビンセント・グレナディーン
  160e	= スリナム
  160f	= トリニダード・トバゴ
  1610	= タークス・カイコス諸島
  1611	= アメリカ
  1612	= ウルグアイ
  1613	= 米領バージン諸島\040
  1614	= ベネズエラ
  1621	= オーストラリア
  1622	= オーストリア
  1623	= ベルギー
  162a	= デンマーク
  162c	= フィンランド
  162d	= フランス
  162e	= ドイツ
  162f	= ギリシャ
  1632	= アイルランド
  1633	= イタリア
  1638	= ルクセンブルク
  163e	= オランダ
  163f	= ニュージーランド
  1640	= ノルウェー
  1642	= ポルトガル
  1649	= スペイン
  164b	= スウェーデン
  164c	= スイス
  164e	= イギリス
  1660	= 
  1668	= 韓国
  1670	= 
  1671	= 
  1680	= 
  16df	/
  1770	= コースをえらんでください
  1771	= フレンドランキング
  1772	= こくないランキング
  1773	= せかいランキング
  1774	= TOP
  1775	= \z{802,110000}  フレンド  TOP10
  1776	= \z{802,110000}  こくない  TOP10
  1777	= \z{802,110000}  せかい  TOP10
  1778	= 10
  1779	= TOP10
  177a	= タイムアタックをする
  177b	= レースをはじめる
  177c	= リプレイをみる
  177d	= ゴーストをけす
  177e	= ゴースト挑戦状をおくる
  177f	= ゴーストとレース
  1780	= ひとりでタイムアタック
  1781	= NEW
  1782	= フレンド
  1783	= TOP10
  1784	= こくない
  1785	= TOP10
  1786	= せかい
  1787	= TOP10
  1788	/
  17a2	= TIME
  17a3	= \z{a02,1000000001}:\z{a02,1000010002}
  17a4	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  17a5	= --:--.---
  17a6	= こくないチャンプ
  17a7	= せかいチャンプ
  17a8	= ライバルゴースト
  17a9	= フレンド
  17aa	= こくない
  17ab	= せかい
  17ac	= \z{803,100000}
  17ad	= ファミリーゴースト
  17ae	= フレンドゴースト
  17af	= スペシャルゴースト
  17b0	= スタッフゴースト
  17b1	/
  17d4	= \z{802,110000}\n
	+ \n
	+ ゴーストがありません。
  17d5	= \z{802,130000}\n
	+ \n
	+ ゴーストがありません。
  17d6	= 受信したゴーストは\n
	+ ありません。
  17d7	/
  17de	= ゴーストを受信しています
  17df	= 「ゴースト受信リスト」がいっぱいです。\n
	+ \n
	+ これ以上は受信できません。\n
	+ \n
	+ 「ゴースト受信リスト」で\n
	+ ゴーストをけしておいてください。
  17e0	= ゴーストの受信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  17e1	= ゴーストを受信しました。
  17e2	= TOP10を受信しています
  17e3	= TOP10の受信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  17e4	= TOP10がありません。
  17e5	= 
  17e8	= Wi-Fiコネクションに接続します。\n
	+ よろしいですか？
  17e9	= OK
  17ea	= Wi-Fiコネクションに接続します。\n
	+ よろしいですか？
  17eb	= 新しいゴーストといれかえます。\n
	+ よろしいですか？
  17ec	/
  1806	= ゴーストとレースをします
  1807	= ゴーストのリプレイをみます
  1808	= ほんとうにけしますか？
  1809	= けす
  180a	= けさない
  180b	/
  1839	= 1st
  183a	= 2nd
  183b	= 3rd
  183c	= 4th
  183d	= 5th
  183e	= 6th
  183f	= 7th
  1840	= 8th
  1841	= 9th
  1842	= 10th
  1843	= 11th
  1844	= 12th
  1845	/
  186a	= タイムアタックを  はじめます
  186b	= \z{802,120000}さんと  対戦できます
  186c	= こくないチャンプと  対戦できます
  186d	= せかいチャンプと  対戦できます
  186e	= すこし速いゴーストと  対戦できます
  186f	= フレンド TOP10 をみます
  1870	= こくない TOP10 をみます
  1871	= せかい TOP10 をみます
  1872	= スタッフのゴーストと  対戦できます
  1873	= \z{802,120000}さんの  レコードです
  1874	= こくないチャンプの  レコードです
  1875	= せかいチャンプの  レコードです
  1876	/
  189c	= ゴースト挑戦状をおくる
  189d	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}さんのレコードはありません。
  189e	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}さん　\z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}
  189f	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}さんのレコードはありません。
  18a0	= \z{802,110000}\n
	+ \n
	+ \z{802,120000}さん　\z{a02,1000000002}:\z{a02,1000010002}.
	+ \z{a02,1000020003}
  18a1	= ゴースト挑戦状をおくっています
  18a2	/
  18a6	= WiiConnect24のサービスが\n
	+ 一時的に利用できません。\n
	+ しばらく経ってから\n
	+ もう一度お試しください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18a7	= インターネットに接続できないため\n
	+ WiiConnect24が使用できません。\n
	+ \n
	+ インターネットの設定から\n
	+ 接続先をご確認ください。\n
	+ くわしくは本体の取扱説明書をお読みください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18a8	= Wii本体保存メモリに問題があるため \n
	+ WiiConnect24を使用できません。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18a9	= WiiConnect24の機能を\n
	+ 使用するためには\n
	+ Wii本体の更新が必要です。\n
	+ \n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18aa	= エラーが発生したため \n
	+ WiiConnect24の機能を使用できません。\n
	+ \n
	+ リセットしてやり直してください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18ab	= WiiConnect24の設定が\n
	+ ONになっていません。\n
	+ \n
	+ Wiiオプションで設定を確認してください。\n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18ac	= Wii本体保存メモリに\n
	+ 問題があるため\n
	+ WiiConnect24を\n
	+ 使用できません。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18ad	= ネットワーク機能の利用が\n
	+ 制限されています。\n
	+ \n
	+ Wiiオプションの\n
	+ ペアレンタルコントロールの設定を\n
	+ ご確認ください。
  18ae	= インターネットの設定が\n
	+ されていません。\n
	+ \n
	+ Wiiオプションで\n
	+ インターネットの接続先を\n
	+ 設定してください。\n
	+ \n
	+ エラーコード：50200
  18af	= 「マリオカートチャンネル」は\n
	+ Wiiconnect24を利用して\n
	+ \n
	+ ・フレンドからの「挑戦状」\n
	+ ・世界中の人々の「ランキング」\n
	+ ・ライバルになりそうな「ゴースト」\n
	+ ・期間限定の「大会」\n
	+ などのデータを受信できます。
  18b0	= Wiiconnect24の設定は\n
	+ Wii本体設定で行えます。\n
	+ \n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。
  18b1	= エラーが発生したため\n
	+ WiiConnect24の機能がつかえません。\n
	+ \n
	+ リセットをしてから\n
	+ もういちどやりなおしてください。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  18b2	= 
  18f6	= GO!
  18f7	= 
  1900	= フレンドから挑戦状が届いてます
  1901	= スペシャルゴーストを配信中です
  1902	= 大会が開催されています
  1903	= 最新ランキングが発表されました
  1904	= ゴーストバトルをすぐに始められます
  1905	= フレンドがレコードを更新しています
  1906	= マリオカートチャンネルを保存できます
  1907	= マリオカートのお知らせを受けとれます
  1908	= お住まいの地域を設定できます
  1909	= Wii伝言板で友だちをさそえます
  190a	= 最新のデータを受信できます
  190b	/
  190c	/
  1964	= 「ゴースト受信リスト」へ  移動します
  1965	= 「タイムアタック  ランキング」へ  移動します
  1966	= 「大会」へ  移動します
  1967	= 「タイムアタック  ランキング」へ  移動します
  1968	= 「ゴーストバトル」へ  移動します
  1969	= 「タイムアタック  ランキング」へ  移動します
  196a	= 「共通設定」へ  移動します
  196b	= 「共通設定」へ  移動します
  196c	= 「共通設定」へ  移動します
  196d	= フレンドとうろくの  おさそいができます
  196e	= ランキングや大会のデータを  更新します
  196f	/
  1970	/
  1996	= 大会ランキングは\n
	+ 現在  ご覧いただけません。
  1997	= 大会ランキングを受信しています
  1998	= 大会ランキングの受信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1999	= 大会ランキングは\n
	+ 開催日の翌日から  ご覧いただけます。\n
	+ \n
	+ もうしばらくお待ちください。
  199a	= 前半
  199b	= 後半
  199c	= 今大会のランキングは\n
	+ まだご覧いただけません。\n
	+ \n
	+ 明日以降に\n
	+ もう一度お試しください。
  19c8	= マリオカート大会が\n
	+ 全世界同時に開催されます。\n
	+ \n
	+ Wiiをインターネットにつなぎ\n
	+ WiiConnect24の設定をONにして\n
	+ 大会データの配信をお待ちください。
  19c9	= 前回の大会は終了しました。\n
	+ \n
	+ 「大会ランキング」 が\n
	+ \n
	+ 発表されています！
  19ca	= \z{802,200000}
  19cb	= \z{802,200000}
  19cc	= はじめる
  19cd	= 大会レコードをおくる
  19ce	= 大会レコードをおくっています
  19cf	= \z{802,200000}\n
	+ \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
  19d0	= 大会レコードをおくりました。
  19d1	= 大会レコードをおくることが\n
	+ できませんでした。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  19d2	= \z{a02,1000000000}年\z{a02,1000010000}月\z{a02,1000020000}日が\n
	+ しめきりです。
  19d3	/
  1a2c	= Wii伝言板でおさそい
  1a2d	= 友だちのWii伝言板へ\n
	+ 「マリオカートWii」 のおさそいメールを\n
	+ 送ることができます。\n
	+ \n
	+ \z{602,0}さんのフレンドコードを\n
	+ メールに書いておきますので\n
	+ すぐ 「フレンドとうろく」 してもらえます。
  1a2e	= あてさきをえらんでください
  1a2f	= \z{802,200000}さんのWii伝言板へ\n
	+ おさそいメールをおくります。\n
	+ よろしいですか？
  1a30	= おさそいメールをおくっています
  1a31	= \z{802,200000}さんのWii伝言板へ\n
	+ おさそいメールをおくりました！\n
	+ \n
	+ \z{802,200000}さんから\n
	+ お返事がとどいたら\n
	+ すぐにフレンドになることができます。
  1a32	= おさそいメールの送信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  1a33	= \z{802,200000}
  1a34	= 大会レコードをおくりました。\n
	+ \n
	+ 大会ランキングに移動します。
  1a35	/
  1a36	= フレンドとうろく
  1a37	= \z{802,200000}さんから\n
	+ おさそいメールがとどきました。\n
	+ \n
	+ すぐにフレンドとうろくできます。
  1a38	= \z{802,200000}さんを\n
	+ フレンドとうろくします。\n
	+ \n
	+ よろしいですか？
  1a39	= フレンドとうろくしています
  1a3a	= \z{802,200000}さんを\n
	+ フレンドとうろくしました。
  1a3b	= フレンドとうろくに\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  1a3c	= \z{602,0}さんは\n
	+ フレンドコードをもっていません。\n
	+ \n
	+ フレンドコードとは \n
	+ Wi-Fiに接続したときにもらえる\n
	+ 12ケタの番号です。\n
	+ \n
	+ くわしくは  マリオカートWiiの\n
	+ 取扱説明書をご確認ください。
  1a3d	= フレンドとうろくのおさそいを\n
	+ いただきましたが\n
	+ \n
	+ \z{602,0}さんは\n
	+ すでに30人のフレンドを\n
	+ とうろくしています。\n
	+ \n
	+ これ以上は  とうろくできません。
  1a3e	= フレンドとうろくのおさそいを\n
	+ いただきましたが\n
	+ \n
	+ その方は  Wii伝言板のアドレス帳から\n
	+ 削除されていました。\n
	+ \n
	+ もう一度起動しなおしてから\n
	+ フレンドコードをとうろくしてください。
  1a3f	= フレンドとうろくのおさそいを\n
	+ いただきましたが\n
	+ \n
	+ その方のフレンドコードは\n
	+ すでにとうろくされています。
  1a40	= 
  1a90	= 大会ランキングの受信
  1a91	= 大会ランキングを受信しています
  1a92	= 大会ランキングを受信しました。
  1a93	= 大会ランキングの受信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1a94	/
  1a9b	/
  1a9c	/
  1a9d	/
  1af4	= 最新データの受信
  1af5	= マリオカートチャンネルの\n
	+ 最新データを受信します。
  1af6	= 最新データを受信しています
  1af7	= マリオカートチャンネルの\n
	+ 最新データを受信しました。
  1af8	= 最新データの受信に\n
	+ しっぱいしました。\n
	+ \n
	+ エラーコード：\z{a02,1000000006}
  1af9	/
  1b58	= 共通設定
  1b59	= ネットワークオプション
  1b5a	= 共通設定
  1b5b	= つぎへ
  1b5c	/
  1bbc	= ゲームキューブコントローラの振動
  1bbd	= ゲームキューブコントローラの\n
	+ 振動機能をつかいますか？
  1bbe	= つかう
  1bbf	= つかわない
  1bc0	= ゲームキューブコントローラの\n
	+ 振動機能を\n
	+ \n
	+ ［ つかう ］\n
	+ \n
	+  に設定しました。
  1bc1	= ゲームキューブコントローラの\n
	+ 振動機能を\n
	+ \n
	+ ［ つかわない ］\n
	+ \n
	+  に設定しました。
  1bc2	/
  1c20	= お住まいの地域
  1c21	= お住まいの地域を設定するために\n
	+ Wiiメニューへ移動します。\n
	+ よろしいですか？
  1c22	/
  1c23	/
  1c24	/
  1c52	= 国旗と地域の利用
  1c53	= 「マリオカートWii」では \n
	+ 国旗と地域（都道府県）を\n
	+ 次のデータに利用することができます。\n
	+ ・Wi-Fi対戦の地球儀         \n
	+ ・タイムアタックのゴースト\n
	+ \n
	+ これらのデータは\n
	+ Wi-Fi対戦相手にも送信されます。
  1c54	= 「マリオカートWii」で \n
	+ 国旗と地域（都道府県）を\n
	+ ご利用になりますか？
  1c55	= 利用する
  1c56	= 利用しない
  1c57	= 「マリオカートWii」で \n
	+ 国旗と地域（都道府県）を\n
	+ \n
	+ ［ 利用する ］\n
	+ \n
	+  に設定しました。
  1c58	= 「マリオカートWii」で \n
	+ 国旗と地域（都道府県）を\n
	+ \n
	+ ［ 利用しない ］\n
	+ \n
	+  に設定しました。
  1c59	/
  1c84	= お知らせ配信
  1c85	= ご希望の方には\n
	+ 「マリオカートチャンネル」のお知らせを\n
	+ WiiConnect24を通じて\n
	+ Wii伝言板に配信させていただきます。\n
	+ \n
	+ お知らせする内容は次の通りです。\n
	+ ・マリオカート大会の開催　  \n
	+ ・スペシャルゴーストの配信 \040
  1c86	= 「マリオカートチャンネル」の\n
	+ お知らせ配信を\n
	+ 希望しますか？
  1c87	= 配信を希望する
  1c88	= 配信を希望しない
  1c89	= 「マリオカートチャンネル」のお知らせを\n
	+ \n
	+ ［ 配信する ］\n
	+ \n
	+  に設定しました。
  1c8a	= 「マリオカートチャンネル」の\n
	+ お知らせ配信を行いません。\n
	+ よろしいですか？
  1c8b	= 
  1cb6	= 現在　Wii伝言板に\n
	+ 「マリオカートチャンネル」のお知らせを\n
	+ 配信する設定になっています。
  1cb7	= お知らせ配信を停止しますか？
  1cb8	= 配信を停止する
  1cb9	= 全てのチャンネルのお知らせ配信を停止する
  1cba	= 配信を停止しない
  1cbb	= 「マリオカートチャンネル」の\n
	+ お知らせ配信を停止します。\n
	+ よろしいですか？
  1cbc	= 全てのチャンネルの\n
	+ お知らせ配信を停止します。\n
	+ よろしいですか？
  1cbd	= 「マリオカートチャンネル」の\n
	+ お知らせ配信を継続します。
  1cbe	= 「マリオカートチャンネル」のお知らせを\n
	+ \n
	+ ［ 配信しない ］\n
	+ \n
	+  に設定しました。
  1cbf	= 「マリオカートチャンネル」の\n
	+ お知らせ配信を停止しました。
  1cc0	= 全てのチャンネルの\n
	+ お知らせ配信を停止しました。
  1cc1	= 
  1ce8	= 任天堂への情報送信
  1ce9	= 「マリオカートWii」では \n
	+ Wi-Fiコネクションを利用するときに\n
	+ ・Mii (似顔絵) とニックネーム\n
	+ ・レコードとゴースト　　　　\n
	+ を任天堂へ自動的に送信させていただきます。\n
	+ \n
	+ これらの情報は \n
	+ 「マリオカートWii」を遊ぶ他のお客様も\n
	+ ご覧になる可能性があります。
  1cea	= 任天堂への情報送信を\n
	+ 許可していただけますか？
  1ceb	= 許可する
  1cec	= 許可しない
  1ced	= 「マリオカートWii」で\n
	+ 任天堂への情報送信を\n
	+ \n
	+ ［ 許可する ］\n
	+ \n
	+  に設定しました。
  1cee	= 「マリオカートWii」で\n
	+ Wi-Fiコネクションをご利用いただけません。\n
	+ よろしいですか？
  1cef	= 「マリオカートWii」から\n
	+ 任天堂への情報送信を\n
	+ \n
	+ ［ 許可しない ］\n
	+ \n
	+  に設定しました。
  1cf0	= プライバシーをまもるため\n
	+ Miiのニックネームに\n
	+ 本名や個人情報を使用されている場合は\n
	+ 次のような方法で\n
	+ Miiの情報を変更してください。\n
	+ \n
	+ ・「似顔絵チャンネル」でニックネームを変更\n
	+ ・「ライセンス設定」でゲストのMiiに変更   \040
  1cf1	= 
  1d4c	= 他の人のMii
  1d4d	= 「マリオカートWii」では \n
	+ 他の人のMii（似顔絵）が\n
	+ Wi-Fi対戦中やランキングなどに\n
	+ 現れることがあります。\n
	+ \n
	+ 他の人のMiiを\n
	+ そのまま出現させるかどうか\n
	+ 設定することができます。
  1d4e	= 「マリオカートWii」で \n
	+ 他の人のMiiを\n
	+ そのまま出現させますか？
  1d4f	= そのまま出現
  1d50	= おきかえて出現
  1d51	= 「マリオカートWii」で\n
	+ 他の人のMiiを\n
	+ \n
	+ ［ そのまま出現させる ］\n
	+ \n
	+  に設定しました。
  1d52	= 「マリオカートWii」で\n
	+ 他の人のMiiを\n
	+ \n
	+ ［ おきかえて出現させる ］\n
	+ \n
	+  に設定しました。
  1d53	= 他の人のMiiを\n
	+ 任天堂がつくったMiiにおきかえます。\n
	+ よろしいですか？
  1d54	/
  1db0	/
  1db1	/
  1db2	/
  1db3	/
  1db4	/
  1db5	/
  1e14	= Mario Kart Wii can be displayed in\n
	+ 60Hz (480i) Mode. Your current setting is\n
	+ 50Hz (576i) Mode. If your TV - like most TV\n
	+ models - supports 60Hz Mode, please select\n
	+ this TV Type in the Wii System Settings for\n
	+ a better display quality.\n
	+ \n
	+ To change your TV Type setting to 60Hz Mode, \n
	+ please press the HOME Button and go to\n
	+ the Wii Menu.
  1e15	= \z{e03,0,f035003cf034003c}
  1e16	= CONGRATULATIONS!
  1e17	= 今回の記念写真を\n
	+ Wii伝言板におくりますか？
  1e18	= Wii伝言板におくっています
  1e19	= 記念写真を\n
	+ Wii伝言板におくりました！
  1e1a	= 記念写真をおくりすぎると\n
	+ Wii伝言板のデータが\n
	+ いっぱいになってしまいます。\n
	+ ご注意ください。\n
	+ \n
	+ Wii伝言板がいっぱいになると\n
	+ 古いメッセージから消去されます。
  1e1b	= ひきつづき　　　　\n
	+ \n
	+ 「マリオカートWii」  を\n
	+ \n
	+ お楽しみください！
  1f40	= おめでとうございます！\n
	+ \z{802,110000} \z{802,110001} で\n
	+ あそべるようになりました！
  1f41	= おめでとうございます！\n
	+ ミラーモード で\n
	+ あそべるようになりました！
  1f42	= おめでとうございます！\n
	+ \z{802,110000} で\n
	+ あそべるようになりました！
  1f43	= おめでとうございます！\n
	+ \z{802,110000} で\n
	+ あそべるようになりました！
  1f44	= おめでとうございます！\n
	+ \z{802,110000} （小型カート） を\n
	+ つかえるようになりました！
  1f45	= おめでとうございます！\n
	+ \z{802,110000} （中型カート） を\n
	+ つかえるようになりました！
  1f46	= おめでとうございます！\n
	+ \z{802,110000} （大型カート） を\n
	+ つかえるようになりました！
  1f47	= おめでとうございます！\n
	+ \z{802,110000} （小型バイク） を\n
	+ つかえるようになりました！
  1f48	= おめでとうございます！\n
	+ \z{802,110000} （中型バイク） を\n
	+ つかえるようになりました！
  1f49	= おめでとうございます！\n
	+ \z{802,110000} （大型バイク） を\n
	+ つかえるようになりました！
  1f4a	= おめでとうございます！\n
	+ 50cc グランプリ（カート＆バイク）で\n
	+ あそべるようになりました！
  1f4b	= おめでとうございます！\n
	+ 100cc グランプリ（カート＆バイク）で\n
	+ あそべるようになりました！
  1f4c	/
  1fa4	= \z{802,110000}  キノコカップ＆フラワーカップ 
	+  トロフィー獲得！
  1fa5	= \z{802,110000}  スターカップ  トロフィー獲得！
  1fa6	= \z{802,110000}  こうらカップ＆バナナカップ 
	+  トロフィー獲得！
  1fa7	= \z{802,110000}  このはカップ  トロフィー獲得！
